省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
上海市,杨浦区,杨浦区,三湘印象,三湘印象股份有限公司,不动产投资开发,100821,7288,7.20%,三湘印象(000863),上海市杨浦区逸仙路333号501室,上海市杨浦区逸仙路333号,--,1997/9/25
上海市,杨浦区,杨浦区,华平股份,华平信息技术股份有限公司,计算机服务,28780,927,3.20%,华平股份(300074),上海市杨浦区国权北路1688弄69号,上海市杨浦区国权北路1688号湾谷科技园A6栋,www.avcon.com.cn,2010/4/27
上海市,杨浦区,杨浦区,安硕信息,上海安硕信息技术股份有限公司,软件,30500,-832,-2.70%,安硕信息(300380),上海市杨浦区国泰路11号2308室,上海市杨浦区国泰路11号2308室,www.amarsoft.com,2014/1/28
上海市,杨浦区,杨浦区,开创国际,上海开创国际海洋资源股份有限公司,农业与渔业,128239,3820,3.00%,开创国际(600097),上海市浦东新区外高桥保税区新灵路118号1201A室,上海市杨浦区安浦路661号滨江国际广场3号楼3层,www.skmic.sh.cn,1997/6/19
上海市,杨浦区,杨浦区,上海家化,上海家化联合股份有限公司,通用化工品,389456,38388,9.90%,上海家化(600315),上海市保定路527号,上海市杨浦区江湾城路99号5幢,www.jahwa.com.cn,2001/3/15
上海市,杨浦区,杨浦区,鹏起科技,鹏起科技发展股份有限公司,综合公共事业,150754,28339,18.80%,鹏起科技(600614),上海市浦东航津路1929号1幢第六层,上海市杨浦区国权路39号财富广场（金座）18楼,www.600614.com,1992/8/28
上海市,杨浦区,杨浦区,复旦复华,上海复旦复华科技股份有限公司,综合工业,54121,4699,8.70%,复旦复华(600624),上海市杨浦区复旦科技园四平路1779号103室,上海市杨浦区复旦科技园四平路1779号103室,www.forwardgroup.com,1993/1/5
上海市,杨浦区,杨浦区,上柴股份,上海柴油机股份有限公司,商用运载工具与车辆,268744,7609,2.80%,上柴股份(600841),上海市杨浦区军工路2636号,上海市杨浦区军工路2636号,www.sdec.com.cn,1994/3/11
上海市,杨浦区,杨浦区,艾艾精工,艾艾精密工业输送系统(上海)股份有限公司,普通工业,11509,2425,21.10%,艾艾精工(603580),上海市静安区万荣路700号7幢A240室,上海市杨浦区翔殷路580号,www.aabelt.com.cn,2017/5/25
上海市,杨浦区,杨浦区,鹏起科技,鹏起科技发展股份有限公司,综合公共事业,150754,28339,18.80%,鹏起B股(900907),上海市浦东航津路1929号1幢第六层,上海市杨浦区国权路39号财富广场（金座）18楼,www.600614.com,1992/8/28
上海市,杨浦区,杨浦区,上柴股份,上海柴油机股份有限公司,商用运载工具与车辆,268744,7609,2.80%,上柴B股(900920),上海市杨浦区军工路2636号,上海市杨浦区军工路2636号,www.sdec.com.cn,1994/3/11
上海市,杨浦区,杨浦区,阳光城,阳光城集团股份有限公司,不动产投资开发,1552082,132663,8.50%,阳光城(000671),福建省福州经济技术开发区星发路8号,上海市杨浦区杨树浦路1058号滨江国际广场1号楼,www.yango.com.cn,1996/12/18
