省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
上海市,奉贤区,奉贤区,上海莱士,上海莱士血液制品股份有限公司,生物科技,146762,110478,75.30%,上海莱士(002252),上海市奉贤区望园路2009号,上海市奉贤经济开发区生物科技园区望园路2009号,www.raas-corp.com,2008-6-23
上海市,奉贤区,奉贤区,柘中股份,上海柘中集团股份有限公司,电子电气组件与设备,21978,6899,31.40%,柘中股份(002346),上海市奉贤区联合北路215号第5幢2501室,上海市奉贤区浦卫公路50号,www.ch-zzcc.com,2010-1-28
上海市,奉贤区,奉贤区,上海凯宝,上海凯宝药业股份有限公司,制药,125345,31272,24.90%,上海凯宝(300039),上海市工业综合开发区程普路88号,上海市工业综合开发区程普路88号,www.xykb.com,2010-1-8
上海市,奉贤区,奉贤区,金力泰,上海金力泰化工股份有限公司,特种化工品,54781,4236,7.70%,金力泰(300225),上海市奉贤区青村镇沿钱公路2888号,上海市化学工业区楚工路139号,www.knt.cn,2011-5-31
上海市,奉贤区,奉贤区,雪榕生物,上海雪榕生物科技股份有限公司,食品生产（III）,79543,6986,8.80%,雪榕生物(300511),上海市奉贤区现代农业园区高丰路999号,上海市奉贤区现代农业园区高丰路999号,www.xuerong.com,2016-5-4
上海市,奉贤区,奉贤区,广电电气,上海广电电气(集团)股份有限公司,电子电气组件与设备,44060,264,0.60%,广电电气(601616),上海市奉贤区环城东路123弄1号4幢三层,上海市奉贤区南桥镇环城东路123弄1号,www.sgeg.cn,2011-2-1
上海市,奉贤区,奉贤区,上海亚虹,上海亚虹模具股份有限公司,容器与包装,43044,3950,9.20%,上海亚虹(603159),上海市奉贤区沪杭公路732号,上海市奉贤区沪杭公路732号,www.yahong-mould.com,2016-8-12
上海市,奉贤区,奉贤区,菲林格尔,上海菲林格尔木业股份有限公司,家装材料零售,59374,7120,12.00%,菲林格尔(603226),上海市奉贤区林海公路7001号,上海市奉贤区林海公路7001号,www.vohringer.com,2017-6-15
上海市,奉贤区,奉贤区,水星家纺,上海水星家用纺织品股份有限公司,服装与服饰,158715,17838,11.20%,水星家纺(603365),上海市奉贤区沪杭公路1487号,上海市奉贤区沪杭公路1487号,www.shuixing.com,2017-11-20
上海市,奉贤区,奉贤区,海利生物,上海海利生物技术股份有限公司,制药,23852,7031,29.50%,海利生物(603718),上海市奉贤区金海公路6720号,上海市奉贤区金海公路6720号,www.hile-bio.com,2015-5-15
