省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
上海市,徐汇区,徐汇区,科华生物,上海科华生物工程股份有限公司,生物科技,114058,21423,18.80%,科华生物(002022),上海市钦州北路1189号,上海市钦州北路1189号,www.skhb.com,2004-7-21
上海市,徐汇区,徐汇区,中国海诚,中国海诚工程科技股份有限公司,建筑施工,273375,14674,5.40%,中国海诚(002116),上海市宝庆路21号,上海市宝庆路21号,www.haisum.com,2007-2-15
上海市,徐汇区,徐汇区,二三四五,上海二三四五网络控股集团股份有限公司,软件,196477,86658,44.10%,二三四五(002195),上海市徐汇区宜山路700号85幢6楼,上海市宜山路700号普天信息产业园2号楼12楼,www.2345hyron.com,2007-12-12
上海市,徐汇区,徐汇区,徐家汇,上海徐家汇商城股份有限公司,百货零售,150170,22619,15.10%,徐家汇(002561),上海市肇嘉浜路1068号,上海市徐汇区肇嘉浜路1000号9楼,www.xjh-sc.com,2011-3-3
上海市,徐汇区,徐汇区,网宿科技,网宿科技股份有限公司,移动通信服务,379722,50451,13.30%,网宿科技(300017),上海嘉定环城路200号,上海市徐汇区斜土路2899号光启文化广场A幢5楼,www.chinanetcenter.com,2009-10-30
上海市,徐汇区,徐汇区,东方财富,东方财富信息股份有限公司,互联网,76679,49642,64.70%,东方财富(300059),上海市嘉定区宝安公路2999号1幢,上海市徐汇区宛平南路88号金座,www.eastmoney.com,2010-3-19
上海市,徐汇区,徐汇区,润欣科技,上海润欣科技股份有限公司,软件,134134,5061,3.80%,润欣科技(300493),上海市徐汇区田林路200号A号楼301室,上海市徐汇区田林路200号A号楼301室,www.fortune-co.com,2015-12-10
上海市,徐汇区,徐汇区,富瀚微,上海富瀚微电子股份有限公司,软件,31992,7845,24.50%,富瀚微(300613),上海市桂平路680号32幢620室,上海市桂平路680号32幢620室,www.fullhan.com,2017-2-20
上海市,徐汇区,徐汇区,航天机电,上海航天汽车机电股份有限公司,汽车零配件（IV）,433787,-24403,-5.60%,航天机电(600151),中国（上海）自由贸易试验区浦东新区榕桥路661号,上海市漕溪路222号航天大厦南楼,www.ht-saae.com,1998-6-5
上海市,徐汇区,徐汇区,上海贝岭,上海贝岭股份有限公司,电子电气组件与设备,39235,16091,41.00%,上海贝岭(600171),上海市漕河泾开发区宜山路810号,上海市漕河泾开发区宜山路810号,www.belling.com.cn,1998-9-24
上海市,徐汇区,徐汇区,复星医药,上海复星医药(集团)股份有限公司,制药,1295981,309573,23.90%,复星医药(600196),上海市曹杨路510号九楼,上海市宜山路1289号A楼,www.fosunpharma.com,1998-8-7
上海市,徐汇区,徐汇区,交大昂立,上海交大昂立股份有限公司,生物科技,19728,11975,60.70%,交大昂立(600530),上海市松江区环城路666号,上海市徐汇区田州路99号13号楼11楼,www.onlly.com.cn,2001-7-2
上海市,徐汇区,徐汇区,云赛智联,云赛智联股份有限公司,软件与计算机服务,266358,14014,5.30%,云赛智联(600602),上海市浦东新区张江高科技园区张衡路200号1号楼2楼,上海市徐汇区宜州路180号华鑫天地二期3号楼9-10楼,www.inesa-e.com,1990-12-19
