省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
上海市,普陀区,普陀区,延华智能,上海延华智能科技(集团)股份有限公司,建筑施工,74888,-6348,-8.50%,延华智能(002178),,上海市普陀区西康路1255号6楼602室,上海市西康路1255号普陀科技大厦六楼,www.chinaforwards.com,2007-11-1
上海市,普陀区,普陀区,顺灏股份,上海顺灏新材料科技股份有限公司,造纸,132115,10748,8.10%,顺灏股份(002565),,上海市真陈路200号,上海市普陀区真陈路200号,www.luxinevotech.com,2011-3-18
上海市,普陀区,普陀区,信息发展,上海中信信息发展股份有限公司,计算机服务,34599,-632,-1.80%,信息发展(300469),,上海市静安区昌平路710号302室,上海市中江路879号11号楼,www.cesgroup.com.cn,2015-6-11
上海市,普陀区,普陀区,古鳌科技,上海古鳌电子科技股份有限公司,硬件与设备,13038,-916,-7.00%,古鳌科技(300551),,上海市普陀区同普路1225弄6号,上海市普陀区同普路1225弄6号,www.gooao.cn,2016-10-18
上海市,普陀区,普陀区,金枫酒业,上海金枫酒业股份有限公司,酿酒业,67006,6593,9.80%,金枫酒业(600616),,上海市浦东新区张杨路579号,上海市普陀区宁夏路777号(海棠大厦内),www.jinfengwine.com,1992-9-29
上海市,普陀区,普陀区,申达股份,上海申达股份有限公司,服装服饰零售,654972,15669,2.40%,申达股份(600626),,上海市浦东新区洪山路176号118室,上海市江宁路1500号申达国际大厦,www.cnshenda.com.cn,1993-1-7
上海市,普陀区,普陀区,号百控股,号百控股股份有限公司,通讯设备,373066,22870,6.10%,号百控股(600640),,上海市江宁路1207号20-21楼,上海市江宁路1207号国脉大厦,www.besttoneh.com,1993-4-7
上海市,普陀区,普陀区,*ST中安,中安消股份有限公司,软件与计算机服务,223794,-8658,-3.90%,*ST中安(600654),,上海市普陀区丹巴路28弄旭辉世纪广场9号楼二楼,上海市普陀区同普路800弄中安消智慧科创园D栋10楼,www.600654.com,1990-12-19
上海市,普陀区,普陀区,上海九百,上海市第九百货商店股份有限公司,百货零售,6131,7269,118.60%,上海九百(600838),,上海市愚园路300号6楼D室,上海市常德路940号,www.shjb600838.com,1994-2-24
上海市,普陀区,普陀区,城地股份,上海城地建设股份有限公司,建筑施工,60817,7014,11.50%,城地股份(603887),,上海市嘉定区恒永路518弄1号B区502-1,上海市同普路299弄浙铁绿城长风企业中心3号3层,www.shcd.cc,2016-10-10
上海市,普陀区,普陀区,新城控股,新城控股集团股份有限公司,不动产,1685568,281114,16.70%,新城控股(601155),,江苏省常州市武进国家高新技术产业开发区新雅路18号208室,上海市普陀区中江路388弄6号新城控股大厦A座,www.futureland.com.cn,2015-12-4
上海市,普陀区,普陀区,利欧股份,利欧集团股份有限公司,互联网,774338,47323,6.10%,利欧股份(002131),,浙江省温岭市滨海镇利欧路1号,上海市泸定路276弄10号楼3楼,www.chinapumps.com,2007-4-27
