省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
上海市,松江区,松江区,金安国纪,金安国纪科技股份有限公司,电子电气组件与设备,259495,47319,18.20%,金安国纪(002636),上海市松江工业区宝胜路33号,上海市松江工业区宝胜路33号,www.goldenmax.cn,2011-11-25
上海市,松江区,松江区,力盛赛车,上海力盛赛车文化股份有限公司,广播与娱乐,12807,338,2.60%,力盛赛车(002858),上海市松江区佘山镇沈砖公路3000号,上海市松江区佘山镇沈砖公路3000号,www.lsracing.cn,2017-3-24
上海市,松江区,松江区,天海防务,天海融合防务装备技术股份有限公司,商业辅助服务,91459,14671,16.00%,天海防务(300008),上海市松江区莘砖公路518号10幢8层,上海市莘砖公路518号10号,www.bestwaysh.com,2009-10-30
上海市,松江区,松江区,锐奇股份,上海锐奇工具股份有限公司,工业机械,40581,-59,-0.10%,锐奇股份(300126),上海市松江区新桥镇新茸路5号,上海市松江区新桥镇新茸路5号,www.ken-tools.com,2010-10-13
上海市,松江区,松江区,上海新阳,上海新阳半导体材料股份有限公司,特种化工品,36356,6739,18.50%,上海新阳(300236),上海市松江区思贤路3600号,上海市松江区思贤路3600号,www.sinyang.com.cn,2011-6-29
上海市,松江区,松江区,华铭智能,上海华铭智能终端设备股份有限公司,工业机械,16387,3015,18.40%,华铭智能(300462),上海市松江区茸北工业区施惠路北侧,上海市松江区茸北工业区施惠路北侧,www.hmmachine.com,2015-5-27
上海市,松江区,松江区,上海临港,上海临港控股股份有限公司,不动产投资开发,138755,39582,28.50%,上海临港(600848),上海市松江区莘砖公路668号3层,上海市松江区莘砖公路668号B座18楼,www.lingangholding.com,1994-3-24
上海市,松江区,松江区,日播时尚,日播时尚集团股份有限公司,服装与服饰,71631,5349,7.50%,日播时尚(603196),上海市松江区中山街道茸阳路98号,上海市松江区中山街道茸阳路98号,www.ribo.cn,2017-5-31
上海市,松江区,松江区,保隆科技,上海保隆汽车科技股份有限公司,汽车零配件（IV）,150365,25751,17.10%,保隆科技(603197),上海市松江区沈砖公路5500号,上海市松江区沈砖公路5500号,www.baolong.biz,2017-5-19
上海市,松江区,松江区,徕木股份,上海徕木电子股份有限公司,电子设备,27337,4244,15.50%,徕木股份(603633),上海市闵行区中春路7319号,上海市松江区洞泾镇洞薛路651弄88号,www.laimu.com.cn,2016-11-17
上海市,松江区,松江区,晶华新材,上海晶华胶粘新材料股份有限公司,特种化工品,52298,3858,7.40%,晶华新材(603683),上海市松江区永丰街道大江路89号,上海市松江区永丰街道大江路89号,www.smithcn.com,2017-10-20
上海市,松江区,松江区,来伊份,上海来伊份股份有限公司,食品零售与批发,256992,15267,5.90%,来伊份(603777),上海市松江区九亭镇久富路300号,上海市松江区九亭镇久富路300号,www.lyfen.com,2016-10-12
上海市,松江区,松江区,晨光文具,上海晨光文具股份有限公司,娱乐用品,449300,54286,12.10%,晨光文具(603899),上海市奉贤区金钱公路3469号3号楼,上海市松江区研展路455号C栋,www.mg-pen.com,2015-1-27
上海市,松江区,松江区,上海临港,上海临港控股股份有限公司,不动产投资开发,138755,39582,28.50%,临港B股(900928),上海市松江区莘砖公路668号3层,上海市松江区莘砖公路668号B座18楼,www.lingangholding.com,1994-3-24
上海市,松江区,松江区,巨人网络,巨人网络集团股份有限公司,互联网,204894,113292,55.30%,巨人网络(002558),重庆市南岸区江南大道8号万达广场1栋5层,上海市松江区中辰路655号,www.ga-me.com,2011-3-2
