省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
上海市,浦东新区,浦东新区,科大智能,科大智能科技股份有限公司,电子电气组件与设备,164681,22830,13.90%,科大智能(300222),中国（上海）自由贸易试验区碧波路456号A203-A206室,中国(上海)自由贸易试验区碧波路456号A203-A206室,www.csg.com.cn,2011/5/25
上海市,浦东新区,浦东新区,透景生命,上海透景生命科技股份有限公司,医疗设备,19416,8774,45.20%,透景生命(300642),中国（上海）自由贸易试验区碧波路572弄115号1幢,中国（上海）自由贸易试验区碧波路572弄115号1幢,www.tellgen.com,2017/4/21
上海市,浦东新区,浦东新区,宝信软件,上海宝信软件股份有限公司,软件,318921,39701,12.40%,宝信软件(600845),中国（上海）自由贸易试验区郭守敬路515号,中国（上海）自由贸易试验区郭守敬路515号,www.baosight.com,1994/3/11
上海市,浦东新区,浦东新区,畅联股份,上海畅联国际物流股份有限公司,商业辅助服务,88481,15724,17.80%,畅联股份(603648),中国（上海）自由贸易试验区冰克路500号5-6幢,中国（上海）自由贸易试验区冰克路500号5-6幢,www.chinaslc.com,2017/9/13
上海市,浦东新区,浦东新区,宝信软件,上海宝信软件股份有限公司,软件,318921,39701,12.40%,宝信B(900926),中国（上海）自由贸易试验区郭守敬路515号,中国（上海）自由贸易试验区郭守敬路515号,www.baosight.com,1994/3/11
上海市,浦东新区,浦东新区,荣丰控股,荣丰控股集团股份有限公司,不动产投资开发,599,-2957,-493.70%,荣丰控股(000668),上海市浦东新区浦东大道1200号1908室,上海市浦东新区福山路388号宏嘉大厦22楼2207室,www.rfholding.cn,1996/12/10
上海市,浦东新区,浦东新区,美邦服饰,上海美特斯邦威服饰股份有限公司,服装服饰零售,444259,-14667,-3.30%,美邦服饰(002269),上海市浦东新区康桥镇康桥东路800号,上海市浦东新区康桥东路800号,www.metersbonwe.com,2008/8/28
上海市,浦东新区,浦东新区,中远海科,中远海运科技股份有限公司,计算机服务,49279,5432,11.00%,中远海科(002401),上海市浦东新区民生路600号,上海市浦东新区民生路600号,www.cnshippingnt.com,2010/5/6
上海市,浦东新区,浦东新区,摩恩电气,上海摩恩电气股份有限公司,电子电气组件与设备,32107,5892,18.40%,摩恩电气(002451),上海市浦东新区江山路2829号,上海市浦东新区锦康路258号陆家嘴世纪金融广场1号楼40层,www.mornelectric.com,2010/7/20
上海市,浦东新区,浦东新区,百润股份,上海百润投资控股集团股份有限公司,酿酒业,80403,13946,17.30%,百润股份(002568),上海市康桥工业区康桥东路558号,上海市康桥工业区康桥东路558号,www.bairun.net,2011/3/25
上海市,浦东新区,浦东新区,康达新材,上海康达化工新材料股份有限公司,特种化工品,40354,4681,11.60%,康达新材(002669),上海市奉贤区雷州路169号,上海市浦东新区庆达路655号,www.kangda-sh.com,2012/4/16
上海市,浦东新区,浦东新区,良信电器,上海良信电器股份有限公司,电子电气组件与设备,110935,19910,17.90%,良信电器(002706),上海市浦东新区衡安路668号第4-8幢,上海市浦东新区申江南路2000号,www.sh-liangxin.com,2014/1/21
上海市,浦东新区,浦东新区,纳尔股份,上海纳尔数码喷印材料股份有限公司,通用化工品,46265,2782,6.00%,纳尔股份(002825),上海市浦东新区新场镇新瀚路26号,上海市浦东新区新场镇新瀚路19号,www.nar.com.cn,2016/11/29
上海市,浦东新区,浦东新区,康旗股份,上海康耐特旗计智能科技集团股份有限公司,通用化工品,135285,22038,16.30%,康旗股份(300061),上海市浦东新区川大路555号,上海市浦东新区川大路555号,www.conantoptical.com,2010/3/19
上海市,浦东新区,浦东新区,开能环保,上海开能环保设备股份有限公司,工业机械,47682,5058,10.60%,开能环保(300272),上海浦东新区川大路518号,上海浦东新区川大路518号,www.canature.com,2011/11/2
上海市,浦东新区,浦东新区,凯利泰,上海凯利泰医疗科技股份有限公司,医疗设备,57186,17819,31.20%,凯利泰(300326),上海市张江高科技园东区瑞庆路528号23幢2楼,上海市张江高科技园东区瑞庆路528号23幢2楼,www.kineticmedinc.com.cn,2012/6/13
上海市,浦东新区,浦东新区,华虹计通,上海华虹计通智能系统股份有限公司,计算机服务,14721,-646,-4.40%,华虹计通(300330),上海市长宁区广顺路33号H栋3-4F,上海市锦绣东路2777弄9号、11号楼,www.huahongjt.com,2012/6/19
上海市,浦东新区,浦东新区,汇纳科技,上海汇纳信息科技股份有限公司,移动通信服务,12187,3665,30.10%,汇纳科技(300609),上海市金山区亭林镇亭枫公路333号216室,上海市浦东新区峨山路91弄190号（陆家嘴软件园D楼）,www.winnerinf.com,2017/2/15
