省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
上海市,长宁区,长宁区,中颖电子,中颖电子股份有限公司,电子电气组件与设备,49318,10270,20.80%,中颖电子(300327),上海市长宁区临空经济园区金钟路767弄3号,上海市长宁区金钟路767弄3号,www.sinowealth.com,2012-6-13
上海市,长宁区,长宁区,大名城,上海大名城企业股份有限公司,不动产投资开发,409343,79412,19.40%,大名城(600094),上海市闵行区红松东路1116号1幢5楼A区,上海市红宝石路500号东银中心B栋29楼,www.greattown.cn/,1997-7-3
上海市,长宁区,长宁区,东方航空,中国东方航空股份有限公司,航空客运,7750500,994300,12.80%,东方航空(600115),上海市浦东国际机场机场大道66号,上海市虹桥路2550号,www.ceair.com,1997-11-5
上海市,长宁区,长宁区,紫江企业,上海紫江企业集团股份有限公司,容器与包装,668667,80475,12.00%,紫江企业(600210),上海市莘庄工业区申富路618号,上海市虹桥路2272号虹桥商务大厦7楼C座,www.zijiangqy.com,1999-8-24
上海市,长宁区,长宁区,东方创业,东方国际创业股份有限公司,运输服务,1141890,17793,1.60%,东方创业(600278),上海市浦东大道1476号,上海市娄山关路85号A座,www.oie.com.cn,2000-7-12
上海市,长宁区,长宁区,鹏欣资源,鹏欣环球资源股份有限公司,有色金属,404166,26876,6.60%,鹏欣资源(600490),上海市普陀区中山北路2299号2280室,上海市虹桥路2188弄41、47号楼,www.synica.com,2003-6-26
上海市,长宁区,长宁区,华丽家族,华丽家族股份有限公司,不动产投资开发,114003,14662,12.90%,华丽家族(600503),上海市黄浦区瞿溪路968弄1号202室,上海市红宝石路500号东银中心B栋15楼,www.deluxe-family.com,2002-7-9
上海市,长宁区,长宁区,置信电气,上海置信电气股份有限公司,电子电气组件与设备,390572,8779,2.20%,置信电气(600517),上海市虹桥路2239号,上海市长宁区天山西路588号,www.zhixindianqi.com.cn,2003-10-10
上海市,长宁区,长宁区,天宸股份,上海市天宸股份有限公司,不动产投资开发,3961,6241,157.60%,天宸股份(600620),上海市长宁区延安西路2067号29楼,上海市长宁区仙霞路8号29楼,--,1992-11-17
上海市,长宁区,长宁区,华建集团,华东建筑集团股份有限公司,建筑施工,348043,18056,5.20%,华建集团(600629),上海市黄浦区西藏南路1368号五层501室,上海市延安西路2558号2号楼,--,1993-2-9
上海市,长宁区,长宁区,上海凤凰,上海凤凰企业(集团)股份有限公司,娱乐用品,108646,8475,7.80%,上海凤凰(600679),上海市金山工业区开乐大街158号6号楼,上海市长宁区福泉北路518号6座4楼,www.jskfjs.com,1993-10-8
上海市,长宁区,长宁区,*ST丹科,丹化化工科技股份有限公司,通用化工品,84352,8750,10.40%,*ST丹科(600844),上海市浦东新区高科西路4037号,上海市长宁区虹桥路2297弄6号,--,1994-3-11
上海市,长宁区,长宁区,春秋航空,春秋航空股份有限公司,运输服务,842321,139966,16.60%,春秋航空(601021),上海市长宁区定西路1558号（乙）,上海市虹桥机场空港一路528号航友宾馆,www.china-sss.com、www.springairlines.com、www.ch.com,2015-1-21
上海市,长宁区,长宁区,上海环境,上海环境集团股份有限公司,综合公共事业,175410,54025,30.80%,上海环境(601200),上海市虹桥路1881号四楼,上海市虹桥路1881号四楼,--,2017-3-31
上海市,长宁区,长宁区,飞科电器,上海飞科电器股份有限公司,电子电气组件与设备,266341,76682,28.80%,飞科电器(603868),上海市松江区广富林东路555号,上海市长宁区红宝石路500号东银中心B栋26楼,www.flyco.com,2016-4-18
上海市,长宁区,长宁区,上海凤凰,上海凤凰企业(集团)股份有限公司,娱乐用品,108646,8475,7.80%,凤凰B股(900916),上海市金山工业区开乐大街158号6号楼,上海市长宁区福泉北路518号6座4楼,www.jskfjs.com,1993-10-8
上海市,长宁区,长宁区,*ST丹科,丹化化工科技股份有限公司,通用化工品,84352,8750,10.40%,*ST丹科B(900921),上海市浦东新区高科西路4037号,上海市长宁区虹桥路2297弄6号,--,1994-3-11
上海市,长宁区,长宁区,大名城,上海大名城企业股份有限公司,不动产投资开发,409343,79412,19.40%,大名城B(900940),上海市闵行区红松东路1116号1幢5楼A区,上海市红宝石路500号东银中心B栋29楼,www.greattown.cn/,1997-7-3
上海市,长宁区,长宁区,分众传媒,分众传媒信息技术股份有限公司,商业辅助服务,872958,476363,54.60%,分众传媒(002027),广东省广州市黄埔区中新知识城凤凰三路8号2号楼2130室,上海市江苏路369号兆丰大厦28层,www.focusmedia.cn,2004-8-4
上海市,长宁区,长宁区,S佳通,佳通轮胎股份有限公司,轮胎,260259,11476,4.40%,S佳通(600182),黑龙江省牡丹江市桦林镇,上海市长宁区临虹路280-2号,www.gititirecorp.com,1999-5-7
上海市,长宁区,长宁区,国中水务,黑龙江国中水务股份有限公司,水务,30780,2002,6.50%,国中水务(600187),黑龙江省齐齐哈尔市龙沙区卜奎大街与龙华路交汇处(新玛特购物休闲广场)03单元25层08号,上海市长宁区虹桥路2188弄49号楼,www.interchinawater.com,1998-11-11
上海市,长宁区,长宁区,卓郎智能,卓郎智能技术股份有限公司,电子与电气设备,608780,76301,12.50%,卓郎智能(600545),新疆乌鲁木齐市水磨沟区南湖路133号城建大厦1栋22层,上海市长宁区遵义路100号虹桥南丰城,www.saurer.com,2003-12-3
