省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
上海市,闵行区,闵行区,思源电气,思源电气股份有限公司,电子电气组件与设备,283501,17839,6.30%,思源电气(002028),上海市闵行区金都路4399号,上海市闵行区华宁路3399号,www.sieyuan.com,2004-8-5
上海市,闵行区,闵行区,威尔泰,上海威尔泰工业自动化股份有限公司,工业机械,6820,-154,-2.30%,威尔泰(002058),上海市闵行区虹中路263号1幢,上海市闵行区虹中路263号,dm@welltech.com.cn,2006-8-2
上海市,闵行区,闵行区,悦心健康,上海悦心健康集团股份有限公司,耐用消费品,66011,2016,3.10%,悦心健康(002162),上海市闵行区浦江镇三鲁公路2121号,上海市闵行区浦江镇三鲁公路2121号,www.cimic.com,2007-8-23
上海市,闵行区,闵行区,海得控制,上海海得控制系统股份有限公司,工业机械,133620,469,0.40%,海得控制(002184),上海市闵行区漕河泾开发区浦江高科技园新骏环路777号,上海市闵行区漕河泾开发区浦江高科技园新骏环路777号,www.hite.com.cn,2007-11-16
上海市,闵行区,闵行区,神开股份,上海神开石油化工装备股份有限公司,工业机械,35285,-555,-1.60%,神开股份(002278),上海市闵行区浦星公路1769号,上海市闵行区浦星公路1769号,www.shenkai.com,2009-8-11
上海市,闵行区,闵行区,松芝股份,上海加冷松芝汽车空调股份有限公司,汽车零配件（IV）,266987,19398,7.30%,松芝股份(002454),上海市莘庄工业区华宁路4999号,上海市莘庄工业区华宁路4999号,www.shsongz.com.cn,2010-7-20
上海市,闵行区,闵行区,万达信息,万达信息股份有限公司,计算机服务,137321,8398,6.10%,万达信息(300168),上海市桂平路481号20号楼5层,上海市联航路1518号,www.wondersgroup.com,2011-1-25
上海市,闵行区,闵行区,东富龙,上海东富龙科技股份有限公司,工业机械,119528,14256,11.90%,东富龙(300171),上海市闵行区都会路1509号4幢,上海市闵行区都会路1509号,www.tofflon.com,2011-2-1
上海市,闵行区,闵行区,天玑科技,上海天玑科技股份有限公司,软件,26679,5029,18.90%,天玑科技(300245),上海市青浦区清河湾路1200号1008室,上海市闵行区田林路1016号科技绿洲三期6号楼,www.dnt.com.cn,2011-7-19
上海市,闵行区,闵行区,沃施股份,上海沃施园艺股份有限公司,建筑施工,23923,369,1.50%,沃施股份(300483),上海闵行区元江路5000号,上海闵行区元江路5000号,www.worthgarden.com,2015-6-30
上海市,闵行区,闵行区,海顺新材,上海海顺新型药用包装材料股份有限公司,制药,26872,5434,20.20%,海顺新材(300501),上海市松江区洞泾镇蔡家浜路18号,上海市闵行区申滨南路938号龙湖虹桥天街G栋508室,www.haishungroup.com,2016-2-4
上海市,闵行区,闵行区,维宏股份,上海维宏电子科技股份有限公司,软件,15186,7366,48.50%,维宏股份(300508),上海市闵行区联航路1588号1幢业务楼B509室,上海市闵行区联航路1588号1幢业务楼B509室,www.weihong.com.cn,2016-4-19
上海市,闵行区,闵行区,移为通信,上海移为通信技术股份有限公司,通讯设备,21197,6717,31.70%,移为通信(300590),上海市闵行区宜山路1618号E厂房801A室,上海市田州路99号新茂大楼501室,www.queclink.com,2017-1-11
上海市,闵行区,闵行区,光明乳业,光明乳业股份有限公司,食品生产（IV）,1650720,84243,5.10%,光明乳业(600597),上海市吴中路578号,上海市吴中路578号,www.brightdairy.com,2002-8-28
上海市,闵行区,闵行区,申能股份,申能股份有限公司,电力（IV）,2367125,213187,9.00%,申能股份(600642),上海市虹井路159号5楼,上海市虹井路159号5楼,www.shenergy.net.cn,1993-4-16
上海市,闵行区,闵行区,泛微网络,上海泛微网络科技股份有限公司,软件与计算机服务,44838,2012,4.50%,泛微网络(603039),上海市奉贤区环城西路3006号,上海市闵行区浦江镇联航路1188号浦江智谷33号楼泛微软件大厦,www.weaver.com.cn,2017-1-13
上海市,闵行区,闵行区,至纯科技,上海至纯洁净系统科技股份有限公司,工业品与服务,22550,3473,15.40%,至纯科技(603690),上海市闵行区紫海路170号,上海市闵行区紫海路170号,www.pnc-systems.com,2017-1-13
