省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
上海市,闸北区,闸北区,鼎捷软件,鼎捷软件股份有限公司,软件,88235,7135,8.10%,鼎捷软件(300378),,上海市静安区江场路1377弄7号20层,上海市闸北区共和新路4666弄1号8层,www.digiwin.com.cn,2014-1-27
上海市,闸北区,闸北区,上海梅林,上海梅林正广和股份有限公司,食品生产（IV）,1688192,47485,2.80%,上海梅林(600073),,上海市浦东新区川桥路1501号,上海恒丰路601号（邮电大厦）,www.shanghaimaling.com,1997-7-4
上海市,闸北区,闸北区,东风科技,东风电子科技股份有限公司,汽车零配件（IV）,428506,25319,5.90%,东风科技(600081),,上海市闵行区浦江镇新骏环路88号13幢203室,上海市中山北路2000号22楼,www.detc.com.cn,1997-7-3
上海市,闸北区,闸北区,市北高新,上海市北高新股份有限公司,不动产投资开发,58931,11874,20.10%,市北高新(600604),,上海市共和新路3088弄2号1008室,上海市江场三路262号1楼,www.shibeiht.com,1992-3-27
上海市,闸北区,闸北区,交运股份,上海交运集团股份有限公司,汽车零配件（IV）,646513,28389,4.40%,交运股份(600676),,上海市浦东新区曹路工业园区民冬路239号6幢101室,上海市恒丰路288号,www.jygf.cn,1993-9-28
上海市,闸北区,闸北区,ST新梅,上海新梅置业股份有限公司,不动产投资开发,2241,8084,360.70%,ST新梅(600732),,上海市浦东新区秋月路26号4幢201-1室,上海市天目中路585号新梅大厦20楼,www.600732.com.cn,1996-8-16
上海市,闸北区,闸北区,爱普股份,爱普香料集团股份有限公司,食品生产（IV）,176366,17621,10.00%,爱普股份(603020),,上海市嘉定区曹新公路33号,上海市闸北区高平路733号,www.cnaff.com,2015-3-25
上海市,闸北区,闸北区,新通联,上海新通联包装股份有限公司,造纸,42891,2334,5.40%,新通联(603022),,上海市宝山区罗东路1555号（2号南部厂房）,上海市闸北区永和路118弄15号,www.xtl.sh.cn,2015-5-18
上海市,闸北区,闸北区,格尔软件,上海格尔软件股份有限公司,软件与计算机服务,12528,1069,8.50%,格尔软件(603232),,上海市静安区江场西路299弄5号601室,上海市江场西路299弄5号601室,www.koal.com,2017-4-21
上海市,闸北区,闸北区,市北高新,上海市北高新股份有限公司,不动产投资开发,58931,11874,20.10%,市北B股(900902),,上海市共和新路3088弄2号1008室,上海市江场三路262号1楼,www.shibeiht.com,1992-3-27
上海市,闸北区,闸北区,西藏珠峰,西藏珠峰工业股份有限公司,有色金属,177247,103347,58.30%,西藏珠峰(600338),,西藏自治区拉萨市北京中路65号,上海市闸北区柳营路305号7楼,www.zfmotor.com,2000-12-27
上海市,闸北区,闸北区,凯马B(900953),,,{d1},{d2},#VALUE!,凯马B(900953),,上海市浦东新区商城路660号,上海市中山北路1958号华源世界广场6楼,,
