省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
上海市,青浦区,青浦区,中国核建,中国核工业建设股份有限公司,工业工程,2921567,81954,2.80%,中国核建(601611),上海市青浦区西虹桥商务区蟠龙路500号,上海市青浦区西虹桥商务区蟠龙路500号,ltd.cnecc.com,2016-6-6
上海市,青浦区,青浦区,普利特,上海普利特复合材料股份有限公司,汽车零配件（IV）,240214,17529,7.30%,普利特(002324),上海市四平路421弄20号2楼,上海市青浦工业园区新业路558号,www.pret.com.cn,2009-12-18
上海市,青浦区,青浦区,新朋股份,上海新朋实业股份有限公司,汽车零配件（IV）,292332,17496,6.00%,新朋股份(002328),上海市青浦区华新镇华隆路1698号,上海市青浦区华新镇华隆路1698号,www.xinpeng.com,2009-12-30
上海市,青浦区,青浦区,安诺其,上海安诺其集团股份有限公司,特种化工品,104821,8681,8.30%,安诺其(300067),上海市青浦工业园区崧华路881号,上海市青浦工业园区崧华路881号,www.anoky.com.cn,2010-4-21
上海市,青浦区,青浦区,科泰电源,上海科泰电源股份有限公司,电子电气组件与设备,79945,1947,2.40%,科泰电源(300153),上海市青浦区张江高新区青浦园天辰路1633号,上海市青浦区张江高新区青浦园天辰路1633号,www.cooltechsh.com,2010-12-29
上海市,青浦区,青浦区,汉得信息,上海汉得信息技术股份有限公司,计算机服务,159405,18062,11.30%,汉得信息(300170),上海市青浦工业园区外青松公路5500号303室,上海市青浦区汇联路33号,www.hand-china.com,2011-2-1
上海市,青浦区,青浦区,永利股份,上海永利带业股份有限公司,通用化工品,218967,26909,12.30%,永利股份(300230),上海市青浦区徐泾镇徐旺路58号,上海市青浦区徐泾镇徐旺路58号,www.yonglibelt.com,2011-6-15
上海市,青浦区,青浦区,巴安水务,上海巴安水务股份有限公司,综合公共事业,102298,25770,25.20%,巴安水务(300262),上海市青浦区练塘镇章练塘路666号,上海市青浦区练塘镇章练塘路与朱枫公路路口,www.safbon.com,2011-9-16
上海市,青浦区,青浦区,华测导航,上海华测导航技术股份有限公司,电子设备,42812,4460,10.40%,华测导航(300627),上海市青浦区徐泾镇高路599号C座,上海市青浦区徐泾镇高路599号C座,www.huace.cn,2017-3-21
上海市,青浦区,青浦区,创力集团,上海创力集团股份有限公司,煤炭开采,88069,9939,11.30%,创力集团(603012),上海市青浦工业园区崧复路1568号,上海市青浦工业园区崧复路1568号,www.shclkj.com,2015-3-20
上海市,青浦区,青浦区,上海沪工,上海沪工焊接集团股份有限公司,电子与电气设备,52530,7512,14.30%,上海沪工(603131),上海市青浦区外青松公路7177号,上海市青浦区外青松公路7177号,www.hugong.com,2016-6-7
上海市,青浦区,青浦区,亚士创能,亚士创能科技(上海)股份有限公司,建筑与材料（II）,96975,8622,8.90%,亚士创能(603378),上海市青浦工业区新涛路28号综合楼三层、四层,上海市青浦工业区新涛路28号综合楼三层、四层,www.cuanon.com,2017-9-28
上海市,青浦区,青浦区,荣泰健康,上海荣泰健康科技股份有限公司,硬件与设备,127735,18708,14.60%,荣泰健康(603579),上海市青浦区朱枫公路1226号,上海市青浦区朱枫公路1226号,www.rongtai-china.com,2017-1-11
上海市,青浦区,青浦区,元祖股份,上海元祖梦果子股份有限公司,食品生产（III）,140098,25237,18.00%,元祖股份(603886),上海市青浦区赵巷镇嘉松中路6088号,上海市青浦区赵巷镇嘉松中路6088号,www.ganso.com.cn,2016-12-28
上海市,青浦区,青浦区,圆通速递,圆通速递股份有限公司,运输服务,1286703,131989,10.30%,圆通速递(600233),辽宁省大连市杨树房经济开发小区,上海市青浦区华新镇华徐公路3029弄18号,www.trands.com,2000-6-8
上海市,青浦区,青浦区,韵达股份,韵达控股股份有限公司,运输服务,683894,163062,23.80%,韵达股份(002120),浙江省慈溪市崇寿镇永清南路8号,上海市青浦区盈港东路6679号,www.yundaex.com,2007-3-6
上海市,青浦区,青浦区,申通快递,申通快递股份有限公司,运输服务,856463,151109,17.60%,申通快递(002468),浙江省玉环县机电工业园区,上海市青浦区重固镇北青公路6598弄25号,www.sto.cn,2010-9-8
