省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
上海市,静安区,静安区,卫宁健康,卫宁健康科技集团股份有限公司,软件,68930,12938,18.80%,卫宁健康(300253),上海市浦东新区上南路4184号258室,上海市静安区寿阳路99弄9号卫宁健康大厦,www.winning.com.cn,2011-8-18
上海市,静安区,静安区,上汽集团,上海汽车集团股份有限公司,汽车,59841942,3659818,6.10%,上汽集团(600104),上海市中国（上海）自由贸易试验区松涛路563号1号楼509室,上海市静安区威海路489号,www.saicmotor.com,1997-11-25
上海市,静安区,静安区,长江投资,长发集团长江投资实业股份有限公司,公路运输,228230,1483,0.60%,长江投资(600119),上海市浦东世纪大道1500号,上海市静安区永和路118弄35号,www.cjtz.cn,1998-1-15
上海市,静安区,静安区,开开实业,上海开开实业股份有限公司,服装与服饰,71645,3071,4.30%,开开实业(600272),上海市江宁路565号4楼,上海市静安区海防路421号3号楼1-3楼,www.chinesekk.com,2001-2-28
上海市,静安区,静安区,现代制药,上海现代制药股份有限公司,制药,658678,77928,11.80%,现代制药(600420),上海市浦东新区建陆路378号,上海市静安区北京西路1320号,www.shyndec.com,2004-6-16
上海市,静安区,静安区,汇通能源,上海汇通能源股份有限公司,综合供应商,182577,1383,0.80%,汇通能源(600605),上海市康桥路1100号,上海南京西路1576号,www.huitongenergy.com,1992-3-27
上海市,静安区,静安区,华谊集团,上海华谊集团股份有限公司,特种化工品,3634073,38051,1.00%,华谊集团(600623),上海市常德路809号,上海市静安区常德路809号华谊综合大厦,www.doublecoinholdings.com,1992-12-4
上海市,静安区,静安区,新世界,上海新世界股份有限公司,百货零售,215920,44981,20.80%,新世界(600628),上海市南京西路2-88号,上海市南京西路2-88号,www.newworld-china.com,1993-1-19
上海市,静安区,静安区,强生控股,上海强生控股股份有限公司,运输服务,289338,6058,2.10%,强生控股(600662),上海市浦东新区浦建路145号,上海市南京西路920号19楼,www.62580000.com.cn,1993-6-14
上海市,静安区,静安区,光明地产,光明房地产集团股份有限公司,不动产投资开发,1087371,99794,9.20%,光明地产(600708),中国（上海）自由贸易试验区张杨路838号25楼A座,上海市静安区西藏北路199号,www.bre600708.com,1996-6-6
上海市,静安区,静安区,光大证券,光大证券股份有限公司,投资服务,667301,301929,45.20%,光大证券(601788),上海市静安区新闸路1508号,上海市静安区新闸路1508号,www.ebscn.com,2009-8-18
上海市,静安区,静安区,华贸物流,港中旅华贸国际物流股份有限公司,综合供应商,629380,27896,4.40%,华贸物流(603128),上海市浦东机场海天一路528号,上海市南京西路338号天安中心20楼,www.ctsfreight.com,2012-5-29
上海市,静安区,静安区,风语筑,上海风语筑展示股份有限公司,广播与娱乐,121096,17561,14.50%,风语筑(603466),上海市静安区江场三路191、193号,上海市静安区江场三路191、193号,www.fengyuzhu.com.cn,2017-10-20
上海市,静安区,静安区,数据港,上海数据港股份有限公司,互联网,36563,9982,27.30%,数据港(603881),上海市静安区江场三路166号,上海市静安区江场三路166号,www.athub.com,2017-2-8
上海市,静安区,静安区,华谊集团,上海华谊集团股份有限公司,特种化工品,3634073,38051,1.00%,华谊B股(900909),上海市常德路809号,上海市静安区常德路809号华谊综合大厦,www.doublecoinholdings.com,1992-12-4
上海市,静安区,静安区,开开实业,上海开开实业股份有限公司,服装与服饰,71645,3071,4.30%,开开B股(900943),上海市江宁路565号4楼,上海市静安区海防路421号3号楼1-3楼,www.chinesekk.com,2001-2-28
上海市,静安区,静安区,美年健康,美年大健康产业控股股份有限公司,医疗保健服务,298922,34332,11.50%,美年健康(002044),江苏省南通市人民东路218号,上海市静安区灵石路697号健康智谷9号楼三楼,www.sanyougroup.com,2005-5-18
上海市,静安区,静安区,龙元建设,龙元建设集团股份有限公司,建筑施工,1255710,50317,4.00%,龙元建设(600491),浙江省象山县丹城新丰路165号,上海市静安区寿阳路99弄龙元集团大楼,www.lycg.com.cn,2004-5-24
