省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
上海市,黄浦区,黄浦区,浦发银行,上海浦东发展银行股份有限公司,银行业（IV）,12476800,5391800,43.20%,浦发银行(600000),上海市中山东一路12号,上海市中山东一路12号,www.spdb.com.cn,1999/11/10
上海市,黄浦区,黄浦区,上海电力,上海电力股份有限公司,电力（IV）,1373284,92739,6.80%,上海电力(600021),上海市中山南路268号,上海市中山南路268号36层,www.shanghaipower.com,2003/10/29
上海市,黄浦区,黄浦区,中船科技,中船科技股份有限公司,工业机械,272973,1366,0.50%,中船科技(600072),上海市上川路361号,上海市鲁班路600号江南造船大厦13楼,www.jnhi.com,1997/6/3
上海市,黄浦区,黄浦区,绿地控股,绿地控股集团股份有限公司,不动产投资开发,18038876,1161136,6.40%,绿地控股(600606),上海市打浦路700号,上海市打浦路700号,www.ldjt.com.cn,1992/3/27
上海市,黄浦区,黄浦区,神奇制药,上海神奇制药投资管理股份有限公司,制药,114703,9129,8.00%,神奇制药(600613),上海市浦东新区上川路995号,上海市威海路128号长发大厦613室,www.gzsq.com,1992/8/20
上海市,黄浦区,黄浦区,氯碱化工,上海氯碱化工股份有限公司,通用化工品,541353,60247,11.10%,氯碱化工(600618),上海市化学工业区神工路200号,上海市黄浦区徐家汇路560号华仑大厦,www.scacc.com,1992/11/13
上海市,黄浦区,黄浦区,龙头股份,上海龙头(集团)股份有限公司,服装与服饰,282287,12880,4.60%,龙头股份(600630),上海市黄浦区制造局路584号10幢4楼,上海市制造局路584号A座4楼,www.shanghaidragon.com.cn,1993/2/9
上海市,黄浦区,黄浦区,富控互动,上海富控互动娱乐股份有限公司,互联网,62194,21380,34.40%,富控互动(600634),上海市虹口区广粤路437号2幢,上海市黄浦区中山东二路88号外滩SOHOC座22层,www.600634.com,1993/3/4
上海市,黄浦区,黄浦区,锦江投资,上海锦江国际实业投资股份有限公司,公路运输,178913,24189,13.50%,锦江投资(600650),上海市浦东大道1号,上海市延安东路100号联谊大厦28楼,www.jjtz.com,1993/6/7
上海市,黄浦区,黄浦区,游久游戏,上海游久游戏股份有限公司,互联网,13903,4033,29.00%,游久游戏(600652),上海市石门二路333弄3号6B,上海市肇嘉浜路666号,www.sh-ace.com,1990/12/19
上海市,黄浦区,黄浦区,申华控股,上海申华控股股份有限公司,汽车,365268,-27673,-7.60%,申华控股(600653),上海市宁波路1号,上海市宁波路1号,www.600653.com.cn,1990/12/19
上海市,黄浦区,黄浦区,豫园股份,上海豫园旅游商城股份有限公司,服装服饰零售,1355405,55065,4.10%,豫园股份(600655),上海市文昌路19号,上海市黄浦区复兴东路2号,www.yuyuantm.com.cn,1992/9/2
上海市,黄浦区,黄浦区,上海三毛,上海三毛企业（集团）股份有限公司,服装与服饰,89312,1623,1.80%,上海三毛(600689),中国（上海）自由贸易试验区浦东大道1476号、1482号1401-1415室,上海市黄浦区斜土路791号C幢,www.600689.com,1993/11/8
上海市,黄浦区,黄浦区,华域汽车,华域汽车系统股份有限公司,汽车零配件（IV）,10374556,740280,7.10%,华域汽车(600741),上海市威海路489号,上海市威海路489号,www.hasco-group.com,1996/8/26
上海市,黄浦区,黄浦区,上实发展,上海实业发展股份有限公司,不动产投资开发,376072,45293,12.00%,上实发展(600748),中国（上海）自由贸易试验区浦东南路1085号华申大厦六楼,上海市淮海中路98号金钟广场20层,www.sidlgroup.com,1996/9/25
上海市,黄浦区,黄浦区,锦江股份,上海锦江国际酒店发展股份有限公司,酒店业,1003048,99448,9.90%,锦江股份(600754),上海市浦东新区杨高南路889号东锦江大酒店商住楼四层（B区域）,上海市延安东路100号25楼,www.jinjianghotels.sh.cn,1996/10/11
上海市,黄浦区,黄浦区,安信信托,安信信托股份有限公司,不动产投资信托,419650,351321,83.70%,安信信托(600816),上海市杨浦区控江路1553-1555号A座3楼301室,上海市广东路689号29层,www.anxintrust.com,1994/1/28
上海市,黄浦区,黄浦区,上海物贸,上海物资贸易股份有限公司,综合供应商,468642,3770,0.80%,上海物贸(600822),上海市黄浦区南苏州路325号7楼,上海市黄浦区南苏州路325号7楼,www.600822sh.com,1994/2/4
