省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
云南省,昆明市,西山区,*ST沪科,上海宽频科技股份有限公司,电子电气组件与设备,22345,-2517,-11.30%,*ST沪科(600608),上海市浦东新区民夏路100号2幢304室,云南省昆明市西山区盘龙路25号院5号楼3楼,www.600608.net,1992/3/27
云南省,昆明市,西山区,易见股份,易见供应链管理股份有限公司,商业辅助服务,969218,90266,9.30%,易见股份(600093),四川省成都市高新南区天府大道北段1700号6-1-1704,云南省昆明市西山区前卫西路688号九天大厦10楼,www.easy-visible.com,1997/6/26
云南省,昆明市,西山区,西仪股份,云南西仪工业股份有限公司,汽车零配件（IV）,66032,2017,3.10%,西仪股份(002265),云南省昆明市西山区海口镇山冲,云南省昆明市西山区海口镇山冲,www.ynxygy.com,2008/8/6
云南省,昆明市,西山区,云天化,云南云天化股份有限公司,特种化工品,4596951,3809,0.10%,云天化(600096),云南省昆明市滇池路1417号,云南省昆明市滇池路1417号,www.yyth.com.cn,1997/7/9
云南省,昆明市,西山区,云煤能源,云南煤业能源股份有限公司,煤炭开采,300819,-10573,-3.50%,云煤能源(600792),云南省昆明市经济技术开发区经开路3号科技创新园A46号,云南省昆明市西山区环城南路777号昆钢科技大厦7楼,--,1997/1/23
云南省,昆明市,五华区,昆百大A,昆明百货大楼(集团)股份有限公司,百货零售,93744,5039,5.40%,昆百大A(000560),云南省昆明市东风西路1号,云南省昆明市东风西路1号昆百大C座12楼董事会办公室,000560.kunbuy.com,1994/2/2
云南省,昆明市,五华区,昆药集团,昆药集团股份有限公司,制药,410620,34662,8.40%,昆药集团(600422),云南省昆明市国家高新技术开发区科医路166号,云南省昆明市国家高新技术开发区科医路166号,www.kpc.com.cn,2000/12/6
云南省,昆明市,五华区,贵研铂业,贵研铂业股份有限公司,铂与贵金属开采,1126676,11633,1.00%,贵研铂业(600459),云南省昆明高新技术产业开发区科技路988号,云南省昆明高新技术产业开发区科技路988号,www.sino-platinum.com.cn,2003/5/16
云南省,昆明市,盘龙区,云南旅游,云南旅游股份有限公司,酒店业,82288,5390,6.60%,云南旅游(002059),云南省昆明市白龙路世博园,云南省昆明市世博路10号云南旅游股份有限公司办公楼,www.expo99km.com,2006/8/10
云南省,昆明市,盘龙区,ST景谷,云南景谷林业股份有限公司,林业,4520,-2352,-52.00%,ST景谷(600265),云南省普洱市景谷县振兴路83号,云南省昆明市盘龙区王旗营路89号金领地大厦13层1304室,www.jgly.cn,2000/8/25
云南省,昆明市,盘龙区,太平洋,太平洋证券股份有限公司,投资服务,88655,13666,15.40%,太平洋(601099),云南省昆明市北京路926号同德广场写字楼31楼,云南省昆明市北京路926号同德广场写字楼31楼,www.tpyzq.com,2007/12/28
云南省,昆明市,官渡区,云南铜业,云南铜业股份有限公司,有色金属,4547021,34289,0.80%,云南铜业(000878),云南省昆明市国家高新技术产业开发区,云南省昆明市人民东路111号,www.yunnancopper.com,1998/6/2
云南省,昆明市,官渡区,云内动力,昆明云内动力股份有限公司,汽车零配件（IV）,390649,15796,4.00%,云内动力(000903),云南省昆明市经济技术开发区经景路66号,云南省昆明市经济技术开发区经景路66号,www.yunneidongli.com,1999/4/15
云南省,昆明市,官渡区,南天信息,云南南天电子信息产业股份有限公司,计算机服务,135339,-6553,-4.80%,南天信息(000948),云南省昆明市高新技术产业开发区高新区产业研发基地,云南省昆明市环城东路455号,www.nantian.com.cn,1999/10/14
云南省,昆明市,官渡区,云南能投,云南能源投资股份有限公司,食品生产（IV）,112263,14466,12.90%,云南能投(002053),云南省昆明市官渡区春城路276号,云南省昆明市官渡区春城路276号,www.ynyh.com,2006/6/27
云南省,昆明市,官渡区,云投生态,云南云投生态环境科技股份有限公司,林业,67007,-3824,-5.70%,云投生态(002200),云南省昆明市经济技术开发区经浦路6号,云南省昆明市经济技术开发区经浦路6号,www.yt-eco.com,2007/12/21
云南省,昆明市,官渡区,一心堂,云南鸿翔一心堂药业(集团)股份有限公司,药品零售,560240,34555,6.20%,一心堂(002727),云南省昆明市经济技术开发区鸿翔路1号,云南省昆明市经济技术开发区鸿翔路1号,www.hx8886.com,2014/7/2
云南省,昆明市,官渡区,华能水电,华能澜沧江水电股份有限公司,电力（IV）,910682,237514,26.10%,华能水电(600025),云南省昆明市官渡区世纪城中路1号,云南省昆明市官渡区世纪城中路1号,www.hnlcj.cn,2017/12/15
云南省,昆明市,官渡区,云南城投,云南城投置业股份有限公司,不动产投资开发,639133,-47109,-7.40%,云南城投(600239),云南省昆明市民航路869号融城金阶广场A座,云南省昆明市民航路869号融城金阶广场A座,www.ynctzy.com,1999/12/2
云南省,昆明市,官渡区,博闻科技,云南博闻科技实业股份有限公司,建材与构件,1608,4017,249.80%,博闻科技(600883),云南省保山市隆阳区汉庄镇小堡子,云南省昆明市官渡区春城路219号东航投资大厦806室,www.ynbowin.com,1995/12/8
云南省,昆明市,高新区,龙津药业,昆明龙津药业股份有限公司,制药,21507,2688,12.50%,龙津药业(002750),云南省昆明市高新区科高路2188号,云南省昆明市高新区科高路2188号,www.longjin.com.cn,2015/3/24
云南省,昆明市,高新区,沃森生物,云南沃森生物技术股份有限公司,生物科技,43503,-8596,-19.80%,沃森生物(300142),云南省昆明市高新开发区北区云南大学科技园2期A3幢4楼,云南省昆明市高新区科园路99号鼎易天城9栋A座19楼,www.walvax.com,2010/11/12
云南省,昆明市,东川区,川金诺,昆明川金诺化工股份有限公司,通用化工品,56612,4581,8.10%,川金诺(300505),云南省昆明市东川区铜都镇四方地工业园区,云南省昆明市东川区铜都镇四方地工业园区,www.kmcjn.com,2016/3/15
云南省,昆明市,呈贡区,云南白药,云南白药集团股份有限公司,制药,1800779,300465,16.70%,云南白药(000538),云南省昆明市呈贡区云南白药街3686号,云南省昆明市呈贡区云南白药街3686号,www.yunnanbaiyao.com.cn,1993/12/15
云南省,昆明市,呈贡区,云铝股份,云南铝业股份有限公司,铝业,1640343,57730,3.50%,云铝股份(000807),云南省昆明市呈贡区七甸街道,云南省昆明市呈贡区七甸街道,www.ylgf.com,1998/4/8
云南省,昆明市,呈贡区,云南锗业,云南临沧鑫圆锗业股份有限公司,有色金属,27663,-1480,-5.40%,云南锗业(002428),云南省临沧市临翔区忙畔街道办事处忙畔社区喜鹊窝组168号,云南省昆明市呈贡新区马金铺电力装备园魁星街,www.sino-ge.com,2010/6/8
