省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
内蒙古自治区,呼和浩特市,赛罕区,兰太实业,内蒙古兰太实业股份有限公司,通用化工品,245413,33529,13.70%,兰太实业(600328),,内蒙古自治区阿拉善经济开发区贺兰区,内蒙古自治区阿拉善左旗乌斯太镇阿拉善经济开发区,www.lantaicn.com,2000-12-22
内蒙古自治区,呼和浩特市,赛罕区,*ST平能,内蒙古平庄能源股份有限公司,煤炭开采,201924,23137,11.50%,*ST平能(000780),,内蒙古自治区赤峰市元宝山区平庄镇哈河街,内蒙古自治区赤峰市元宝山区平庄镇哈河街平庄能源公司,www.nmgpzny.com,1997-6-6
内蒙古自治区,呼和浩特市,赛罕区,露天煤业,内蒙古霍林河露天煤业股份有限公司,煤炭开采,541002,142650,26.40%,露天煤业(002128),,内蒙古自治区霍林郭勒市哲里木大街（霍矿珠斯花区）,内蒙古自治区霍林郭勒市哲里木大街（霍矿珠斯花区）,www.zdhm.com.cn,2007-4-18
内蒙古自治区,呼和浩特市,赛罕区,东宝生物,包头东宝生物技术股份有限公司,生物科技,24253,1851,7.60%,东宝生物(300239),,内蒙古自治区包头市稀土高新技术产业开发区黄河大街46号,内蒙古自治区包头市稀土高新技术产业开发区黄河大街46号,www.dongbaoshengwu.com,2011-7-6
内蒙古自治区,呼和浩特市,赛罕区,蒙草生态,内蒙古和信园蒙草抗旱绿化股份有限公司,综合公共事业,459313,88923,19.40%,蒙草生态(300355),,内蒙古自治区呼和浩特市盛乐经济园区盛乐五街南侧,内蒙古自治区呼和浩特市公园南路39号银都大厦B座3层,www.nmhxy.com,2012-9-27
内蒙古自治区,呼和浩特市,赛罕区,ST明科,包头明天科技股份有限公司,通用化工品,4410,1367,31.00%,ST明科(600091),,内蒙古自治区包头稀土高新技术产业开发区曙光路22号,内蒙古自治区包头稀土高新技术产业开发区曙光路22号,www.tomotech.com,1997-7-4
内蒙古自治区,呼和浩特市,赛罕区,北方稀土,内蒙古包钢稀土(集团)高科技股份有限公司,有色金属,709341,74419,10.50%,北方稀土(600111),,内蒙古自治区包头稀土高新技术产业开发区黄河大街83号,内蒙古自治区包头市稀土高新技术产业开发区黄河路83号,www.reht.com;www.reht.cn,1997-9-24
内蒙古自治区,呼和浩特市,赛罕区,生物股份,金宇生物技术股份有限公司,生物科技,132483,81087,61.20%,生物股份(600201),,内蒙古自治区呼和浩特市经济技术开发区沙尔沁工业园区金宇大街1号,内蒙古自治区呼和浩特市鄂尔多斯西街58号,www.jinyu.com.cn,1999-1-15
内蒙古自治区,呼和浩特市,赛罕区,北方股份,内蒙古北方重型汽车股份有限公司,商用运载工具与车辆,42322,1315,3.10%,北方股份(600262),,内蒙古自治区包头稀土高新技术产业开发区,内蒙古自治区包头稀土高新技术产业开发区北方股份大厦,www.chinanhl.com; www.chinanhl.cn,2000-6-30
内蒙古自治区,呼和浩特市,赛罕区,西水股份,内蒙古西水创业股份有限公司,人寿保险（IV）,0,219426,#DIV/0!,西水股份(600291),,内蒙古自治区乌海市海南区,内蒙古自治区乌海市海勃湾滨河区世景苑西4-21号,--,2000-7-31
内蒙古自治区,呼和浩特市,赛罕区,内蒙华电,内蒙古蒙电华能热电股份有限公司,电力（IV）,815819,85793,10.50%,内蒙华电(600863),,内蒙古自治区呼和浩特市锡林南路218号,内蒙古自治区呼和浩特市锡林南路工艺厂巷电力科技楼,www.nmhdwz.com,1994-5-20
内蒙古自治区,呼和浩特市,赛罕区,伊利股份,内蒙古伊利实业集团股份有限公司,食品生产（IV）,5212690,591502,11.30%,伊利股份(600887),,内蒙古自治区呼和浩特市金山开发区金山大街1号,内蒙古自治区呼和浩特市金山开发区金山大道1号,www.yili.com,1996-3-12
内蒙古自治区,呼和浩特市,赛罕区,君正集团,内蒙古君正能源化工集团股份有限公司,通用化工品,552357,182643,33.10%,君正集团(601216),,内蒙古自治区乌海市乌达工业园区,内蒙古自治区鄂尔多斯市鄂托克旗蒙西工业园区,www.junzhenggroup.com,2011-2-22
