省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
北京市,东城区,东城区,泛海控股,泛海控股股份有限公司,不动产投资开发,351006,131820,37.60%,泛海控股(000046),北京市东城区建国门内大街28号民生金融中心C座22层,北京市东城区建国门内大街28号民生金融中心C座22层,www.fhjs.cn,1994-9-12
北京市,东城区,东城区,中成股份,中成进出口股份有限公司,综合供应商,158480,7340,4.60%,中成股份(000151),北京市丰台区南四环西路188号二区8号楼,北京市东城区安定门西滨河路9号,www.complant-ltd.com,2000-9-6
北京市,东城区,东城区,绵石投资,北京绵石投资集团股份有限公司,不动产投资开发,24076,15637,64.90%,绵石投资(000609),北京市丰台区科学城海鹰路1号院6号楼5层,北京市东城区建国门内大街19号中纺大厦3层,www.mainstreets.cn,1996-10-10
北京市,东城区,东城区,光线传媒,北京光线传媒股份有限公司,广播与娱乐,154926,62602,40.40%,光线传媒(300251),北京市东城区和平里东街11号37号楼11105号,北京市东城区和平里东街11号3号楼3层,www.ewang.com,2011-8-3
北京市,东城区,东城区,中文在线,中文在线数字出版集团股份有限公司,出版业,47242,5587,11.80%,中文在线(300364),北京市东城区东总布胡同58号天润财富中心13层1301单元,北京市东城区安定门东大街28号2号楼9层905号,www.chineseall.com,2015-1-21
北京市,东城区,东城区,华夏银行,华夏银行股份有限公司,银行业（IV）,5007200,1905000,38.00%,华夏银行(600015),北京市东城区建国门内大街22号,北京市东城区建国门内大街22号华夏银行大厦,www.hxb.com.cn; www.95577.com.cn,2003-9-12
北京市,东城区,东城区,歌华有线,北京歌华有线电视网络股份有限公司,广播与娱乐,181411,60683,33.50%,歌华有线(600037),中国北京市海淀区花园北路35号（东门）,北京市东城区青龙胡同1号歌华大厦7层,www.bgctv.com.cn,2001-2-8
北京市,东城区,东城区,中国医药,中国医药健康产业股份有限公司,医疗设备,2144250,151850,7.10%,中国医药(600056),北京市东城区光明中街18号,北京市东城区光明中街18号,www.meheco.cn,1997-5-15
北京市,东城区,东城区,中青旅,中青旅控股股份有限公司,旅游业,771137,71177,9.20%,中青旅(600138),北京市东城区东直门南大街5号中青旅大厦,北京市东城区东直门南大街5号中青旅大厦,www.aoyou.com,1997-12-3
北京市,东城区,东城区,中金黄金,中金黄金股份有限公司,金矿开采,2530525,65885,2.60%,中金黄金(600489),北京市东城区柳荫公园南街1号5-7层,北京市东城区安外大街9号,www.zjgold.com,2003-8-14
北京市,东城区,东城区,王府井,王府井集团股份有限公司,百货零售,1876961,102726,5.50%,王府井(600859),北京市王府井大街255号,北京市王府井大街253号,www.wfj.com.cn,1994-5-6
北京市,东城区,东城区,中国神华,中国神华能源股份有限公司,煤炭开采,18253500,5298800,29.00%,中国神华(601088),北京市东城区安定门西滨河路22号,北京市东城区安定门西滨河路22号,www.csec.com;www.shenhuachina.com,2007-10-9
北京市,东城区,东城区,中国化学,中国化学工程股份有限公司,建筑施工,3834539,180499,4.70%,中国化学(601117),北京市东城区东直门内大街2号,北京市东城区东直门内大街2号,www.cncec.com.cn,2010-1-7
