省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
北京市,丰台区,丰台区,盛达矿业,盛达矿业股份有限公司,有色金属,76047,34047,44.80%,盛达矿业(000603),北京市大兴区瀛海镇京福路瀛海段1号,北京市丰台区南方庄158号盛达大厦2层,www.sdjt.com,1996-8-23
北京市,丰台区,丰台区,首航节能,北京首航艾启威节能技术股份有限公司,工业机械,116743,12918,11.10%,首航节能(002665),北京市大兴区榆顺路2号3号楼208室,北京市丰台区南四环188号总部基地3区20号楼,www.sh-ihw.com,2012-3-27
北京市,丰台区,丰台区,东方新星,北京东方新星石化工程股份有限公司,建筑施工,24353,1138,4.70%,东方新星(002755),北京市丰台区南四环西路188号七区28号楼,北京市丰台区南四环西路188号七区28号楼,www.bnec.cn,2015-5-15
北京市,丰台区,丰台区,华通热力,北京华远意通热力科技股份有限公司,电力（IV）,54938,4411,8.00%,华通热力(002893),北京市丰台区南四环西路186号三区5号楼5层01室,北京市丰台区南四环西路186号三区5号楼5层01室,www.huatongreli.com,2017-9-15
北京市,丰台区,丰台区,鼎汉技术,北京鼎汉技术股份有限公司,商用运载工具与车辆,81010,3748,4.60%,鼎汉技术(300011),北京市丰台区南四环西路188号十八区2号楼（园区）,北京市丰台区南四环西路188号十八区2号楼,www.dinghantech.com,2009-10-30
北京市,丰台区,丰台区,当升科技,北京当升材料科技股份有限公司,电子电气组件与设备,143589,20923,14.60%,当升科技(300073),北京市丰台区南四环西路188号总部基地18区21号,北京市丰台区南四环西路188号总部基地18区21号楼,www.easpring.com.cn,2010-4-27
北京市,丰台区,丰台区,高盟新材,北京高盟新材料股份有限公司,特种化工品,58670,5647,9.60%,高盟新材(300200),北京市丰台区科学城航丰路8号2层209室（园区）,北京市丰台区科学城航丰路8号,www.co-mens.com,2011-4-7
北京市,丰台区,丰台区,太空板业,北京太空板业股份有限公司,建材与构件,30304,1076,3.60%,太空板业(300344),北京市丰台区科学城中核路1号3号楼12层,北京市丰台区科学城中核路1号3号楼12层,www.taikong.cn,2012-8-1
北京市,丰台区,丰台区,中牧股份,中牧实业股份有限公司,生物科技,262008,34651,13.20%,中牧股份(600195),北京市丰台区南四环西路188号八区16-19号楼,北京市丰台区南四环西路188号总部基地八区16号楼,www.cahic.com,1999-1-7
北京市,丰台区,丰台区,动力源,北京动力源科技股份有限公司,电子电气组件与设备,76353,-3920,-5.10%,动力源(600405),北京市丰台区科技园区星火路8号,北京市丰台区科技园区星火路8号,www.dpc.com.cn,2004-4-1
北京市,丰台区,丰台区,金自天正,北京金自天正智能控制股份有限公司,工业机械,40921,1823,4.50%,金自天正(600560),北京市丰台区科学城富丰路6号,北京市丰台区科学城富丰路6号,www.aritime.com,2002-9-19
北京市,丰台区,丰台区,北矿科技,北矿科技股份有限公司,电子电气组件与设备,32673,3937,12.10%,北矿科技(600980),北京市丰台区南四环西路188号18区23号楼4层,北京市丰台区南四环西路188号18区23号楼4层,www.magmat.com,2004-5-12
北京市,丰台区,丰台区,华电重工,华电重工股份有限公司,工业工程,335152,211,0.10%,华电重工(601226),北京市丰台区汽车博物馆东路6号院1号楼B座11层,北京市丰台区汽车博物馆东路6号院1号楼B座,www.hhi.com.cn,2014-12-11
北京市,丰台区,丰台区,金诚信,金诚信矿业管理股份有限公司,普通矿开采,176510,22012,12.50%,金诚信(603979),北京市密云区经济开发区水源西路28号院1号楼101室,北京市丰台区育仁南路3号院3号楼10层,www.jchxmc.com,2015-6-30
北京市,丰台区,丰台区,中储股份,中储发展股份有限公司,运输服务,1924078,159703,8.30%,中储股份(600787),天津市北辰经济开发区,北京市丰台区南四环西路188号6区18号楼,www.cmstd.com.cn,1997-1-21
北京市,丰台区,丰台区,京蓝科技,京蓝科技股份有限公司,农业与渔业,91390,13624,14.90%,京蓝科技(000711),黑龙江省哈尔滨市南岗区经济技术开发区,北京市丰台区广安路9号国投财富广场3号楼5层,www.kinglandgroup.com,1997-4-11
北京市,丰台区,丰台区,航天科技,航天风华科技控股集团股份有限公司,综合工业,407955,11801,2.90%,航天科技(000901),黑龙江省哈尔滨市平房区哈平西路45号,北京市丰台区海鹰路1号海鹰科技大厦15、16层,--,1999-4-1
北京市,丰台区,丰台区,湖北宜化,湖北宜化化工股份有限公司,特种化工品,917906,-132397,-14.40%,湖北宜化(000422),湖北省宜昌市?V亭大道399号,北京市丰台区南四环西四路188号总部基地15区3号楼,www.hbyh.cn,1996-8-15
