省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
北京市,大兴区,大兴区,华北高速,华北高速公路股份有限公司,运输服务,75900,35817,47.20%,华北高速(000916),北京市经济技术开发区东环北路9号,北京市经济技术开发区东环北路9号,www.hbgsgl.com.cn,1999/9/27
北京市,大兴区,大兴区,久其软件,北京久其软件股份有限公司,软件,105469,15607,14.80%,久其软件(002279),北京市海淀区文慧园甲12号楼1层,北京市经济技术开发区西环中路6号,www.jiuqi.com.cn,2009/8/11
北京市,大兴区,大兴区,北方华创,北方华创科技集团股份有限公司,电子设备,154969,13605,8.80%,北方华创(002371),北京市朝阳区酒仙桥东路1号,北京市经济技术开发区文昌大道8号,www.naura.com,2010/3/16
北京市,大兴区,大兴区,中化岩土,中化岩土集团股份有限公司,建筑施工,158883,16095,10.10%,中化岩土(002542),北京市大兴工业开发区科苑路13号1号楼,北京市大兴工业开发区科苑路13号,www.cge.com.cn,2011/1/28
北京市,大兴区,大兴区,京威股份,北京威卡威汽车零部件股份有限公司,汽车零配件（IV）,396837,32076,8.10%,京威股份(002662),北京市大兴区魏永路(天堂河段)70号,北京市大兴区魏永路(天堂河段)70号,www.beijing-wkw.com,2012/3/9
北京市,大兴区,大兴区,合康新能,北京合康新能科技股份有限公司,电子电气组件与设备,87981,6035,6.90%,合康新能(300048),北京市石景山区古城西街19号中小科技企业基地院内,北京市经济技术开发区博兴二路3号,www.hiconics.com,2010/1/20
北京市,大兴区,大兴区,诚益通,北京诚益通控制工程科技股份有限公司,工业机械,36074,4508,12.50%,诚益通(300430),北京市昌平区科技园区超前路9号B座2172室,北京市大兴区生物医药产业基地庆丰西路27号,www.ctntech.com,2015/3/19
北京市,大兴区,大兴区,天坛生物,北京天坛生物制品股份有限公司,生物科技,129811,118112,91.00%,天坛生物(600161),北京市北京经济技术开发区西环南路18号A座126室,北京市经济技术开发区博兴二路6号,www.tiantanbio.com,1998/6/16
北京市,大兴区,大兴区,三元股份,北京三元食品股份有限公司,食品生产（IV）,468623,13776,2.90%,三元股份(600429),北京市大兴区瀛海瀛昌街8号,北京市大兴区瀛海瀛昌街8号,www.sanyuan.com.cn,2003/9/15
北京市,大兴区,大兴区,北方导航,北方导航控制技术股份有限公司,工业机械,102405,4057,4.00%,北方导航(600435),北京市亦庄经济技术开发区科创十五街2号,北京市亦庄经济技术开发区科创十五街2号,www.bfdh.com.cn,2003/7/4
北京市,大兴区,大兴区,东方时尚,东方时尚驾驶学校股份有限公司,运输服务,93675,30295,32.30%,东方时尚(603377),北京市大兴区金星西路19号,北京市大兴区金星西路19号,www.dfss.com.cn,2016/2/5
北京市,大兴区,大兴区,航天工程,航天长征化学工程股份有限公司,工业工程,72564,19846,27.40%,航天工程(603698),北京经济技术开发区路东区经海四路141号,北京经济技术开发区路东区经海四路141号,www.china-ceco.com,2015/1/28
北京市,大兴区,大兴区,神州长城,神州长城股份有限公司,建筑施工,468521,50082,10.70%,神州长城(000018),广东省深圳市大鹏新区葵涌街道白石岗葵鹏路26号,北京市经济技术开发区锦绣街3号神州长城大厦,www.udcgroup.com,1992/6/16
北京市,大兴区,大兴区,神州长城,神州长城股份有限公司,建筑施工,468521,50082,10.70%,神州B(200018),广东省深圳市大鹏新区葵涌街道白石岗葵鹏路26号,北京市经济技术开发区锦绣街3号神州长城大厦,www.udcgroup.com,1992/6/16
