省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
北京市,昌平区,昌平区,北新建材,北新集团建材股份有限公司,建材与构件,810711,183159,22.60%,北新建材(000786),北京市海淀区复兴路17号国海广场2号楼15层,北京未来科学城七北路 9 号北新中心A座,www.bnbm.com.cn,1997-6-6
北京市,昌平区,昌平区,北京利尔,北京利尔高温材料股份有限公司,建材与构件,150320,11913,7.90%,北京利尔(002392),北京市昌平区小汤山镇小汤山工业园4号楼,北京市昌平区小汤山工业园,www.bjlirr.com,2010-4-23
北京市,昌平区,昌平区,康得新,北京康得新复合材料股份有限公司,特种化工品,945063,225904,23.90%,康得新(002450),江苏省张家港市环保新材料产业园晨港路北侧、港华路西侧,北京市昌平区昌平科技园区振兴路26号,www.kangdexin.com,2010-7-16
北京市,昌平区,昌平区,雪迪龙,北京雪迪龙科技股份有限公司,工业机械,65904,13400,20.30%,雪迪龙(002658),北京市昌平区高新三街3号,北京市昌平区国际信息产业基地高新3街3号,www.chsdl.com,2012-3-9
北京市,昌平区,昌平区,乐普医疗,乐普(北京)医疗器械股份有限公司,医疗设备,329035,92344,28.10%,乐普医疗(300003),北京市昌平区超前路37号,北京市昌平区超前路37号,www.lepumedical.com,2009-10-30
北京市,昌平区,昌平区,博晖创新,北京博晖创新光电技术股份有限公司,医疗设备,30688,2531,8.20%,博晖创新(300318),北京市昌平区生命园路9号院,北京市昌平区生命园路9号院,www.bohui-tech.com,2012-5-23
北京市,昌平区,昌平区,新雷能,北京新雷能科技股份有限公司,电子电气组件与设备,27033,3019,11.20%,新雷能(300593),北京市昌平区科技园区超前路9号B座285室,北京市昌平区科技园区超前路9号B座285室,www.suplet.com,2017-1-13
北京市,昌平区,昌平区,三一重工,三一重工股份有限公司,工业机械,2815907,240018,8.50%,三一重工(600031),北京市昌平区北清路8号6幢5楼,北京市昌平区北清路8号,www.sanyhi.com,2003-7-3
北京市,昌平区,昌平区,福田汽车,北汽福田汽车股份有限公司,商用运载工具与车辆,3636685,-13253,-0.40%,福田汽车(600166),北京市昌平区沙河镇沙阳路老牛湾村北,北京市昌平区沙河镇沙阳路老牛湾村北,www.foton.com.cn,1998-6-2
北京市,昌平区,昌平区,中国软件,中国软件与技术服务股份有限公司,软件,296682,-35934,-12.10%,中国软件(600536),北京市昌平区昌盛路18号,北京市昌平区昌盛路18号,www.css.com.cn,2002-5-17
北京市,昌平区,昌平区,贝瑞基因,成都市贝瑞和康基因技术股份有限公司,电子电气组件与设备,81236,17567,21.60%,贝瑞基因(000710),四川省成都市经济技术开发区（龙泉驿区）成都汽车城大道333号,北京市昌平区科技园区生命园路4号院5号楼,www.txyb.com.cn,1997-4-22
