省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
北京市,海淀区,海淀区,神州高铁,神州高铁技术股份有限公司,商用运载工具与车辆,97914,15157,15.50%,神州高铁(000008),北京市海淀区高梁桥斜街59号院1号楼16层1606,北京市海淀区高梁桥斜街59号院1号楼(中坤大厦)16层,www.shenzhou-gaotie.com,1992/5/7
北京市,海淀区,海淀区,中关村,北京中关村科技发展(控股)股份有限公司,不动产投资开发,112231,-1199,-1.10%,中关村(000931),北京市海淀区中关村南大街32号,北京市海淀区中关村南大街31号神舟大厦8层,www.centek.com.cn,1999/7/12
北京市,海淀区,海淀区,紫光股份,紫光股份有限公司,计算机硬件,2702186,189395,7.00%,紫光股份(000938),北京市清华大学紫光大楼,北京市海淀区清华大学紫光大楼,www.unis.cn,1999/11/4
北京市,海淀区,海淀区,安泰科技,安泰科技股份有限公司,工业金属,347111,8269,2.40%,安泰科技(000969),北京市海淀区学院南路76号,北京市海淀区学院南路76号,www.atmcn.com,2000/5/29
北京市,海淀区,海淀区,中科三环,北京中科三环高技术股份有限公司,电子电气组件与设备,277293,31154,11.20%,中科三环(000970),北京市海淀区中关村东路66号甲1号楼27层,北京市海淀区中关村东路66号甲1号楼27层,www.san-huan.com.cn,2000/4/20
北京市,海淀区,海淀区,双鹭药业,北京双鹭药业股份有限公司,生物科技,77368,43312,56.00%,双鹭药业(002038),北京市海淀区西三环北路100号金玉大厦1103-1105室,北京市海淀区碧桐园一号楼,www.slpharm.com.cn,2004/9/9
北京市,海淀区,海淀区,中工国际,中工国际工程股份有限公司,建筑施工,623299,96701,15.50%,中工国际(002051),北京市海淀区丹棱街3号,北京市海淀区丹棱街3号,www.camce.com.cn,2006/6/19
北京市,海淀区,海淀区,东华软件,东华软件股份公司,软件,422784,94056,22.20%,东华软件(002065),北京市海淀区紫金数码园3号楼15层1501,北京市海淀区知春路紫金数码园东华合创大厦16层,www.dhcc.com.cn,2006/8/23
北京市,海淀区,海淀区,北纬科技,北京北纬通信科技股份有限公司,移动通信服务,43945,14396,32.80%,北纬科技(002148),北京市丰台区西四环南路19号九号楼247室,北京市海淀区首体南路22号国兴大厦5层、26层,www.bisp.com,2007/8/10
北京市,海淀区,海淀区,北斗星通,北京北斗星通导航技术股份有限公司,通讯设备,139557,8946,6.40%,北斗星通(002151),北京市海淀区中关村永丰高新技术产业基地丰贤东路7号北斗星通大厦,北京市海淀区中关村永丰高新技术产业基地丰贤东路7号北斗星通大厦,www.BDStar.com,2007/8/13
北京市,海淀区,海淀区,北京科锐,北京科锐配电自动化股份有限公司,电子电气组件与设备,141287,1921,1.40%,北京科锐(002350),北京市海淀区西北旺东路10号院东区4号楼,北京市海淀区西北旺东路10号院东区4号楼,www.creat-da.com.cn,2010/2/3
北京市,海淀区,海淀区,汉王科技,汉王科技股份有限公司,计算机服务,40327,2183,5.40%,汉王科技(002362),北京市海淀区东北旺西路8号5号楼三层,北京市海淀区东北旺西路8号5号楼,www.hanwang.com.cn,2010/3/3
北京市,海淀区,海淀区,千方科技,北京千方科技股份有限公司,软件,150331,32296,21.50%,千方科技(002373),北京市海淀区东北旺西路8号中关村软件园一期27号楼B座501号,北京市海淀区东北旺西路8号中关村软件园27号院,www.ctfo.com,2010/3/18
北京市,海淀区,海淀区,大北农,北京大北农科技集团股份有限公司,农业与渔业,1338524,103461,7.70%,大北农(002385),北京市海淀区中关村大街27号中关村大厦14层,北京市海淀区中关村大街27号中关村大厦14层,www.dbn.com.cn,2010/4/9
北京市,海淀区,海淀区,广联达,广联达软件股份有限公司,软件,140940,33912,24.10%,广联达(002410),北京市海淀区西北旺东路10号院东区13号楼,北京市海淀区西北旺东路10号院东区13号楼,www.glodon.com,2010/5/25
北京市,海淀区,海淀区,启明星辰,北京启明星辰信息技术股份有限公司,计算机服务,117568,1523,1.30%,启明星辰(002439),北京市海淀区东北旺西路8号中关村软件园21号楼启明星辰大厦一层,北京市海淀区东北旺西路8号中关村软件园21号楼启明星辰大厦一层,www.venustech.com.cn,2010/6/23
北京市,海淀区,海淀区,嘉事堂,嘉事堂药业股份有限公司,药品零售,1022153,47058,4.60%,嘉事堂(002462),北京市海淀区昆明湖南路11号1号楼,北京市海淀区昆明湖南路11号1号楼,www.cachet.com.cn,2010/8/18
北京市,海淀区,海淀区,惠博普,华油惠博普科技股份有限公司,采油设备与服务,107865,7833,7.30%,惠博普(002554),北京市海淀区马甸东路17号11层1212,北京市海淀区马甸东路17号11层1212,www.china-hbp.com,2011/2/25
北京市,海淀区,海淀区,清新环境,北京清新环境技术股份有限公司,电力（IV）,313360,73249,23.40%,清新环境(002573),北京市海淀区西八里庄路69号人民政协报大厦10层,北京市海淀区西八里庄路69号人民政协报大厦10层,www.qingxin.com.cn,2011/4/22
北京市,海淀区,海淀区,博彦科技,博彦科技股份有限公司,计算机服务,162602,13798,8.50%,博彦科技(002649),北京市海淀区西北旺东路10号院东区7号楼博彦科技大厦,北京市海淀区西北旺东路10号院东区7号楼博彦科技大厦,www.beyondsoft.com,2012/1/6
北京市,海淀区,海淀区,中科金财,北京中科金财科技股份有限公司,计算机服务,73443,12056,16.40%,中科金财(002657),北京市海淀区学院路39号唯实大厦1006室,北京市海淀区学院路51号楼首享科技大厦6层,www.sinodata.net.cn,2012/2/28
北京市,海淀区,海淀区,中矿资源,中矿资源勘探股份有限公司,建筑施工,33435,4357,13.00%,中矿资源(002738),北京市丰台区海鹰路5号503室,北京市海淀区长春桥路11号万柳亿城中心A座5层,www.nfmec.com,2014/12/30
北京市,海淀区,海淀区,东方中科,北京东方中科集成科技股份有限公司,专业零售,52970,1342,2.50%,东方中科(002819),北京市海淀区阜成路67号银都大厦12层,北京市海淀区阜成路67号银都大厦12层,www.jicheng.net.cn,2016/11/11
北京市,海淀区,海淀区,星网宇达,北京星网宇达科技股份有限公司,电子电气组件与设备,19892,4543,22.80%,星网宇达(002829),北京市海淀区蓝靛厂东路2号院2号楼4层1单元（A座）5C,北京市海淀区蓝靛厂东路2号院2号楼4层1单元（A座）5C,www.starneto.com,2016/12/13
北京市,海淀区,海淀区,探路者,探路者控股集团股份有限公司,服装与服饰,195497,8375,4.30%,探路者(300005),北京市昌平区科技园区永安路26号609,北京市海淀区知春路6号锦秋国际大厦A座21层,www.toread.com.cn,2009/10/30
北京市,海淀区,海淀区,立思辰,北京立思辰科技股份有限公司,计算机服务,107018,8333,7.80%,立思辰(300010),北京市门头沟区石龙南路6号1幢6-206室,北京市海淀区东北旺西路8号院25号楼立思辰大厦,www.lanxum.com,2009/10/30
北京市,海淀区,海淀区,北陆药业,北京北陆药业股份有限公司,制药,41823,11833,28.30%,北陆药业(300016),北京市密云区水源西路3号,北京市海淀区西直门北大街32号枫蓝国际A座写字楼7层,www.beilu.com.cn,2009/10/30
北京市,海淀区,海淀区,钢研高纳,北京钢研高纳科技股份有限公司,有色金属,48272,3613,7.50%,钢研高纳(300034),北京市海淀区大柳树南村19号,北京市海淀区大柳树南村19号,www.cisri-gaona.com.cn,2009/12/25
北京市,海淀区,海淀区,梅泰诺,北京梅泰诺通信技术股份有限公司,互联网,173283,34278,19.80%,梅泰诺(300038),北京市西城区新街口外大街28号主楼302室(德胜园区),北京市海淀区花园东路15号旷怡大厦7层,www.miteno.com,2010/1/8
北京市,海淀区,海淀区,华力创通,北京华力创通科技股份有限公司,计算机硬件,32711,2281,7.00%,华力创通(300045),北京市海淀区东北旺西路8号院中关村软件园乙18号楼创通科技大厦,北京市海淀区东北旺西路8号院中关村软件园乙18号楼创通大厦,www.hwacreate.com.cn,2010/1/20
北京市,海淀区,海淀区,万邦达,北京万邦达环保技术股份有限公司,综合公共事业,152716,35260,23.10%,万邦达(300055),北京市朝阳区酒仙桥路甲10号3号楼15层1506,北京市海淀区新街口外大街19号京师大厦9311室,www.waterbd.cn,2010/2/26
北京市,海淀区,海淀区,海兰信,北京海兰信数据科技股份有限公司,计算机服务,49447,10595,21.40%,海兰信(300065),北京市海淀区中关村东路1号院清华科技园科技大厦C座1902室,北京市海淀区清华科技园科技大厦C座1902室,www.highlander.com.cn,2010/3/26
北京市,海淀区,海淀区,碧水源,北京碧水源科技股份有限公司,水务,540589,93449,17.30%,碧水源(300070),北京市海淀区生命科学园路23-2号碧水源大厦,北京市海淀区生命科学园路23-2号碧水源大厦,www.originwater.com,2010/4/21
北京市,海淀区,海淀区,三聚环保,北京三聚环保新材料股份有限公司,特种化工品,1713621,220204,12.90%,三聚环保(300072),北京市海淀区人大北路33号1号楼大行基业大厦9层,北京市海淀区西直门北大街甲43号金运大厦A座8层、9层、13层,www.sanju.cn,2010/4/27
北京市,海淀区,海淀区,数字政通,北京数字政通科技股份有限公司,软件,54024,6615,12.20%,数字政通(300075),北京市海淀区西直门北大街32号枫蓝国际中心A座楼18层1805室,北京市海淀区中关村软件园9号楼国际软件大厦三区101室,www.egova.com.cn,2010/4/27
北京市,海淀区,海淀区,数码科技,北京数码视讯科技股份有限公司,消费电子产品,96957,6057,6.20%,数码科技(300079),北京市海淀区上地信息产业基地开拓路15号1幢,北京市海淀区上地信息产业基地开拓路15号1幢,www.sumavision.com,2010/4/30
北京市,海淀区,海淀区,晓程科技,北京晓程科技股份有限公司,电子电气组件与设备,17527,-2003,-11.40%,晓程科技(300139),北京市海淀区西三环北路87号国际财经中心D座503,北京市海淀区西三环北路87号国际财经中心D座503,www.xiaocheng.com,2010/11/12
北京市,海淀区,海淀区,世纪瑞尔,北京世纪瑞尔技术股份有限公司,软件,22273,-2565,-11.50%,世纪瑞尔(300150),北京市海淀区创业路8号3号楼6层3-9,北京市海淀区上地信息路22号上地科技综合楼B座九、十层,www.c-real.com.cn,2010/12/22
北京市,海淀区,海淀区,恒泰艾普,恒泰艾普石油天然气技术服务股份有限公司,采油设备与服务,254128,9893,3.90%,恒泰艾普(300157),北京市海淀区丰秀中路3号院4号楼401室,北京市海淀区丰秀中路3号院4号楼,www.ldocean.com.cn,2011/1/7
北京市,海淀区,海淀区,捷成股份,北京捷成世纪科技股份有限公司,计算机服务,284194,80251,28.20%,捷成股份(300182),北京市海淀区知春路1号学院国际大厦709室,北京市海淀区知春路1号学院国际大厦709室,www.jetsen.com.cn,2011/2/22
北京市,海淀区,海淀区,潜能恒信,潜能恒信能源技术股份有限公司,采油设备与服务,4841,-2270,-46.90%,潜能恒信(300191),北京市海淀区紫竹院路81号院3号楼北方地产大厦618,北京市海淀区紫竹院路81号院3号楼北方地产大厦618,www.sinogeo.com,2011/3/16
北京市,海淀区,海淀区,佳讯飞鸿,北京佳讯飞鸿电气股份有限公司,通讯设备,53468,4995,9.30%,佳讯飞鸿(300213),北京市海淀区锦带路88号院1号楼,北京市海淀区锦带路88号院1号楼,www.jiaxun.com,2011/5/5
北京市,海淀区,海淀区,北京君正,北京君正集成电路股份有限公司,电子电气组件与设备,12309,219,1.80%,北京君正(300223),北京市海淀区西北旺东路10号院东区14号楼A座一至三层,北京市海淀区西北旺东路10号院东区14号楼,www.ingenic.com,2011/5/31
北京市,海淀区,海淀区,银信科技,北京银信长远科技股份有限公司,计算机服务,60428,10416,17.20%,银信科技(300231),北京市海淀区苏州街29号维亚大厦12层071室,北京市海淀区苏州街29号维亚大厦12层071室,www.trustfar.cn,2011/6/15
北京市,海淀区,海淀区,华宇软件,北京华宇软件股份有限公司,计算机服务,133974,23095,17.20%,华宇软件(300271),北京市海淀区中关村东路1号院清华科技园科技大厦C座25层,北京市海淀区中关村东路1号院清华科技园科技大厦C座25层,www.thunisoft.com,2011/10/26
北京市,海淀区,海淀区,飞利信,北京飞利信科技股份有限公司,计算机服务,149018,32456,21.80%,飞利信(300287),北京市海淀区塔院志新村2号金唐酒店3层3078,北京市海淀区塔院志新村2号金唐酒店3层,www.philisense.com,2012/2/1
北京市,海淀区,海淀区,利亚德,利亚德光电股份有限公司,电子设备,428598,68234,15.90%,利亚德(300296),北京市海淀区颐和园北正红旗西街9号,北京市海淀区颐和园北正红旗西街9号,www.leyard.com,2012/3/15
北京市,海淀区,海淀区,同有科技,北京同有飞骥科技股份有限公司,计算机服务,21532,1532,7.10%,同有科技(300302),北京市海淀区地锦路9号院2号楼-1至4层101,北京市海淀区地锦路9号院2号楼,www.toyou.com.cn,2012/3/21
北京市,海淀区,海淀区,邦讯技术,邦讯技术股份有限公司,通讯设备,25817,-3978,-15.40%,邦讯技术(300312),北京市海淀区杏石口路80号益园文化创意产业基地A区4号楼一层,北京市海淀区杏石口路80号益园文化创意产业基地A区4号楼,www.boomsense.com,2012/5/8
北京市,海淀区,海淀区,掌趣科技,北京掌趣科技股份有限公司,互联网,127903,48536,37.90%,掌趣科技(300315),北京市海淀区奥北产业基地29号楼（北楼）1-9层,北京市海淀区宝盛南路1号院奥北科技园领智中心C座,www.ourpalm.com,2012/5/11
北京市,海淀区,海淀区,旋极信息,北京旋极信息技术股份有限公司,计算机服务,199237,43182,21.70%,旋极信息(300324),北京市海淀区丰秀中路3号院12号楼-1至5层101,北京市海淀区丰秀中路3号院12号楼,www.watertek.com,2012/6/8
北京市,海淀区,海淀区,天壕环境,天壕环境股份有限公司,燃气供应,121965,3806,3.10%,天壕环境(300332),北京市海淀区西直门北大街32号枫蓝国际中心2号楼906室,北京市海淀区西直门北大街32号枫蓝国际中心2号楼906室,www.trce.com.cn,2012/6/28
