省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
北京市,通州区,通州区,新华联,新华联文化旅游发展股份有限公司,不动产投资开发,370422,35060,9.50%,新华联(000620),,北京市通州区潞城镇人民政府北楼209室,北京市通州区台湖镇政府大街新华联集团总部大厦,--,1996-10-29
北京市,通州区,通州区,京东方A,京东方科技集团股份有限公司,电子电气组件与设备,6940836,810780,11.70%,京东方A(000725),,北京市朝阳区酒仙桥路10号,北京市北京经济技术开发区西环中路12号,www.boe.com.cn,2001-1-12
北京市,通州区,通州区,盛通股份,北京盛通印刷股份有限公司,商业辅助服务,93966,4833,5.10%,盛通股份(002599),,北京市北京经济技术开发区经海三路18号,北京市北京经济技术开发区经海三路18号,www.shengtongprint.com,2011-7-15
北京市,通州区,通州区,京东方A,京东方科技集团股份有限公司,电子电气组件与设备,6940836,810780,11.70%,京东方B(200725),,北京市朝阳区酒仙桥路10号,北京市北京经济技术开发区西环中路12号,www.boe.com.cn,2001-1-12
北京市,通州区,通州区,舒泰神,舒泰神(北京)生物制药股份有限公司,生物科技,108484,25794,23.80%,舒泰神(300204),,北京市北京经济技术开发区经海二路36号,北京市北京经济技术开发区经海二路36号,www.staidson.com,2011-4-15
北京市,通州区,通州区,利德曼,北京利德曼生化股份有限公司,医药与生物科技,38897,8493,21.80%,利德曼(300289),,北京市北京经济技术开发区兴海路5号,北京市北京经济技术开发区兴海路5号,www.leadmanbio.com,2012-2-16
北京市,通州区,通州区,赛升药业,北京赛升药业股份有限公司,制药,48417,23806,49.20%,赛升药业(300485),,北京市北京经济技术开发区兴盛街8号,北京市北京经济技术开发区兴盛街8号,www.ssyy.com.cn,2015-6-26
北京市,通州区,通州区,科蓝软件,北京科蓝软件系统股份有限公司,软件,28923,-7896,-27.30%,科蓝软件(300663),,北京市北京经济技术开发区永昌北路3号7号楼D06室,北京市北京经济技术开发区永昌北路3号7号楼D06室,www.csii.com.cn,2017-6-8
北京市,通州区,通州区,*ST京城,北京京城机电股份有限公司,工业机械,84837,-8701,-10.30%,*ST京城(600860),,北京市朝阳区东三环中路59号楼901室,北京市通州区?t县镇?t县南三街2号,www.btic.com.cn,1994-5-6
北京市,通州区,通州区,京运通,北京京运通科技股份有限公司,工业机械,130014,35381,27.20%,京运通(601908),,北京市北京经济技术开发区经海四路158号,北京市北京经济技术开发区经海四路158号,www.jingyuntong.com,2011-9-8
北京市,通州区,通州区,森特股份,森特士兴集团股份有限公司,建筑施工,118007,15324,13.00%,森特股份(603098),,北京市北京经济技术开发区融兴北二街1号院3号楼2层,北京市北京经济技术开发区永昌北路3号3幢8404室,www.centerint.com,2016-12-16
北京市,通州区,通州区,昭衍新药,北京昭衍新药研究中心股份有限公司,医药与生物科技,16977,3950,23.30%,昭衍新药(603127),,北京市北京经济技术开发区荣京东街甲5号,北京市北京经济技术开发区荣京东街甲5号,www.joinn-lab.com,2017-8-25
