省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
北京市,顺义区,顺义区,燕京啤酒,北京燕京啤酒股份有限公司,酿酒业,1019265,66466,6.50%,燕京啤酒(000729),北京市顺义区双河路9号,北京市顺义区双河路9号,www.yanjing.com.cn,1997-7-16
北京市,顺义区,顺义区,顺鑫农业,北京顺鑫农业股份有限公司,酿酒业,884881,38714,4.40%,顺鑫农业(000860),北京市顺义区站前街1号院1号楼顺鑫国际商务中心12层,北京市顺义区站前街1号院1号楼顺鑫国际商务中心12层,www.000860.com,1998-11-4
北京市,顺义区,顺义区,嘉寓股份,北京嘉寓门窗幕墙股份有限公司,建筑施工,193880,12462,6.40%,嘉寓股份(300117),北京市顺义区牛栏山镇牛富路1号,北京市顺义区牛栏山镇牛富路1号,www.jiayu.com.cn,2010-9-2
北京市,顺义区,顺义区,安达维尔,北京安达维尔科技股份有限公司,航空航天,21532,925,4.30%,安达维尔(300719),北京市海淀区知春路1号学院国际大厦11层1112室,北京市顺义区仁和地区杜杨北街19号,www.andawell.com,2017-11-9
北京市,顺义区,顺义区,大龙地产,北京市大龙伟业房地产开发股份有限公司,不动产投资开发,25058,-4043,-16.10%,大龙地产(600159),北京市顺义区府前东街甲2号,北京市顺义区府前东街甲2号,www.dldc.com.cn,1998-5-26
北京市,顺义区,顺义区,外运发展,中外运空运发展股份有限公司,综合供应商,423510,106515,25.20%,外运发展(600270),北京市顺义区天竺空港工业区A区天柱路20号,北京市顺义区天竺空港工业区A区天柱路20号,www.sinoair.com,2000-12-28
北京市,顺义区,顺义区,空港股份,北京空港科技园区股份有限公司,建筑施工,125488,6645,5.30%,空港股份(600463),北京市顺义区天竺空港工业区A区,北京市天竺空港工业区B区裕民大街甲6号5层,www.600463.com.cn,2004-3-18
北京市,顺义区,顺义区,中国国航,中国国际航空股份有限公司,航空客运,9299579,1230415,13.20%,中国国航(601111),北京市顺义区空港工业区天柱路28号蓝天大厦,北京市天竺空港经济开发区天柱路30号,www.airchina.com.cn,2006-8-18
北京市,顺义区,顺义区,江河集团,江河创建集团股份有限公司,建筑施工,1080056,53196,4.90%,江河集团(601886),北京市顺义区牛汇北五街5号,北京市顺义区牛汇北五街5号,www.janghogroup.com,2011-8-18
北京市,顺义区,顺义区,曲美家居,曲美家具集团股份有限公司,家具,143256,21623,15.10%,曲美家居(603818),北京市顺义区南彩镇祥东路11号,北京市顺义区南彩镇祥东路11号,www.qumei.com,2015-4-22
