省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
四川省,成都市,新津县,新筑股份,成都市新筑路桥机械股份有限公司,工业机械,84608,-10342,-12.20%,新筑股份(002480),,四川省成都市四川新津工业园区,四川省成都市四川新津工业园区,www.xinzhu.com,2010-9-21
四川省,成都市,新津县,达威股份,四川达威科技股份有限公司,通用化工品,24258,4788,19.70%,达威股份(300535),,四川省成都市新津县五津镇希望路555号,四川省成都市新津县五津镇希望路555号,www.dowellchem.cn,2016-8-12
四川省,成都市,新都区,云图控股,成都云图控股股份有限公司,特种化工品,564889,10503,1.90%,云图控股(002539),,四川省成都市新都工业开发区南二路,四川省成都市新都工业开发区南二路,www.wintrueholding.com,2011-1-18
四川省,成都市,新都区,旭光股份,成都旭光电子股份有限公司,电子电气组件与设备,77602,5747,7.40%,旭光股份(600353),,四川省成都市新都区新都镇新工大道318号,四川省成都市新都区新都镇新工大道318号,www.xuguang.com.cn,2002-11-20
四川省,成都市,新都区,航发科技,中国航发航空科技股份有限公司,航空航天,131788,3119,2.40%,航发科技(600391),,四川省成都市高新区天韵路150号1栋9楼901号,四川省成都市新都区三河街成发工业园,http://ast.aecc.cn,2001-12-12
四川省,成都市,新都区,中兵红箭,中兵红箭股份有限公司,工业机械,262252,4936,1.90%,中兵红箭(000519),,湖南省湘潭国家高新技术产业开发区德国工业园莱茵路1号,四川省成都市新都区龙桥镇,www.yhdle.com,1993-10-8
四川省,成都市,武侯区,藏格控股,藏格控股股份有限公司,通用化工品,197714,78312,39.60%,藏格控股(000408),,青海省格尔木市昆仑南路15-02号,成都市高新区天府大道中段279号成达大厦11楼1107室,--,1996-6-28
四川省,成都市,武侯区,西藏发展,西藏银河科技发展股份有限公司,酿酒业,26345,3963,15.00%,西藏发展(000752),,西藏自治区拉萨市色拉路36号,成都市武侯区人民南路4段45号新希望大厦1608,--,1997-6-25
四川省,成都市,武侯区,华塑控股,同人华塑股份有限公司,建材与构件,151840,-540,-0.40%,华塑控股(000509),,四川省南充市涪江路117号,四川省成都市武侯区火车南站西路15号麦田中心15F,--,1993-5-7
四川省,成都市,武侯区,兴蓉环境,成都市兴蓉环境股份有限公司,水务,272497,89105,32.70%,兴蓉环境(000598),,四川省成都市青羊区苏坡乡万家湾村,四川省成都市武侯区锦城大道1000号4-5楼,www.cdxrec.com,1996-5-29
四川省,成都市,武侯区,高新发展,成都高新发展股份有限公司,建筑施工,41662,3283,7.90%,高新发展(000628),,四川省成都市高新技术产业开发区,四川省成都高新区九兴大道8号,www.cdgxfz.com,1996-11-18
四川省,成都市,武侯区,四川双马,四川双马水泥股份有限公司,建材与构件,185981,12556,6.80%,四川双马(000935),,四川省江油市二朗庙镇,成都市高新区盛和一路88号康普雷斯大厦一单元25楼,www.cement.com.cn,1999-8-24
四川省,成都市,武侯区,川大智胜,四川川大智胜软件股份有限公司,软件,15401,1818,11.80%,川大智胜(002253),,四川省成都市武科东一路七号,四川省成都市武科东一路七号,www.wisesoft.com.cn,2008-6-23
四川省,成都市,武侯区,卫士通,成都卫士通信息产业股份有限公司,计算机服务,103343,-14062,-13.60%,卫士通(002268),,四川省成都高新技术产业开发区云华路333号,四川省成都市高新技术产业开发区云华路333号二栋,www.westone.com.cn,2008-8-11
四川省,成都市,武侯区,成都路桥,成都市路桥工程股份有限公司,建筑施工,113920,3187,2.80%,成都路桥(002628),,四川省成都市武侯区武科东四路11号,四川省成都市武侯区武科东四路11号,www.cdlq.com,2011-11-3
四川省,成都市,武侯区,利君股份,成都利君实业股份有限公司,工业机械,34537,8846,25.60%,利君股份(002651),,四川省成都市武侯区武科东二路5号,四川省成都市武侯区武科东二路5号,www.cdleejun.com,2012-1-6
四川省,成都市,武侯区,硅宝科技,成都硅宝科技股份有限公司,特种化工品,49466,4016,8.10%,硅宝科技(300019),,四川省成都高新区新园大道16号,四川省成都高新区新园大道16号,www.cnguibao.com,2009-10-30
四川省,成都市,武侯区,振芯科技,成都振芯科技股份有限公司,通讯设备,26884,4099,15.20%,振芯科技(300101),,四川省成都高新区高朋大道1号,四川省成都高新区高朋大道1号,www.corpro.cn,2010-8-6
四川省,成都市,武侯区,银河磁体,成都银河磁体股份有限公司,电子电气组件与设备,37460,11208,29.90%,银河磁体(300127),,四川省成都市高新技术开发区西区百草路6号,四川省成都市高新技术开发区西区百草路6号,www.galaxymagnets.com,2010-10-13
四川省,成都市,武侯区,依米康,四川依米康环境科技股份有限公司,工业机械,59575,1670,2.80%,依米康(300249),,四川省成都高新区科园南二路二号,四川省成都高新区科园南二路二号,www.sunrisegroup.com.cn,2011-8-3
四川省,成都市,武侯区,中光防雷,四川中光防雷科技股份有限公司,通讯设备,25213,3397,13.50%,中光防雷(300414),,四川省成都高新区西部园区天宇路19号,四川省成都高新区西部园区天宇路19号,www.zhongguang.com,2015-5-13
四川省,成都市,武侯区,环能科技,环能科技股份有限公司,工业机械,47614,6184,13.00%,环能科技(300425),,四川省成都市武侯区兴一路3号,四川省成都市武侯区兴一路3号,www.scimee.com,2015-2-16
四川省,成都市,武侯区,运达科技,成都运达科技股份有限公司,计算机服务,39381,8055,20.50%,运达科技(300440),,四川省成都高新区新达路11号,四川省成都高新区新达路11号,www.yd-tec.com,2015-4-23
四川省,成都市,武侯区,迅游科技,四川迅游网络科技股份有限公司,互联网,14067,5383,38.30%,迅游科技(300467),,四川省成都高新区世纪城南路599号7栋6、7层,四川省成都高新区世纪城南路599号7栋6、7层,www.xunyou.com,2015-5-27
四川省,成都市,武侯区,日机密封,四川日机密封件股份有限公司,工业机械,35353,9394,26.60%,日机密封(300470),,四川省成都市武侯区武科西四路八号,四川省成都市武侯区武科西四路八号,www.sns-china.com,2015-6-12
四川省,成都市,武侯区,厚普股份,成都华气厚普机电设备股份有限公司,工业机械,68856,5833,8.50%,厚普股份(300471),,成都高新区世纪城南路599号6栋11层3号,成都市高新区康隆路555号,www.hqhop.com,2015-6-11
四川省,成都市,武侯区,新易盛,成都新易盛通信技术股份有限公司,电子电气组件与设备,66192,11062,16.70%,新易盛(300502),,四川省成都高新区高朋大道21号1幢四楼,四川省成都高新区高朋大道21号1幢四楼,www.eoptolink.com,2016-3-3
四川省,成都市,武侯区,佳发安泰,成都佳发安泰科技股份有限公司,软件,10218,3776,37.00%,佳发安泰(300559),,四川省成都市武侯区武兴五路433号（武侯新城管委会内）,四川省成都市武侯区武兴五路433号（武侯新城管委会内）,ww.jf-r.com,2016-11-1
四川省,成都市,武侯区,中科信息,中科院成都信息技术股份有限公司,软件,12518,665,5.30%,中科信息(300678),,四川省成都市高新区天晖路360号晶科1号大厦18栋1803室,四川省成都市人民南路四段九号,www.casit.com.cn,2017-7-28
四川省,成都市,武侯区,川投能源,四川川投能源股份有限公司,电力（IV）,55270,289719,524.20%,川投能源(600674),,四川省成都市临江西路1号,四川省成都市临江西路1号,www.scte.com.cn,1993-9-24
四川省,成都市,武侯区,S*ST前锋,成都前锋电子股份有限公司,不动产投资开发,2207,-182,-8.30%,S前锋(600733),,四川省成都市武侯区人民南路四段1号,成都市高新区吉庆3路333号蜀都中心2期1栋3单元16层,www.600733.net,1996-8-16
四川省,成都市,武侯区,四川成渝,四川成渝高速公路股份有限公司,运输服务,578444,120844,20.90%,四川成渝(601107),,四川省成都市武侯祠大街252号,四川省成都市武侯祠大街252号,www.cygs.com,2009-7-27
四川省,成都市,温江区,*ST华泽,成都华泽钴镍材料股份有限公司,有色金属,34948,-11064,-31.70%,*ST华泽(000693),,四川省成都市海峡两岸科技开发园科技创新中心,四川省成都市温江区凤溪大道北段666号双子国际写字楼西楼1512室,www.ufg.com.cn,1997-2-26
四川省,成都市,双流县,金石东方,四川金石东方新材料设备股份有限公司,生物科技,32043,4121,12.90%,金石东方(300434),,四川省成都市双流县九江镇万家社区,四川省成都市双流县九江镇万家社区,www.goldstone-group.com,2015-4-24
四川省,成都市,双流县,天科股份,四川天一科技股份有限公司,特种化工品,32445,2376,7.30%,天科股份(600378),,四川省成都高新区高朋大道5号成都高新区技术创新服务中心,四川省成都市外南机场路常乐2段12号,www.tianke.com,2001-1-11
四川省,成都市,双流县,华体科技,四川华体照明科技股份有限公司,电子与电气设备,29002,3424,11.80%,华体科技(603679),,四川省双流西南航空港经济开发区双华路三段580号,四川省双流西南航空港经济开发区双华路三段580号,www.huaticn.com,2017-6-21
四川省,成都市,双流区,正源股份,正源控股股份有限公司,建材与构件,67792,-670,-1.00%,正源股份(600321),,成都市双流区西航港街道成新大件路289号,四川省成都市双流区西航港工业开发区长城路2段1号,www.rightwayholdings.com.cn,2001-5-24
四川省,成都市,青羊区,富临运业,四川富临运业集团股份有限公司,公路运输,83469,13654,16.40%,富临运业(002357),,四川省绵阳市绵州大道北段98号,四川省成都市青羊区广富路239号N区29栋,www.scflyy.cn,2010-2-10
四川省,成都市,青羊区,科伦药业,四川科伦药业股份有限公司,制药,791023,57069,7.20%,科伦药业(002422),,四川省成都市新都卫星城工业开发区南二路,四川省成都市青羊区百花西路36号,www.kelun.com,2010-6-3
四川省,成都市,青羊区,国金证券,国金证券股份有限公司,投资服务,318261,114007,35.80%,国金证券(600109),,四川省成都市青羊区东城根上街95号,四川省成都市青羊区东城根上街95号成证大厦16楼,www.gjzq.com.cn,1997-8-7
四川省,成都市,青羊区,宏达股份,四川宏达股份有限公司,有色金属,341778,48460,14.20%,宏达股份(600331),,四川省什邡市师古镇慈山村,四川省成都市锦里东路2号宏达国际广场28楼,www.sichuanhongda.com,2001-12-20
四川省,成都市,青羊区,鹏博士,鹏博士电信传媒集团股份有限公司,互联网,630474,69484,11.00%,鹏博士(600804),,四川省成都市高新西区创业中心,四川省成都市顺城大街229号顺城大厦8楼,www.drpeng.com.cn,1994-1-3
四川省,成都市,青羊区,茂业商业,茂业商业股份有限公司,百货零售,819733,82585,10.10%,茂业商业(600828),,四川省成都市东御街19号,四川省成都市东御街19号,www.cpds.cn,1994-2-24
四川省,成都市,青羊区,和邦生物,四川和邦生物科技股份有限公司,通用化工品,330521,38089,11.50%,和邦生物(603077),,四川省乐山市五通桥区牛华镇沔坝村,四川省成都市青羊区广富路8号C6幢,www.hebang.cn,2012-7-31
四川省,成都市,青白江区,川化股份,川化股份有限公司,特种化工品,398568,21489,5.40%,川化股份(000155),,四川省成都市青白江区大弯镇团结路311号,四川省成都市青白江区大弯镇团结路311号,www.scwltd.com,2000-9-26
四川省,成都市,青白江区,天翔环境,成都天翔环境股份有限公司,电子电气组件与设备,78508,10356,13.20%,天翔环境(300362),,四川省成都市青白江区大同路188号,四川省成都市青白江区大同镇(工业园区内),www.tbhic.cn,2014-1-21
四川省,成都市,郫县,川润股份,四川川润股份有限公司,工业机械,44670,-233,-0.50%,川润股份(002272),,四川省自贡市高新工业园区荣川路1号,四川省成都市郫县现代工业港北区港北六路85号,www.chuanrun.com,2008-9-19
四川省,成都市,郫县,吉峰农机,吉峰农机连锁股份有限公司,建材与构件,245401,1580,0.60%,吉峰农机(300022),,四川省成都市郫县成都现代工业港北部园区港通北二路219号,四川省成都市郫县成都现代工业港北部园区港通北二路219号,www.gifore.com,2009-10-30
四川省,成都市,郫县,创意信息,四川创意信息技术股份有限公司,通讯设备,82091,8540,10.40%,创意信息(300366),,四川省成都市青羊区万和路99号丽阳天下7-9室,四川省成都市高新西区西芯大道28号,www.sc-troy.com,2014-1-27
四川省,成都市,郫县,深冷股份,成都深冷液化设备股份有限公司,工业机械,15964,557,3.50%,深冷股份(300540),,四川省成都市郫都区成都现代工业港北片区港北四路335号,四川省郫县成都现代工业港北片区,www.chengduair.com,2016-8-23
四川省,成都市,郫县,东方电气,东方电气股份有限公司,工业机械,2091334,36832,1.80%,东方电气(600875),,四川省成都市高新西区西芯大道18号,四川省成都市高新西区西芯大道18号,www.dec-ltd.cn,1995-10-10
四川省,成都市,龙泉驿区,豪能股份,成都豪能科技股份有限公司,汽车零配件（IV）,58308,13046,22.40%,豪能股份(603809),,四川省成都经济技术开发区南二路288号,四川省成都经济技术开发区南二路288号,www.cdhntech.com,2017-11-28
四川省,成都市,锦江区,恒康医疗,恒康医疗集团股份有限公司,制药,200255,30425,15.20%,恒康医疗(002219),,甘肃省陇南市康县王坝独一味工业园区,四川省成都市锦江工业开发区金石路456号,www.duyiwei.com,2008-3-6
四川省,成都市,锦江区,西藏药业,西藏诺迪康药业股份有限公司,制药,64267,11150,17.30%,西藏药业(600211),,西藏自治区拉萨市北京中路93号,四川省成都市锦江区三色路427号,www.xzyy.cn,1999-7-21
四川省,成都市,锦江区,新希望,新希望六和股份有限公司,农业与渔业,4586293,270954,5.90%,新希望(000876),,四川省绵阳国家高新技术产业开发区,四川省成都市锦江工业园区金石路376号,www.newhopeagri.com,1998-3-11
四川省,成都市,锦江区,北化股份,四川北方硝化棉股份有限公司,通用化工品,142260,6958,4.90%,北化股份(002246),,四川省泸州市高坝,四川省成都市锦江工业园三色路209号火炬动力港南区8栋9楼,www.sn-nc.com,2008-6-5
四川省,成都市,锦江区,升达林业,四川升达林业产业股份有限公司,燃气供应,79497,4995,6.30%,升达林业(002259),,四川省成都市锦江区东华正街42号,四川省成都市锦江区东华正街42号,www.shengdawood.com,2008-7-16
四川省,成都市,锦江区,山鼎设计,山鼎设计股份有限公司,建筑施工,10026,713,7.10%,山鼎设计(300492),,四川省成都市锦江区天仙桥北路3号附1号,四川省成都市锦江区天仙桥北路3号附1号,www.cendes-arch.com,2015-12-23
四川省,成都市,锦江区,西部资源,四川西部资源控股股份有限公司,汽车,18064,-9916,-54.90%,西部资源(600139),,四川省绵阳市高新区火炬大厦B区,四川省成都市锦江区锦江工业开发区毕升路168号,www.scxbzy.com,1998-2-25
