省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
四川省,成都市,武侯区,藏格控股,藏格控股股份有限公司,通用化工品,197714,78312,39.60%,藏格控股(000408),青海省格尔木市昆仑南路15-02号,成都市高新区天府大道中段279号成达大厦11楼1107室,--,1996-6-28
四川省,成都市,武侯区,西藏发展,西藏银河科技发展股份有限公司,酿酒业,26345,3963,15.00%,西藏发展(000752),西藏自治区拉萨市色拉路36号,成都市武侯区人民南路4段45号新希望大厦1608,--,1997-6-25
四川省,成都市,武侯区,华塑控股,同人华塑股份有限公司,建材与构件,151840,-540,-0.40%,华塑控股(000509),四川省南充市涪江路117号,四川省成都市武侯区火车南站西路15号麦田中心15F,--,1993-5-7
四川省,成都市,武侯区,兴蓉环境,成都市兴蓉环境股份有限公司,水务,272497,89105,32.70%,兴蓉环境(000598),四川省成都市青羊区苏坡乡万家湾村,四川省成都市武侯区锦城大道1000号4-5楼,www.cdxrec.com,1996-5-29
四川省,成都市,武侯区,高新发展,成都高新发展股份有限公司,建筑施工,41662,3283,7.90%,高新发展(000628),四川省成都市高新技术产业开发区,四川省成都高新区九兴大道8号,www.cdgxfz.com,1996-11-18
四川省,成都市,武侯区,四川双马,四川双马水泥股份有限公司,建材与构件,185981,12556,6.80%,四川双马(000935),四川省江油市二朗庙镇,成都市高新区盛和一路88号康普雷斯大厦一单元25楼,www.cement.com.cn,1999-8-24
四川省,成都市,武侯区,川大智胜,四川川大智胜软件股份有限公司,软件,15401,1818,11.80%,川大智胜(002253),四川省成都市武科东一路七号,四川省成都市武科东一路七号,www.wisesoft.com.cn,2008-6-23
四川省,成都市,武侯区,卫士通,成都卫士通信息产业股份有限公司,计算机服务,103343,-14062,-13.60%,卫士通(002268),四川省成都高新技术产业开发区云华路333号,四川省成都市高新技术产业开发区云华路333号二栋,www.westone.com.cn,2008-8-11
四川省,成都市,武侯区,成都路桥,成都市路桥工程股份有限公司,建筑施工,113920,3187,2.80%,成都路桥(002628),四川省成都市武侯区武科东四路11号,四川省成都市武侯区武科东四路11号,www.cdlq.com,2011-11-3
四川省,成都市,武侯区,利君股份,成都利君实业股份有限公司,工业机械,34537,8846,25.60%,利君股份(002651),四川省成都市武侯区武科东二路5号,四川省成都市武侯区武科东二路5号,www.cdleejun.com,2012-1-6
四川省,成都市,武侯区,硅宝科技,成都硅宝科技股份有限公司,特种化工品,49466,4016,8.10%,硅宝科技(300019),四川省成都高新区新园大道16号,四川省成都高新区新园大道16号,www.cnguibao.com,2009-10-30
四川省,成都市,武侯区,振芯科技,成都振芯科技股份有限公司,通讯设备,26884,4099,15.20%,振芯科技(300101),四川省成都高新区高朋大道1号,四川省成都高新区高朋大道1号,www.corpro.cn,2010-8-6
四川省,成都市,武侯区,银河磁体,成都银河磁体股份有限公司,电子电气组件与设备,37460,11208,29.90%,银河磁体(300127),四川省成都市高新技术开发区西区百草路6号,四川省成都市高新技术开发区西区百草路6号,www.galaxymagnets.com,2010-10-13
