省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
天津市,西青区,西青区,鑫茂科技,天津鑫茂科技股份有限公司,通讯设备,146592,8842,6.00%,鑫茂科技(000836),天津市滨海高新区华苑产业区榕苑路1号A区八层,天津市新产业园区华苑产业区榕苑路1号天财酒店8层,www.xinmaokeji.com.cn,1997/9/29
天津市,西青区,西青区,一汽夏利,天津一汽夏利汽车股份有限公司,汽车,99716,-111082,-111.40%,一汽夏利(000927),天津市西青区京福公路578号,天津市西青区京福公路578号,www.tjfaw.com.cn,1999/7/27
天津市,西青区,西青区,中环股份,天津中环半导体股份有限公司,半导体,685277,53180,7.80%,中环股份(002129),天津市新技术产业园区华苑产业区（环外）海泰东路12号,天津市新技术产业园区华苑产业区（环外）海泰东路12号,www.tjsemi.com,2007/4/20
天津市,西青区,西青区,赛象科技,天津赛象科技股份有限公司,工业机械,38511,709,1.80%,赛象科技(002337),天津市华苑新技术产业园区(环外)海泰发展四道9号,天津市华苑新技术产业园区(环外)海泰发展四道9号,www.chinarpm.com,2010/1/15
天津市,西青区,西青区,力生制药,天津力生制药股份有限公司,制药,76362,11678,15.30%,力生制药(002393),天津市西青经济技术开发区赛达北一道16号,天津市西青经济技术开发区赛达北一道16号,www.lishengpharma.com,2010/4/23
天津市,西青区,西青区,海泰发展,天津海泰科技发展股份有限公司,不动产投资开发,39885,-4045,-10.10%,海泰发展(600082),天津市新技术产业园区华苑产业区海泰发展六道6号海泰绿色产业基地G座11层,天津市新技术产业园区华苑产业区海泰西路18号,www.hitech-develop.com,1997/6/20
天津市,西青区,西青区,*ST松江,天津松江股份有限公司,不动产投资开发,93927,51945,55.30%,*ST松江(600225),天津市华苑产业区海泰发展六道6号海泰绿色产业基地A座4-061室,天津市西青区友谊南路与外环线交口东北侧环岛西路天湾园公建1号楼,www.ciity.com.cn,2000/1/27
天津市,西青区,西青区,百利电气,天津百利特精电气股份有限公司,电子电气组件与设备,95219,6614,6.90%,百利电气(600468),天津市和平区烟台道78号,天津市西青经济开发区民和道12号,www.benefo.tj.cn,2001/6/15
天津市,塘沽区,塘沽区,天津港,天津港股份有限公司,运输服务,1076674,141888,13.20%,天津港(600717),天津市自贸区（天津港保税区）通达广场1号A区,天津市塘沽区津港路99号,www.tianjin-port.com,1996/6/14
天津市,南开区,南开区,九安医疗,天津九安医疗电子股份有限公司,医疗设备,47544,-8936,-18.80%,九安医疗(002432),天津市南开区雅安道金平路3号,天津市南开区雅安道金平路3号,www.jiuan.com,2010/6/10
天津市,南开区,南开区,红日药业,天津红日药业股份有限公司,制药,238878,53182,22.30%,红日药业(300026),天津新技术产业园区武清开发区泉发路西,天津新技术产业园区武清开发区泉发路西,www.chasesun.cn,2009/10/30
天津市,南开区,南开区,利安隆,天津利安隆新材料股份有限公司,特种化工品,87095,10962,12.60%,利安隆(300596),天津市经济技术开发区汉沽现代产业区黄山路6号,天津市南开区华苑产业园区开华道20号F座20层,www.rianlon.com,2017/1/19
天津市,南开区,南开区,中新药业,天津中新药业集团股份有限公司,制药,429357,39740,9.30%,中新药业(600329),天津市南开区白堤路17号,天津市南开区白堤路17号,www.zhongxinyaoye.com,2001/6/6
天津市,南开区,南开区,中源协和,中源协和细胞基因工程股份有限公司,商业辅助服务,62474,4173,6.70%,中源协和(600645),天津市滨海新区（津南）创意中心A座1002室,天津市南开区华苑产业园区梅苑路12号,www.vcanbio.com,1993/5/4
天津市,南开区,南开区,创业环保,天津创业环保集团股份有限公司,水务,154982,55152,35.60%,创业环保(600874),天津市南开区卫津南路76号,天津市南开区卫津南路76号创业环保大厦,www.tjcep.com,1995/6/30
天津市,开发区,开发区,滨海能源,天津滨海能源发展股份有限公司,综合公共事业,57561,-857,-1.50%,滨海能源(000695),天津市开发区第十一大街27号,天津市开发区第十一大街27号,www.binhaienergy.com,1997/2/18
天津市,开发区,开发区,天药股份,天津天药药业股份有限公司,制药,143853,14303,9.90%,天药股份(600488),天津市南开区新技术产业园区华苑产业区物华道2号A座2-09室,天津市开发区西区新业九街19号（金耀生物园）,www.kingyork.biz/tianyaoyaoye/,2001/6/18
天津市,津南区,津南区,经纬电材,天津经纬电材股份有限公司,电子电气组件与设备,46243,2195,4.70%,经纬电材(300120),天津市津南经济开发区（双港）旺港路12号,天津市津南区小站工业区创新路8号,www.jwdc.cn,2010/9/17
天津市,河西区,河西区,渤海股份,渤海水业股份有限公司,水务,114493,13692,12.00%,渤海股份(000605),北京市顺义区中关村科技园顺义园临空二路1号,天津市河西区环岛西路梅江中心大厦22层,www.bohai-water.com,1996/9/13
