省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
宁夏回族自治区,银川市,兴庆区,东方钽业,宁夏东方钽业股份有限公司,有色金属,70831,-14779,-20.90%,东方钽业(000962),,宁夏回族自治区石嘴山市大武口区冶金路,宁夏回族自治区石嘴山市大武口区冶金路,www.otic.com.cn,2000-1-20
宁夏回族自治区,银川市,兴庆区,*ST中绒,宁夏中银绒业股份有限公司,服装与服饰,164902,-38475,-23.30%,*ST中绒(000982),,宁夏回族自治区灵武市羊绒工业园区中银大道南侧,宁夏回族自治区灵武市羊绒工业园区中银大道南侧,www.zhongyincashmere.com,2000-7-6
宁夏回族自治区,银川市,兴庆区,青龙管业,宁夏青龙管业股份有限公司,建材与构件,56719,-6418,-11.30%,青龙管业(002457),,宁夏回族自治区青铜峡市河西,宁夏回族自治区银川市兴庆区兴庆科技园兴春路235号,www.qlgd.com.cn,2010-8-3
宁夏回族自治区,银川市,兴庆区,新华百货,银川新华百货商业集团股份有限公司,百货零售,543421,16625,3.10%,新华百货(600785),,宁夏回族自治区银川市兴庆区新华东街97号,宁夏回族自治区银川市解放西街2号（新华百货老大楼写字楼）7楼,www.xhds.com.cn,1997-1-8
宁夏回族自治区,银川市,兴庆区,嘉泽新能,宁夏嘉泽新能源股份有限公司,电力（III）,62262,13073,21.00%,嘉泽新能(601619),,宁夏回族自治区红寺堡区大河乡?喊?子,宁夏回族自治区红寺堡区大河乡?喊?子,www.jzne.net.cn,2017-7-20
宁夏回族自治区,银川市,西夏区,银星能源,宁夏银星能源股份有限公司,电力（IV）,69888,-5086,-7.30%,银星能源(000862),,宁夏回族自治区银川市西夏区六盘山西路166号,宁夏回族自治区银川市西夏区六盘山西路166号,www.nxyxny.com.cn,1998-9-15
宁夏回族自治区,银川市,金凤区,西部创业,宁夏西部创业实业股份有限公司,铁路运输,43336,4994,11.50%,西部创业(000557),,宁夏回族自治区银川市北京中路168号C座一楼,宁夏回族自治区银川市金凤区北京中路168号C座办公楼,--,1994-6-17
宁夏回族自治区,银川市,金凤区,*ST宝实,宝塔实业股份有限公司,工业机械,27168,-151,-0.60%,*ST宝实(000595),,宁夏回族自治区银川市西夏区北京西路630号,宁夏回族自治区银川市金凤区宁安大街88号宝塔石化大厦13层,www.nxz.com.cn,1996-4-19
宁夏回族自治区,银川市,金凤区,宁夏建材,宁夏建材集团股份有限公司,建材与构件,343807,40539,11.80%,宁夏建材(600449),,宁夏回族自治区银川市西夏区新小线二公里处,宁夏回族自治区银川市金凤区人民广场东街219号建材大厦,www.saimasy.com.cn,2003-8-29
宁夏回族自治区,石嘴山市,惠农区,英力特,宁夏英力特化工股份有限公司,通用化工品,155088,13635,8.80%,英力特(000635),,宁夏回族自治区石嘴山市惠农区钢电路,宁夏回族自治区石嘴山市惠农区钢电路,www.yinglitechem.com,1996-11-20
宁夏回族自治区,石嘴山市,惠农区,新日恒力,宁夏新日恒力钢丝绳股份有限公司,钢铁,114293,-2554,-2.20%,新日恒力(600165),,宁夏回族自治区石嘴山市惠农区河滨街,宁夏回族自治区石嘴山市惠农区河滨街,www.nxhengli.com.cn,1998-5-29
宁夏回族自治区,中卫市,城区,美利云,中冶美利云产业投资股份有限公司,造纸,60410,654,1.10%,美利云(000815),,宁夏回族自治区中卫市城区柔远镇,宁夏回族自治区中卫市城区柔远镇,www.china-meili.com,1998-6-9
