省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
安徽省,蚌埠市,禹会区,中粮生化,中粮生物化学(安徽)股份有限公司,特种化工品,457901,19875,4.30%,中粮生化(000930),安徽省蚌埠市中粮大道1号,安徽省蚌埠市中粮大道1号,www.zlahsh.com,1999/7/12
安徽省,蚌埠市,禹会区,安徽水利,安徽水利开发股份有限公司,建筑施工,2401340,61375,2.60%,安徽水利(600502),安徽省蚌埠市东海大道张公山南侧,安徽省蚌埠市东海大道张公山南侧,www.cahsl.com,2003/4/15
安徽省,马鞍山市,雨山区,中钢天源,中钢集团安徽天源科技股份有限公司,特种化工品,86044,8833,10.30%,中钢天源(002057),安徽省马鞍山市雨山区霍里山大道南段9号,安徽省马鞍山市雨山区霍里山大道南段9号,www.ty-magnet.com,2006/8/2
安徽省,马鞍山市,雨山区,新光圆成,新光圆成股份有限公司,不动产投资开发,162393,5922,3.60%,新光圆成(002147),安徽省马鞍山市经济技术开发区超山西路,安徽省马鞍山市经济技术开发区超山西路,www.masfy.com,2007/8/8
安徽省,马鞍山市,雨山区,泰尔股份,泰尔重工股份有限公司,工业机械,29930,984,3.30%,泰尔股份(002347),安徽省马鞍山市经济技术开发区超山路669号,安徽省马鞍山市经济技术开发区超山路669号,www.taiergroup.com,2010/1/28
安徽省,马鞍山市,雨山区,华菱星马,华菱星马汽车(集团)股份有限公司,商用运载工具与车辆,440344,4058,0.90%,华菱星马(600375),安徽省马鞍山经济技术开发区,安徽省马鞍山经济技术开发区,www.camc.biz,2003/4/1
安徽省,马鞍山市,雨山区,马钢股份,马鞍山钢铁股份有限公司,钢铁,5286484,386924,7.30%,马钢股份(600808),安徽省马鞍山市九华西路8号,安徽省马鞍山市九华西路8号,www.magang.com.cn;www.magang.com.hk,1994/1/6
安徽省,宿州市,埇桥区,恒源煤电,安徽恒源煤电股份有限公司,煤炭开采,511604,95772,18.70%,恒源煤电(600971),安徽省淮北市濉溪县刘桥镇,安徽省宿州市西昌路157号,www.ahhymd.com.cn,2004/8/17
安徽省,阜阳市,颍州区,金种子酒,安徽金种子酒业股份有限公司,蒸馏酒与葡萄酒,83085,1139,1.40%,金种子酒(600199),安徽省阜阳市河滨路302号,安徽省阜阳市莲花路259号,www.jzz.cn,1998/8/12
安徽省,安庆市,迎江区,华茂股份,安徽华茂纺织股份有限公司,服装与服饰,164325,1514,0.90%,华茂股份(000850),安徽省安庆市纺织南路80号,安徽省安庆市纺织南路80号,www.chinahuamao.net,1998/10/7
安徽省,黄山市,歙县,众泰汽车,众泰汽车股份有限公司,汽车零配件（IV）,1159543,56819,4.90%,众泰汽车(000980),安徽省黄山市歙县经济技术开发区,安徽省黄山市歙县经济技术开发区,www.hsjinma.com,2000/6/16
安徽省,黄山市,屯溪区,黄山旅游,黄山旅游发展股份有限公司,旅游业,131745,48932,37.10%,黄山旅游(600054),安徽省黄山市屯溪区天都大道5号（天都国际饭店D座16-18楼）,安徽省黄山市屯溪区天都大道5号（天都国际饭店D座16-18楼）,"""www.huangshan.com.cn","tourmart.cn""",1997/5/6
安徽省,黄山市,屯溪区,黄山旅游,黄山旅游发展股份有限公司,旅游业,131745,48932,37.10%,黄山B股(900942),安徽省黄山市屯溪区天都大道5号（天都国际饭店D座16-18楼）,安徽省黄山市屯溪区天都大道5号（天都国际饭店D座16-18楼）,"""www.huangshan.com.cn","tourmart.cn""",1997/5/6
安徽省,铜陵市,铜官山区,铜陵有色,铜陵有色金属集团股份有限公司,有色金属,6065858,73553,1.20%,铜陵有色(000630),安徽省铜陵市长江西路,安徽省铜陵市长江西路有色大院西楼,www.tlys.cn,1996/11/20
