省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
安徽省,芜湖市,鸠江区,楚江新材,安徽楚江科技新材料股份有限公司,有色金属,784168,34556,4.40%,楚江新材(002171),安徽省芜湖市九华北路8号,安徽省芜湖市鸠江区龙腾路88号,www.jcty.cn,2007/9/21
安徽省,芜湖市,鸠江区,中电鑫龙,安徽中电兴发与鑫龙科技股份有限公司,计算机服务,123706,15043,12.20%,中电鑫龙(002298),安徽省芜湖市经济技术开发区电器部件工业园(九华北路118号),安徽省芜湖市经济技术开发区电器部件工业园(九华北路118号),www.ah-xinlong.com,2009/9/29
安徽省,芜湖市,鸠江区,神剑股份,安徽神剑新材料股份有限公司,特种化工品,128314,10335,8.10%,神剑股份(002361),安徽省芜湖经济技术开发区桥北工业园保顺路8号,安徽省芜湖经济技术开发区保顺路8号,www.shen-jian.com,2010/3/3
安徽省,芜湖市,鸠江区,三七互娱,芜湖顺荣三七互动娱乐股份有限公司,互联网,446440,144497,32.40%,三七互娱(002555),安徽省芜湖市南陵县经济开发区,安徽省芜湖市鸠江区瑞祥路88号皖江财富广场A1座11楼,www.shunrong.cn,2011/3/2
安徽省,芜湖市,鸠江区,亚夏汽车,芜湖亚夏汽车股份有限公司,汽车,462723,7660,1.70%,亚夏汽车(002607),安徽省芜湖市鸠江区弋江北路亚夏汽车城,安徽省芜湖市鸠江区弋江北路花塘村亚夏汽车城,www.yaxia.com,2011/8/10
安徽省,芜湖市,鸠江区,长信科技,芜湖长信科技股份有限公司,电子电气组件与设备,876533,54379,6.20%,长信科技(300088),安徽省芜湖市经济技术开发区汽经二路以东,安徽省芜湖市经济技术开发区汽经二路以东,www.token-ito.com,2010/5/26
安徽省,芜湖市,鸠江区,梦舟股份,安徽梦舟实业股份有限公司,有色金属,390635,7153,1.80%,梦舟股份(600255),安徽省芜湖市经济技术开发区珠江路,安徽省芜湖市经济技术开发区珠江路3号,www.ahxinke.com,2000/11/22
安徽省,芜湖市,鸠江区,众源新材,安徽众源新材料股份有限公司,有色金属,217215,7152,3.30%,众源新材(603527),安徽省芜湖市经济技术开发区凤鸣湖北路48号,安徽省芜湖市经济技术开发区凤鸣湖北路48号,www.zyxcl.cn,2017/9/7
安徽省,芜湖市,镜湖区,海螺型材,芜湖海螺型材科技股份有限公司,建材与构件,237798,1672,0.70%,海螺型材(000619),安徽省芜湖市经济开发区港湾路,安徽省芜湖市镜湖区文化路39号芜湖海螺国际大酒店10-11层,profile.conch.cn,1996/10/23
安徽省,芜湖市,镜湖区,皖江物流,安徽皖江物流(集团)股份有限公司,运输服务,688384,50156,7.30%,皖江物流(600575),安徽省芜湖市经济技术开发区内,安徽省芜湖市长江中路港一路16号,www.wuhuport.com,2003/3/28
安徽省,芜湖市,镜湖区,海螺水泥,安徽海螺水泥股份有限公司,建材与构件,5003863,1298738,26.00%,海螺水泥(600585),安徽省芜湖市文化路39号,安徽省芜湖市文化路39号,www.conch.cn,2002/2/7
