省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
山东省,滨州市,邹平县,西王食品,西王食品股份有限公司,食品生产（IV）,428162,40786,9.50%,西王食品(000639),山东省滨州市邹平县西王工业园,山东省滨州市邹平县西王工业园,www.xwsp.cc,1996/11/26
山东省,滨州市,邹平县,北讯集团,北讯集团股份有限公司,广播与娱乐,143302,23222,16.20%,北讯集团(002359),山东省邹平县开发区会仙二路,山东省邹平县开发区会仙二路,www.qxtt.cn,2010/2/10
山东省,济宁市,邹城市,兖州煤业,兖州煤业股份有限公司,煤炭开采,11921862,657771,5.50%,兖州煤业(600188),山东省邹城市凫山南路298号,山东省邹城市凫山南路298号,www.yanzhoucoal.com.cn,1998/7/1
山东省,淄博市,淄川区,鲁泰A,鲁泰纺织股份有限公司,服装与服饰,462228,73060,15.80%,鲁泰A(000726),山东省淄博市高新技术开发区铭波路11号,山东省淄博市淄川区松龄东路81号,www.lttc.com.cn,2000/12/25
山东省,淄博市,淄川区,鲁泰A,鲁泰纺织股份有限公司,服装与服饰,462228,73060,15.80%,鲁泰B(200726),山东省淄博市高新技术开发区铭波路11号,山东省淄博市淄川区松龄东路81号,www.lttc.com.cn,2000/12/25
山东省,淄博市,淄川区,金城医药,山东金城医药股份有限公司,制药,186937,20787,11.10%,金城医药(300233),山东省淄博市淄川经济开发区双山路1号,山东省淄博市淄川区经济开发区,www.jinchengpharm.com,2011/6/22
山东省,潍坊市,诸城市,得利斯,山东得利斯食品股份有限公司,食品生产（IV）,111792,148,0.10%,得利斯(002330),山东省诸城市昌城镇驻地,山东省诸城市昌城镇驻地,www.delisi.com.cn,2010/1/6
山东省,潍坊市,诸城市,美晨生态,山东美晨生态环境股份有限公司,建筑施工,252004,45536,18.10%,美晨生态(300237),山东省潍坊市诸城市密州街道北十里四村600号,山东省诸城市密州路东首路南,www.meichen.cc,2011/6/29
山东省,潍坊市,诸城市,大业股份,山东大业股份有限公司,工业金属,135147,12429,9.20%,大业股份(603278),山东省诸城市朱诸路北辛兴经济工业园,山东省诸城市朱诸路北辛兴经济工业园,www.sddaye.com,2017/11/13
山东省,潍坊市,诸城市,惠发股份,山东惠发食品股份有限公司,食品生产（III）,58191,2841,4.90%,惠发股份(603536),山东省诸城市舜耕路139号；山东省诸城市舜德路159号,山东省诸城市舜耕路139号；山东省诸城市舜德路159号,www.huifafoods.com,2017/6/13
