省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
山东省,青岛市,四方区,赛轮金宇,赛轮金宇集团股份有限公司,轮胎,1026193,20442,2.00%,赛轮金宇(601058),山东省青岛市黄岛区茂山路588号,山东省青岛市四方区郑州路43号橡胶谷B栋,www.sailuntyre.com.cn,2011/6/30
山东省,青岛市,市南区,青岛啤酒,青岛啤酒股份有限公司,酿酒业,2338499,272060,11.60%,青岛啤酒(600600),山东省青岛市市北区登州路56号,山东省青岛市香港中路五四广场青啤大厦,www.tsingtao.com.cn,1993/8/27
山东省,青岛市,市南区,鼎信通讯,青岛鼎信通讯股份有限公司,通讯设备,89905,25567,28.40%,鼎信通讯(603421),山东省青岛市市南区宁夏路288号6号楼5楼B区,山东省青岛市市南区宁夏路288号6号楼5楼B区,www.topscomm.com,2016/10/11
山东省,青岛市,市北区,软控股份,软控股份有限公司,工业机械,190946,3110,1.60%,软控股份(002073),山东省青岛市高新区新业路31号远创国际蓝湾创意园B区1号楼202室,山东省青岛市郑州路43号,www.mesnac.com,2006/10/18
山东省,青岛市,市北区,东软载波,青岛东软载波科技股份有限公司,软件,61041,17181,28.10%,东软载波(300183),山东省青岛市市北区上清路16号甲,山东省青岛市市北区上清路16号甲,www.eastsoft.com.cn,2011/2/22
山东省,青岛市,崂山区,青岛金王,青岛金王应用化学股份有限公司,通用化工品,323833,44808,13.80%,青岛金王(002094),山东省青岛即墨市青岛环保产业园,山东省青岛市崂山区香港东路195号上实中心T3楼15、16楼,www.chinakingking.com,2006/12/15
山东省,青岛市,崂山区,汉缆股份,青岛汉缆股份有限公司,电子电气组件与设备,335174,25574,7.60%,汉缆股份(002498),山东省青岛市崂山区九水东路628号,山东省青岛市崂山区九水东路628号,www.hanhe-cable.com,2010/11/9
山东省,青岛市,崂山区,特锐德,青岛特锐德电气股份有限公司,电子电气组件与设备,380180,8789,2.30%,特锐德(300001),山东省青岛市崂山区松岭路336号,山东省青岛市崂山区松岭路336号,www.qdtgood.com,2009/10/30
山东省,青岛市,崂山区,华仁药业,华仁药业股份有限公司,制药,91421,3721,4.10%,华仁药业(300110),山东省青岛市高科技工业园株洲路187号,山东省青岛市高科技工业园株洲路187号,www.qdhuaren.com,2010/8/25
山东省,青岛市,崂山区,城市传媒,青岛城市传媒股份有限公司,出版业,135630,18330,13.50%,城市传媒(600229),山东省青岛市市南区香港中路67号,山东省青岛市崂山区海尔路182号,www.citymedia.cn,2000/3/9
