省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
山东省,威海市,文登市,中航黑豹,中航黑豹股份有限公司,汽车,80474,-5300,-6.60%,中航黑豹(600760),,山东省文登市龙山路107号,山东省文登市龙山路107号,www.heibao.com,1996-10-11
山东省,威海市,文登区,天润曲轴,天润曲轴股份有限公司,汽车零配件（IV）,218991,25212,11.50%,天润曲轴(002283),,山东省威海市文登区天润路2-13号,山东省威海市文登区天润路2-13号,www.tianrun.com,2009-8-21
山东省,威海市,荣成市,好当家,山东好当家海洋发展股份有限公司,农业与渔业,78810,2166,2.70%,好当家(600467),,山东省威海荣成市虎山镇沙咀子,山东省威海荣成市虎山镇沙咀子,www.sdhaodangjia.com,2004-4-5
山东省,威海市,荣成市,山东华鹏,山东华鹏玻璃股份有限公司,容器与包装,55753,3509,6.30%,山东华鹏(603021),,山东省荣成市石岛龙云路468号,山东省荣成市石岛龙云路468号,www.huapengglass.com,2015-4-23
山东省,威海市,环翠区,山东威达,山东威达机械股份有限公司,工业机械,105940,12102,11.40%,山东威达(002026),,山东省威海临港经济技术开发区苘山镇中韩路2号,山东省威海临港经济技术开发区苘山镇中韩路2号,www.weidapeacock.com,2004-7-27
山东省,威海市,环翠区,威海广泰,威海广泰加油设备有限公司,工业机械,127090,17830,14.00%,威海广泰(002111),,山东省威海市环翠区黄河街16号,山东省威海市黄河街16号,www.guangtai.com.cn,2007-1-26
山东省,威海市,环翠区,*ST东数,威海华东数控股份有限公司,工业机械,8745,-18461,-211.10%,*ST东数(002248),,山东省威海经济技术开发区环山路698号,山东省威海经济技术开发区环山路698号,www.huadongcnc.com,2008-6-12
山东省,威海市,环翠区,新北洋,山东新北洋信息技术股份有限公司,计算机硬件,126822,25407,20.00%,新北洋(002376),,山东省威海市火炬高技术产业开发区火炬路169号,山东省威海市环翠区昆仑路126号,www.newbeiyang.com.cn,2010-3-23
山东省,威海市,环翠区,三角轮胎,三角轮胎股份有限公司,轮胎,603473,42416,7.00%,三角轮胎(601163),,山东省威海市青岛中路56号,山东省威海市青岛中路56号,www.triangle.com.cn,2016-9-9
山东省,威海市,环翠区,家家悦,家家悦集团股份有限公司,百货零售,838588,29976,3.60%,家家悦(603708),,山东省威海市昆明路45号,山东省威海市昆明路45号,www.jiajiayue.com.cn,2016-12-13
山东省,威海市,高区,光威复材,威海光威复合材料股份有限公司,通用化工品,73683,22331,30.30%,光威复材(300699),,山东省威海市高区天津路-130号,山东省威海市高区天津路-130号,www.gwcfc.com,2017-9-1
