省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
山东省,济南市,历下区,浪潮信息,浪潮电子信息产业股份有限公司,计算机硬件,1658119,29916,1.80%,浪潮信息(000977),山东省济南市浪潮路1036号,山东省济南市高新开发区舜雅路1036号,www.inspur.com,2000/6/8
山东省,济南市,历下区,华明装备,华明电力装备股份有限公司,电子电气组件与设备,97600,16155,16.60%,华明装备(002270),山东省济南市天辰大街389号,山东省济南市天辰大街389号,www.huaming.com,2008/9/5
山东省,济南市,历下区,山东高速,山东高速股份有限公司,运输服务,517161,391172,75.60%,山东高速(600350),山东省济南市文化东路29号七星吉祥大厦A座,山东省济南市文化东路29号七星吉祥大厦A座,www.sdecl.com.cn,2002/3/18
山东省,济南市,历下区,天业股份,山东天业恒基股份有限公司,不动产投资开发,127071,12896,10.10%,天业股份(600807),山东省济南市高新开发区新宇南路1号济南国际会展中心A区,山东省济南市历下区龙奥北路1577号天业中心3号楼,www.tyanhome.com.cn,1994/1/3
山东省,济南市,历下区,银座股份,银座集团股份有限公司,百货零售,965416,5259,0.50%,银座股份(600858),山东省济南市泺源大街中段,山东省济南市泺源大街66号银座大厦C座,www.yinzuostock.com,1994/5/6
山东省,济南市,历下区,国美通讯,国美通讯设备股份有限公司,移动通信服务,105113,-3060,-2.90%,国美通讯(600898),山东省济南市历下区趵突泉北路12号,山东省济南市历下区趵突泉北路12号5层,www.sanlianshop.com,1996/4/18
山东省,济南市,历下区,湖南天雁,湖南天雁机械股份有限公司,汽车零配件（IV）,46172,-1496,-3.20%,湖南天雁(600698),湖南省衡阳市石鼓区合江套路195号,山东省济南市历下区和平路34号,www.tyen.com.cn,1993/12/6
山东省,济南市,历下区,湖南天雁,湖南天雁机械股份有限公司,汽车零配件（IV）,46172,-1496,-3.20%,天雁B股(900946),湖南省衡阳市石鼓区合江套路195号,山东省济南市历下区和平路34号,www.tyen.com.cn,1993/12/6
山东省,济南市,历下区,山东地矿,山东地矿股份有限公司,普通矿开采,141155,-11793,-8.40%,山东地矿(000409),山东省济南市高新区新宇路750号5号楼,山东省济南市历下区经十路11890号山东地矿股份有限公司,www.sddkgf.com.cn,1996/6/27
山东省,济南市,历下区,山航B(200152),,{d1},{d2},#VALUE!,山航B(200152),山东济南遥墙国际机场,山东济南二环东路5746号山东航空大厦,,,
