省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
山东省,济南市,章丘市,山东章鼓,山东省章丘鼓风机股份有限公司,工业机械,48641,5723,11.80%,山东章鼓(002598),山东省章丘市明水经济开发区世纪大道东首,山东省章丘市明水经济开发区世纪大道东首,www.blower.cn,2011-7-7
山东省,济南市,章丘市,鲁商置业,鲁商置业股份有限公司,不动产投资开发,363781,16731,4.60%,鲁商置业(600223),山东省博山经济开发区,山东省济南市经十东路9777号国电大厦8层,www.lshzy.com.cn,2000-1-13
山东省,济南市,天桥区,天鹅股份,山东天鹅棉业机械股份有限公司,电子电气组件与设备,17938,-1430,-8.00%,天鹅股份(603029),山东省济南市天桥区大魏庄东路99号,山东省济南市天桥区大魏庄东路99号,www.sdmj.com.cn,2016-4-27
山东省,济南市,市中区,中国重汽,中国重汽集团济南卡车股份有限公司,商用运载工具与车辆,2826399,119497,4.20%,中国重汽(000951),山东省济南市市中区党家庄镇南首,山东省济南市市中区党家庄镇南首,www.jntruck.com,1999-11-25
山东省,济南市,市中区,山东出版,山东出版传媒股份有限公司,出版业,629245,95084,15.10%,山东出版(601019),山东省济南市英雄山路189号,山东省济南市英雄山路189号,www.sdcbcm.com,2017-11-22
山东省,济南市,历下区,浪潮信息,浪潮电子信息产业股份有限公司,计算机硬件,1658119,29916,1.80%,浪潮信息(000977),山东省济南市浪潮路1036号,山东省济南市高新开发区舜雅路1036号,www.inspur.com,2000-6-8
山东省,济南市,历下区,华明装备,华明电力装备股份有限公司,电子电气组件与设备,97600,16155,16.60%,华明装备(002270),山东省济南市天辰大街389号,山东省济南市天辰大街389号,www.huaming.com,2008-9-5
山东省,济南市,历下区,山东高速,山东高速股份有限公司,运输服务,517161,391172,75.60%,山东高速(600350),山东省济南市文化东路29号七星吉祥大厦A座,山东省济南市文化东路29号七星吉祥大厦A座,www.sdecl.com.cn,2002-3-18
山东省,济南市,历下区,天业股份,山东天业恒基股份有限公司,不动产投资开发,127071,12896,10.10%,天业股份(600807),山东省济南市高新开发区新宇南路1号济南国际会展中心A区,山东省济南市历下区龙奥北路1577号天业中心3号楼,www.tyanhome.com.cn,1994-1-3
山东省,济南市,历下区,银座股份,银座集团股份有限公司,百货零售,965416,5259,0.50%,银座股份(600858),山东省济南市泺源大街中段,山东省济南市泺源大街66号银座大厦C座,www.yinzuostock.com,1994-5-6
山东省,济南市,历下区,国美通讯,国美通讯设备股份有限公司,移动通信服务,105113,-3060,-2.90%,国美通讯(600898),山东省济南市历下区趵突泉北路12号,山东省济南市历下区趵突泉北路12号5层,www.sanlianshop.com,1996-4-18
山东省,济南市,历下区,湖南天雁,湖南天雁机械股份有限公司,汽车零配件（IV）,46172,-1496,-3.20%,湖南天雁(600698),湖南省衡阳市石鼓区合江套路195号,山东省济南市历下区和平路34号,www.tyen.com.cn,1993-12-6
山东省,济南市,历下区,湖南天雁,湖南天雁机械股份有限公司,汽车零配件（IV）,46172,-1496,-3.20%,天雁B股(900946),湖南省衡阳市石鼓区合江套路195号,山东省济南市历下区和平路34号,www.tyen.com.cn,1993-12-6
山东省,济南市,历下区,山东地矿,山东地矿股份有限公司,普通矿开采,141155,-11793,-8.40%,山东地矿(000409),山东省济南市高新区新宇路750号5号楼,山东省济南市历下区经十路11890号山东地矿股份有限公司,www.sddkgf.com.cn,1996-6-27
山东省,济南市,历下区,山航B(200152),,{d1},{d2},#VALUE!,山航B(200152),山东济南遥墙国际机场,山东济南二环东路5746号山东航空大厦,,,
山东省,济南市,历城区,中润资源,中润资源投资股份有限公司,普通矿开采,57375,-13783,-24.00%,中润资源(000506),山东省济南市经十路13777号中润世纪广场17栋,山东省济南市经十路13777号中润世纪广场17栋,--,1993-3-12
山东省,济南市,历城区,山大华特,山东山大华特科技股份有限公司,制药,134703,47070,34.90%,山大华特(000915),山东省沂南县县城振兴路6号,山东省济南市经十路17703号华特广场,www.sd-wit.com,1999-6-9
山东省,济南市,历城区,东港股份,东港股份有限公司,商业辅助服务,104367,19008,18.20%,东港股份(002117),山东省济南市山大北路23号,山东省济南市山大北路23号,www.tungkong.com.cn,2007-3-2
山东省,济南市,历城区,积成电子,积成电子股份有限公司,电子电气组件与设备,86343,4205,4.90%,积成电子(002339),山东省济南市科航路1677号,山东省济南市花园路东段188号,www.ieslab.com.cn,2010-1-22
山东省,济南市,历城区,山东金泰,山东金泰集团股份有限公司,制药,618,-59,-9.50%,山东金泰(600385),山东省济南市历城区洪楼西路29号,山东省济南市洪楼西路29号,www.sdjintai.com.cn,2001-7-23
山东省,济南市,历城区,山东黄金,山东黄金矿业股份有限公司,金矿开采,3850362,120020,3.10%,山东黄金(600547),山东省济南市舜华路2000号舜泰广场3号楼,山东省济南市舜华路2000号舜泰广场3号楼,www.sdhjgf.com,2003-8-28
