省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
山东省,淄博市,淄川区,鲁泰A,鲁泰纺织股份有限公司,服装与服饰,462228,73060,15.80%,鲁泰A(000726),,山东省淄博市高新技术开发区铭波路11号,山东省淄博市淄川区松龄东路81号,www.lttc.com.cn,2000-12-25
山东省,淄博市,淄川区,鲁泰A,鲁泰纺织股份有限公司,服装与服饰,462228,73060,15.80%,鲁泰B(200726),,山东省淄博市高新技术开发区铭波路11号,山东省淄博市淄川区松龄东路81号,www.lttc.com.cn,2000-12-25
山东省,淄博市,淄川区,金城医药,山东金城医药股份有限公司,制药,186937,20787,11.10%,金城医药(300233),,山东省淄博市淄川经济开发区双山路1号,山东省淄博市淄川区经济开发区,www.jinchengpharm.com,2011-6-22
山东省,淄博市,周村区,山东赫达,山东赫达股份有限公司,通用化工品,47660,3862,8.10%,山东赫达(002810),,山东省淄博市周村区赫达路999号,山东省淄博市周村区赫达路999号,www.sdhead.com,2016-8-26
山东省,淄博市,张店区,金岭矿业,山东金岭矿业股份有限公司,普通矿开采,88782,11476,12.90%,金岭矿业(000655),,山东省淄博市张店区中埠镇,山东省淄博市张店区中埠镇,www.sdjlky.com,1996-11-28
山东省,淄博市,张店区,联创互联,山东联创互联网传媒股份有限公司,互联网,170420,25563,15.00%,联创互联(300343),,山东省淄博市张店区东部化工区昌国东路219号,山东省淄博市张店区东部化工区,www.lecron.cn,2012-8-1
山东省,淄博市,张店区,金晶科技,山东金晶科技股份有限公司,建材与构件,293366,23480,8.00%,金晶科技(600586),,山东省淄博市高新技术开发区宝石镇王庄,山东省淄博市高新技术开发区宝石镇王庄,www.cnggg.cn,2002-8-15
山东省,淄博市,张店区,新华医疗,山东新华医疗器械股份有限公司,医疗设备,709135,1653,0.20%,新华医疗(600587),,山东省淄博高新技术产业开发区新华医疗科技园,山东省淄博高新技术产业开发区新华医疗科技园,www.shinva.com,2002-9-27
山东省,淄博市,沂源县,鲁阳节能,山东鲁阳节能材料股份有限公司,特种化工品,110949,15908,14.30%,鲁阳节能(002088),,山东省淄博市沂源县沂河路11号,山东省淄博市沂源县沂河路11号,www.luyang.com,2006-11-30
山东省,淄博市,沂源县,合力泰,合力泰科技股份有限公司,电子电气组件与设备,1035246,89867,8.70%,合力泰(002217),,山东省沂源县城东风路36号,山东省沂源县城南外环89号,www.lianhechem.com.cn,2008-2-20
山东省,淄博市,沂源县,瑞丰高材,山东瑞丰高分子材料股份有限公司,特种化工品,81382,3221,4.00%,瑞丰高材(300243),,山东省沂源县经济开发区,山东省沂源县经济开发区,www.ruifengchemical.com,2011-7-12
山东省,淄博市,沂源县,山东药玻,山东省药用玻璃股份有限公司,容器与包装,170472,24134,14.20%,山东药玻(600529),,山东省淄博市沂源县药玻路1号,山东省淄博市沂源县药玻路,www.pharmglass.com,2002-6-3
山东省,淄博市,临淄区,蓝帆医疗,蓝帆医疗股份有限公司,特种化工品,115838,20397,17.60%,蓝帆医疗(002382),,山东省淄博市齐鲁化学工业区清田路21号,山东省淄博市临淄区稷下街道一诺路48号,www.bluesail.cn,2010-4-2
山东省,淄博市,临淄区,齐翔腾达,淄博齐翔腾达化工股份有限公司,特种化工品,1278106,68175,5.30%,齐翔腾达(002408),,山东省淄博市临淄区胶厂南路1号,山东省淄博市临淄区杨坡路206号,www.qxtdgf.com,2010-5-18
山东省,淄博市,临淄区,三维工程,山东三维石化工程股份有限公司,商业辅助服务,52480,5153,9.80%,三维工程(002469),,山东省淄博市临淄区炼厂中路22号,山东省淄博市临淄区炼厂中路22号,www.sdsunway.com.cn,2010-9-8
山东省,淄博市,临淄区,齐峰新材,齐峰新材料股份有限公司,造纸,257293,17493,6.80%,齐峰新材(002521),,山东省淄博市临淄区朱台镇朱台路22号,山东省淄博市临淄区朱台镇朱台路22号,www.qifeng.cn,2010-12-10
山东省,淄博市,临淄区,英科医疗,山东英科医疗用品股份有限公司,通用化工品,130522,13413,10.30%,英科医疗(300677),,山东省淄博市临淄区齐鲁化学工业园清田路18号,山东省淄博市临淄区齐鲁化学工业园清田路18号,www.intcomedical.com.cn,2017-7-21
山东省,淄博市,桓台县,博汇纸业,山东博汇纸业股份有限公司,造纸,633958,83302,13.10%,博汇纸业(600966),,山东省淄博市桓台县马桥镇工业路北首,山东省淄博市桓台县马桥镇工业路北首,www.bohui.net,2004-6-8
山东省,淄博市,高新区,新华制药,山东新华制药股份有限公司,制药,345270,17793,5.20%,新华制药(000756),,山东省淄博市高新技术产业开发区化工区,山东省淄博市高新区鲁泰大道1号,www.xhzy.com,1997-8-6
山东省,淄博市,高新区,世纪天鸿,山东世纪天鸿文教科技股份有限公司,出版业,25091,2408,9.60%,世纪天鸿(300654),,山东省淄博市高新区天鸿路9号,山东省淄博市高新区天鸿路9号,www.sjthedu.com,2017-9-26
山东省,淄博市,博山区,龙泉股份,山东龙泉管道工程股份有限公司,建材与构件,51158,-3158,-6.20%,龙泉股份(002671),,山东省淄博市博山区尖山东路36号,山东省淄博市博山区西外环路333号,www.lqpccp.com,2012-4-26
