省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
山东省,潍坊市,诸城市,得利斯,山东得利斯食品股份有限公司,食品生产（IV）,111792,148,0.10%,得利斯(002330),山东省诸城市昌城镇驻地,山东省诸城市昌城镇驻地,www.delisi.com.cn,2010/1/6
山东省,潍坊市,诸城市,美晨生态,山东美晨生态环境股份有限公司,建筑施工,252004,45536,18.10%,美晨生态(300237),山东省潍坊市诸城市密州街道北十里四村600号,山东省诸城市密州路东首路南,www.meichen.cc,2011/6/29
山东省,潍坊市,诸城市,大业股份,山东大业股份有限公司,工业金属,135147,12429,9.20%,大业股份(603278),山东省诸城市朱诸路北辛兴经济工业园,山东省诸城市朱诸路北辛兴经济工业园,www.sddaye.com,2017/11/13
山东省,潍坊市,诸城市,惠发股份,山东惠发食品股份有限公司,食品生产（III）,58191,2841,4.90%,惠发股份(603536),山东省诸城市舜耕路139号；山东省诸城市舜德路159号,山东省诸城市舜耕路139号；山东省诸城市舜德路159号,www.huifafoods.com,2017/6/13
山东省,潍坊市,寿光市,康跃科技,康跃科技股份有限公司,商用运载工具与车辆,50122,5728,11.40%,康跃科技(300391),山东省潍坊市寿光市开发区（原北洛镇政府驻地）,山东省潍坊市寿光市开发区(原北洛镇政府驻地),www.chinakangyue.com,2014/8/1
山东省,潍坊市,寿光市,晨鸣纸业,山东晨鸣纸业集团股份有限公司,造纸,2192920,306949,14.00%,晨鸣纸业(000488),山东省寿光市圣城街595号,山东省寿光市农圣东街2199号,www.chenmingpaper.com,2000/11/20
山东省,潍坊市,寿光市,潍柴重机,潍柴重机股份有限公司,工业机械,142711,2121,1.50%,潍柴重机(000880),山东省潍坊滨海经济技术开发区富海大街17号,山东省潍坊市滨海经济技术开发区富海大街17号,www.weichaihm.com,1998/4/2
山东省,潍坊市,寿光市,*ST墨龙,山东墨龙石油机械股份有限公司,工业机械,206000,-18913,-9.20%,*ST墨龙(002490),山东省寿光市北环路99号,山东省寿光市北环路99号,www.molonggroup.com,2010/10/21
山东省,潍坊市,寿光市,晨鸣纸业,山东晨鸣纸业集团股份有限公司,造纸,2192920,306949,14.00%,晨鸣B(200488),山东省寿光市圣城街595号,山东省寿光市农圣东街2199号,www.chenmingpaper.com,2000/11/20
山东省,潍坊市,奎文区,歌尔股份,歌尔股份有限公司,电子电气组件与设备,1726004,136709,7.90%,歌尔股份(002241),山东省潍坊高新技术产业开发区东方路268号,山东省潍坊高新技术产业开发区东方路268号,www.goertek.com,2008/5/22
山东省,潍坊市,寒亭区,恒天海龙,恒天海龙股份有限公司,通用化工品,41213,1021,2.50%,恒天海龙(000677),山东省潍坊市寒亭区海龙路555号,山东省潍坊市寒亭区海龙路555号,www.helon.cn,1996/12/26
山东省,潍坊市,寒亭区,山东海化,山东海化股份有限公司,通用化工品,343155,53285,15.50%,山东海化(000822),山东省潍坊滨海经济开发区,山东省潍坊滨海经济开发区,www.chinahaihua.com,1998/7/3
山东省,潍坊市,寒亭区,亚星化学,潍坊亚星化学股份有限公司,通用化工品,143405,1344,0.90%,亚星化学(600319),山东省潍坊市寒亭区民主街529号,山东省潍坊市寒亭区民主街529号,www.chinayaxing.com,2001/3/26
山东省,潍坊市,高密市,潍柴动力,潍柴动力股份有限公司,工业机械,11155068,746010,6.70%,潍柴动力(000338),山东省潍坊市高新技术产业开发区福寿东街197号甲,山东省潍坊市高新技术产业开发区福寿东街197号甲,www.weichaipower.com,2007/4/30
山东省,潍坊市,高密市,孚日股份,孚日集团股份有限公司,服装与服饰,348385,43049,12.40%,孚日股份(002083),山东省高密市孚日街1号,山东省高密市孚日街1号,www.sunvim.com,2006/11/24
山东省,潍坊市,高密市,沃华医药,山东沃华医药科技股份有限公司,制药,51529,8877,17.20%,沃华医药(002107),山东省潍坊市高新技术产业开发区梨园街3517号,山东省潍坊市高新技术产业开发区梨园街3517号,www.wohua.cn,2007/1/24
山东省,潍坊市,高密市,豪迈科技,山东豪迈机械科技股份有限公司,工业机械,222516,62480,28.10%,豪迈科技(002595),山东省高密市密水科技工业园豪迈路1号,山东省高密市密水科技工业园豪迈路1号,www.haomaikeji.com,2011/6/28
山东省,潍坊市,坊子区,共达电声,山东共达电声股份有限公司,电子电气组件与设备,58419,-397,-0.70%,共达电声(002655),山东省潍坊市坊子区凤山路68号,山东省潍坊市坊子区凤山路68号,www.gettopacoustic.com,2012/2/17
山东省,潍坊市,昌邑市,同大股份,山东同大海岛新材料股份有限公司,特种化工品,32883,1368,4.20%,同大股份(300321),山东省昌邑市同大街522号,山东省昌邑市同大街522号,www.tongdahdcx.com,2012/5/23
山东省,潍坊市,昌乐县,日科化学,山东日科化学股份有限公司,特种化工品,154666,10064,6.50%,日科化学(300214),山东省昌乐县英轩街3999号1号楼,山东省昌乐县英轩街3999号,www.rikechem.com,2011/5/11
山东省,潍坊市,昌乐县,希努尔,希努尔男装股份有限公司,服装与服饰,54966,-1881,-3.40%,希努尔(002485),山东省诸城市东环路58号,山东省诸城市东环路58号,www.sinoer.com,2010/10/15
山东省,潍坊市,昌乐县,山东矿机,山东矿机集团股份有限公司,工业机械,90220,3577,4.00%,山东矿机(002526),山东省昌乐县经济开发区大沂路北段,山东省昌乐县经济开发区大沂路北段矿机工业园,www.skj.cc,2010/12/17
