省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
山东省,烟台市,芝罘区,东方电子,东方电子股份有限公司,电子电气组件与设备,170661,12376,7.30%,东方电子(000682),山东省烟台市芝罘区机场路2号,山东省烟台市芝罘区机场路2号,www.dongfangelec.com,1997/1/21
山东省,烟台市,芝罘区,冰轮环境,冰轮环境技术股份有限公司,工业机械,229667,29636,12.90%,冰轮环境(000811),山东省烟台市芝罘区冰轮路1号,山东省烟台市芝罘区冰轮路1号,www.yantaimoon.cn,1998/5/28
山东省,烟台市,芝罘区,张裕A,烟台张裕葡萄酿酒股份有限公司,蒸馏酒与葡萄酒,379800,108720,28.60%,张裕A(000869),山东省烟台市大马路56号,山东省烟台市大马路56号,www.changyu.com.cn,2000/10/26
山东省,烟台市,芝罘区,瑞康医药,瑞康医药股份有限公司,药品零售,1665327,121614,7.30%,瑞康医药(002589),山东省烟台市芝罘区机场路326号,山东省烟台市芝罘区机场路326号,www.realcan.cn,2011/6/10
山东省,烟台市,芝罘区,张裕A,烟台张裕葡萄酿酒股份有限公司,蒸馏酒与葡萄酒,379800,108720,28.60%,张裕B(200869),山东省烟台市大马路56号,山东省烟台市大马路56号,www.changyu.com.cn,2000/10/26
山东省,烟台市,芝罘区,万华化学,万华化学集团股份有限公司,通用化工品,3896350,1173418,30.10%,万华化学(600309),山东省烟台市开发区天山路17号,山东省烟台市幸福南路7号,www.whchem.com,2001/1/5
山东省,烟台市,芝罘区,园城黄金,烟台园城黄金股份有限公司,采矿业,804,299,37.20%,园城黄金(600766),山东省烟台市南大街261号,山东省烟台市芝罘区南大街261号,--,1996/10/28
山东省,烟台市,芝罘区,渤海轮渡,渤海轮渡股份有限公司,水上运输,114446,49092,42.90%,渤海轮渡(603167),山东省烟台市芝罘区环海路2号,山东省烟台市芝罘区环海路2号,www.bohailundu.com,2012/9/6
山东省,烟台市,招远市,双塔食品,烟台双塔食品股份有限公司,食品生产（IV）,114963,5510,4.80%,双塔食品(002481),山东省招远市金岭镇寨里,山东省招远市金岭镇寨里,www.shuangtafood.com,2010/9/21
山东省,烟台市,招远市,玲珑轮胎,山东玲珑轮胎股份有限公司,汽车零配件（IV）,1031618,76859,7.50%,玲珑轮胎(601966),招远市金龙路777号,招远市金龙路777号,http://www.linglong.cn/,2016/7/6
