省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,东莞市,万江区,生益科技,广东生益科技股份有限公司,电子电气组件与设备,772904,97838,12.70%,生益科技(600183),,广东省东莞市松山湖高新技术产业开发区工业西路5号,广东省东莞市万江区莞穗大道411号,--,1998-10-28
广东省,东莞市,东莞市市辖区,东莞控股,东莞发展控股股份有限公司,运输服务,108218,89060,82.30%,东莞控股(000828),,广东省东莞市南城区科技工业园科技路39号,广东省东莞市寮步镇浮竹山佛岭水库路侧莞深高速公路管理中心,www.dgholdings.cn,1997-6-17
广东省,东莞市,东莞市市辖区,勤上股份,东莞勤上光电股份有限公司,耐用消费品,117867,13106,11.10%,勤上股份(002638),,广东省东莞市常平镇横江厦村,广东省东莞市常平镇横江厦村,www.kingsun-china.com,2011-11-25
广东省,东莞市,东莞市市辖区,南兴装备,东莞市南兴家具装备制造股份有限公司,工业机械,53989,8843,16.40%,南兴装备(002757),,广东省东莞市厚街镇科技工业园南兴路,广东省东莞市厚街镇双岗村家具大道侧,www.nanxing.com.cn,2015-5-27
广东省,东莞市,东莞市市辖区,坚朗五金,广东坚朗五金制品股份有限公司,耐用消费品,226163,21578,9.50%,坚朗五金(002791),,广东省东莞市塘厦镇大坪坚朗路3号,广东省东莞市塘厦镇大坪坚朗路3号,www.kinlong.com,2016-3-29
广东省,东莞市,东莞市市辖区,捷荣技术,东莞捷荣技术股份有限公司,电子电气组件与设备,107841,3679,3.40%,捷荣技术(002855),,广东省东莞市长安镇新安工业园,广东省东莞市长安镇新安工业园,www.chitwing.com,2017-3-21
广东省,东莞市,东莞市市辖区,铭普光磁,东莞铭普光磁股份有限公司,通讯设备,111162,6276,5.60%,铭普光磁(002902),,广东省东莞市石排镇庙边王沙迳村中九路,广东省东莞市石排镇庙边王沙迳村中九路,www.mnc-tek.com,2017-9-29
广东省,东莞市,东莞市市辖区,劲胜智能,广东劲胜智能集团股份有限公司,电子设备,466709,49384,10.60%,劲胜智能(300083),,广东省东莞市长安镇上角村,广东省东莞市长安镇上角村,www.januscn.com,2010-5-20
广东省,东莞市,东莞市市辖区,星普医科,广东星普医学科技股份有限公司,制药,24445,13680,56.00%,星普医科(300143),,广东省东莞市塘厦镇蛟坪大道83号,广东省东莞市塘厦镇蛟坪大道83号,www.starway.com.cn,2010-12-9
广东省,东莞市,东莞市市辖区,银禧科技,广东银禧科技股份有限公司,通用化工品,176303,13988,7.90%,银禧科技(300221),,广东省东莞市虎门镇居岐村,广东省东莞市道?蛘蚰细蠊ひ登?银禧工程塑料(东莞)有限公司办公大楼,www.silverage.cn,2011-5-25
