省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,中山市,中山市市辖区,中山公用,中山公用事业集团股份有限公司,水务,112462,88504,78.70%,中山公用(000685),广东省中山市兴中道十八号财兴大厦北座,广东省中山市兴中道十八号财兴大厦北座,www.zpug.net,1997/1/23
广东省,中山市,中山市市辖区,华帝股份,华帝股份有限公司,耐用消费品,408313,37561,9.20%,华帝股份(002035),广东省中山市小榄镇工业大道南华园路1号,广东省中山市小榄镇工业大道南华园路1号,www.vatti.com.cn,2004/9/1
广东省,中山市,中山市市辖区,长青集团,广东长青(集团)股份有限公司,耐用消费品,139394,9755,7.00%,长青集团(002616),广东省中山市小榄工业大道南42号,广东省中山市小榄工业大道南42号,www.chinachant.com,2011/9/20
广东省,中山市,中山市市辖区,奥马电器,广东奥马电器股份有限公司,耐用消费品,520916,34830,6.70%,奥马电器(002668),广东省中山市南头镇东福北路54号,广东省中山市南头镇东福北路54号,www.homa.cn,2012/4/16
广东省,中山市,中山市市辖区,和胜股份,广东和胜工业铝材股份有限公司,铝业,61209,5183,8.50%,和胜股份(002824),广东省中山市三乡镇前陇工业区美源路5号、广东省中山市三乡镇西山社区华曦路3号,广东省中山市三乡镇前陇工业区美源路5号、广东省中山市三乡镇西山社区华曦路3号,www.hoshion.com,2017/1/12
广东省,中山市,中山市市辖区,智慧松德,松德智慧装备股份有限公司,工业机械,28117,4596,16.30%,智慧松德(300173),广东省中山市南头镇东福北路35号,广东省中山市南头镇东福北路35号,www.songde.com.cn,2011/2/1
广东省,中山市,中山市市辖区,江龙船艇,江龙船艇科技股份有限公司,工业机械,28978,1368,4.70%,江龙船艇(300589),广东省中山市神湾镇桂竹路1号江龙船艇科技园,广东省中山市神湾镇桂竹路1号江龙船艇科技园,www.jianglong.cn,2017/1/13
广东省,中山市,中山市市辖区,达华智能,中山达华智能科技股份有限公司,电子电气组件与设备,230245,5930,2.60%,达华智能(002512),广东省中山市小榄镇泰丰工业区水怡南路9号,广东省中山市小榄镇泰丰工业区水怡南路9号,www.twh.com.cn,2010/12/3
广东省,中山市,中山市市辖区,木林森,木林森股份有限公司,电子电气组件与设备,585902,50980,8.70%,木林森(002745),广东省中山市小榄镇木林森大道1号、中山市小榄镇泰丰工业大道中42号之一,广东省中山市小榄镇木林森大道1号、中山市小榄镇泰丰工业大道中42号之一,www.zsmls.com,2015/2/17
广东省,中山市,中山市市辖区,通宇通讯,广东通宇通讯股份有限公司,通讯设备,119551,12973,10.90%,通宇通讯(002792),广东省中山市火炬开发区金通街3号,广东省中山市火炬开发区金通街3号,www.tycc.cn,2016/3/28
广东省,中山市,中山市市辖区,乐心医疗,广东乐心医疗电子股份有限公司,电子电气组件与设备,64617,-327,-0.50%,乐心医疗(300562),广东省中山市火炬开发区东利路105号A区,广东省中山市火炬开发区东利路105号A区,www.lifesense.com,2016/11/16
广东省,中山市,中山市市辖区,联合光电,中山联合光电科技股份有限公司,电子电气组件与设备,65115,7003,10.80%,联合光电(300691),广东省中山市火炬开发区益围路10号1-3楼,广东省中山市火炬开发区益围路10号1-3楼,www.union-optech.com,2017/8/11
广东省,中山市,中山市市辖区,中炬高新,中炬高新技术实业（集团）股份有限公司,食品生产（IV）,272867,45657,16.70%,中炬高新(600872),广东省中山市中山火炬高技术产业开发区,广东省中山市中山火炬高技术产业开发区火炬大厦,www.jonjee.com,1995/1/24
广东省,中山市,中山市市辖区,依顿电子,广东依顿电子科技股份有限公司,电子电气组件与设备,246073,50006,20.30%,依顿电子(603328),广东省中山市三角镇高平化工区,广东省中山市三角镇高平化工区,www.ellingtonpcb.com,2014/7/1
广东省,中山市,中山市市辖区,皮阿诺,东皮阿诺科学艺术家居股份有限公司,家具,55417,7904,14.30%,皮阿诺(002853),中山市阜沙镇上南村、中山市阜沙镇安华路 2 号之一,--,--,2017/3/10
