省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,佛山市,顺德区,美的集团,美的集团股份有限公司,消费电子产品,18694887,1824307,9.80%,美的集团(000333),,广东省佛山市顺德区北?蛘蛎赖拇蟮?6号美的总部大楼B区26-28楼,广东省佛山市顺德区北?蛘蛎赖拇蟮?6号美的总部大楼B区26-28楼,www.midea.com.cn,2013-9-18
广东省,佛山市,顺德区,万家乐,广东万家乐股份有限公司,电子电气组件与设备,475732,7099,1.50%,万家乐(000533),,广东省佛山市顺德区大良街道顺峰山工业区,广东省佛山市顺德区大良街道顺峰山工业区,www.macro.com.cn,1994-1-3
广东省,佛山市,顺德区,海信科龙,海信科龙电器股份有限公司,耐用消费品,2639429,188963,7.20%,海信科龙(000921),,广东省佛山市顺德区容桂街道容港路8号,广东省佛山市顺德区容桂街道容港路8号,www.kelon.com,1999-7-13
广东省,佛山市,顺德区,德美化工,广东德美精细化工集团股份有限公司,特种化工品,195642,6012,3.10%,德美化工(002054),,广东省佛山市顺德高新区科技产业园朝桂南路,广东省佛山市顺德区容桂街道广珠路海尾路段44号,www.dymatic.com,2006-7-25
广东省,佛山市,顺德区,精艺股份,广东精艺金属股份有限公司,有色金属,389416,6608,1.70%,精艺股份(002295),,广东省佛山市顺德区北?蛘蛭骱９ひ登?,广东省佛山市顺德区北?蛘蛭骱９ひ登?,www.jingyimetal.com,2009-9-29
广东省,佛山市,顺德区,万和电气,广东万和集团有限公司,电子电气组件与设备,466367,30089,6.50%,万和电气(002543),,广东省佛山市顺德高新区(容桂)建业中路13号,广东省佛山市顺德高新区(容桂)建业中路13号,www.vanward.com,2011-1-28
广东省,佛山市,顺德区,顺威股份,广东顺威精密塑料股份有限公司,通用化工品,118765,982,0.80%,顺威股份(002676),,广东省佛山市顺德区高新区(容桂)科苑一路6号,广东省佛山市顺德区高新区(容桂)科苑一路6号,www.sunwill.com.cn,2012-5-25
广东省,佛山市,顺德区,新宝股份,广东新宝电器股份有限公司,消费电子产品,617603,42046,6.80%,新宝股份(002705),,广东省佛山市顺德区勒流镇政和南路,广东省佛山市顺德区勒流镇政和南路,www.donlim.com,2014-1-21
广东省,佛山市,顺德区,欧浦智网,欧浦智网股份有限公司,商业辅助服务,485545,37710,7.80%,欧浦智网(002711),,广东省佛山市顺德区乐从镇路州村委会第二工业区乐成路7号地,广东省佛山市顺德区乐从镇路州村委会第二工业区乐成路7号地,www.oupuzw.com,2014-1-27
广东省,佛山市,顺德区,伊之密,广东伊之密精密机械股份有限公司,工业机械,146443,24742,16.90%,伊之密(300415),,广东省佛山市顺德高新区（容桂）科苑三路22号,广东省佛山市顺德高新区（容桂）科苑三路22号,www.yizumi-group.com,2015-1-23
广东省,佛山市,顺德区,星徽精密,广东星徽精密制造股份有限公司,工业机械,39064,2534,6.50%,星徽精密(300464),,广东省佛山市顺德区北?蛘蚬ひ翟靶艘德?7号,广东省佛山市顺德区北?蛘蚬ひ翟靶艘德?7号,www.sh-abc.cn,2015-6-10
广东省,佛山市,顺德区,海川智能,广东海川智能机器股份有限公司,电子设备,9687,2723,28.10%,海川智能(300720),,广东省佛山市顺德区北?蛘蚧屏?村委会龙展路3号,广东省佛山市顺德区北?蛘蛩辰?居委会工业园置业路8号,www.highdream.cn,2017-11-6
广东省,佛山市,顺德区,科达洁能,广东科达洁能股份有限公司,工业机械,394871,39900,10.10%,科达洁能(600499),,广东省佛山市顺德区陈村镇广隆工业园环镇西路1号,广东省佛山市顺德区陈村镇广隆工业园环镇西路1号,www.kedachina.com.cn,2002-10-10
广东省,佛山市,顺德区,盈峰环境,盈峰环境科技集团股份有限公司,工业机械,326887,26984,8.30%,盈峰环境(000967),,浙江省绍兴市上虞区人民西路1818号,广东省佛山市顺德区北?蛐鲁乔?怡欣路7-8号盈峰中心23层,www.inforeenviro.com,2000-3-30
广东省,佛山市,三水区,盛路通信,广东盛路通信科技股份有限公司,通讯设备,73883,10057,13.60%,盛路通信(002446),,广东省佛山市三水区西南工业园进业二路四号,广东省佛山市三水区西南工业园进业二路四号,www.shenglu.com,2010-7-13
广东省,佛山市,三水区,金银河,佛山市金银河智能装备股份有限公司,工业机械,26954,2842,10.50%,金银河(300619),,广东省佛山市三水区西南街道宝云路6号一、二、四、五、六、七座,广东省佛山市三水区西南街道宝云路6号,www.goldenyh.com,2017-3-1
广东省,佛山市,南海区,雪莱特,广东雪莱特光电科技股份有限公司,耐用消费品,70337,1707,2.40%,雪莱特(002076),,广东省佛山市南海区狮山工业科技工业园A区,广东省佛山市南海区桂城街道桂澜北路2号亿能国际广场2座19楼,www.cnlight.com,2006-10-25
