省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,广州市,天河区,粤高速A,广东省高速公路发展股份有限公司,运输服务,226275,145583,64.30%,粤高速A(000429),广东省广州市白云路85号,广东省广州市天河区珠江新城珠江东路32号利通广场45、46层,www.gpedcl.com,1998-2-20
广东省,广州市,天河区,绿景地产,绿景控股股份有限公司,不动产投资开发,1793,-5821,-324.60%,绿景控股(000502),广东省广州市海珠区同福西路131-133号首层01房,广东省广州市天河区林和中路8号海航大厦35楼,www.000502.cn,1992-11-23
广东省,广州市,天河区,广州浪奇,广州市浪奇实业股份有限公司,通用化工品,828230,1123,0.10%,广州浪奇(000523),广东省广州市天河区黄埔大道东128号,广东省广州市天河区黄埔大道东128号,www.lonkey.com.cn,1993-11-8
广东省,广州市,天河区,粤电力A,广东电力发展股份有限公司,电力（IV）,1993246,158994,8.00%,粤电力A(000539),广东省广州市天河东路2号粤电广场南塔33-36楼,广东省广州市天河东路2号粤电广场南塔33-36楼,www.ged.com.cn,1993-11-26
广东省,广州市,天河区,广发证券,广发证券股份有限公司,投资服务,1487784,813644,54.70%,广发证券(000776),广东省广州市黄埔区中新广州知识城腾飞一街2号618室,广东省广州市天河区天河北路183-187号大都会广场5楼、18楼、19楼、36楼、38楼、41楼、,www.gf.com.cn,1997-6-11
广东省,广州市,天河区,越秀金控,广州越秀金融控股集团股份有限公司,投资服务,200642,77149,38.50%,越秀金控(000987),广东省广州市天河区珠江西路5号广州国际金融中心主塔写字楼第63层01-B单元,广东省广州市天河区珠江西路5号广州国际金融中心主塔写字楼第63层01-B单元,www.yuexiu-finance.com,2000-7-18
广东省,广州市,天河区,达安基因,中山大学达安基因股份有限公司,生物科技,115343,10304,8.90%,达安基因(002030),广东省广州市高新技术开发区科学城香山路19号,广东省广州市高新技术开发区科学城香山路19号,www.daangene.com,2004-8-9
广东省,广州市,天河区,融捷股份,融捷股份有限公司,电子电气组件与设备,16864,190,1.10%,融捷股份(002192),广东省广州市天河区珠江西路5号广州国际金融中心主塔写字楼第45层04-05单元,广东省广州市天河区珠江西路5号广州国际金融中心45层04-05室,www.luxiang.cn,2007-12-5
广东省,广州市,天河区,奥飞娱乐,奥飞娱乐股份有限公司,玩具,264541,35125,13.30%,奥飞娱乐(002292),广东省汕头市澄海区文冠路中段奥迪工业园,广东省广州市天河区珠江新城金穗路62号侨鑫国际金融中心37楼,www.gdalpha.com,2009-9-10
广东省,广州市,天河区,棕榈股份,棕榈生态城镇发展股份有限公司,建筑施工,354487,21913,6.20%,棕榈股份(002431),广东省广州市花都区迎宾大道95号交通大楼17楼1701室,广东省广州市天河区马场路16号富力盈盛广场B栋23-25楼,www.palm-la.com,2010-6-10
广东省,广州市,天河区,普邦股份,广州普邦园林股份有限公司,建筑施工,242913,15257,6.30%,普邦股份(002663),广东省广州市越秀区寺右新马路南二街一巷14-20号首层,广东省广州市天河区珠江新城海安路13号越秀财富世纪广场A1幢33-35楼,www.pblandscape.com,2012-3-16
广东省,广州市,天河区,宏大爆破,广东宏大爆破股份有限公司,普通矿开采,248583,13403,5.40%,宏大爆破(002683),广东省广州市天河区珠江新城华夏路49号之二津滨腾越大厦北塔21层,广东省广州市天河区珠江新城华夏路49号之二津滨腾越大厦北塔21层,www.hdbp.com,2012-6-12
广东省,广州市,天河区,燕塘乳业,广东燕塘乳业股份有限公司,食品生产（IV）,91444,11922,13.00%,燕塘乳业(002732),广东省广州市天河区沙河燕塘,广东省广州市天河区沙河燕塘,www.yantangmilk.com,2014-12-5
广东省,广州市,天河区,金逸影视,广州金逸影视传媒股份有限公司,广播与娱乐,163992,17656,10.80%,金逸影视(002905),广东省广州市天河区华成路8号之一402房之一,广东省广州市天河区华成路8号之一402房之一,www.jycinema.com,2017-10-16
广东省,广州市,天河区,德生科技,广东德生科技股份有限公司,软件,25841,4306,16.70%,德生科技(002908),广东省广州市天河区软件路15号第二层201室、三、四层,广东省广州市天河区软件路15号第二层201室、三、四层,www.e-tecsun.com,2017-10-20
广东省,广州市,天河区,粤高速A,广东省高速公路发展股份有限公司,运输服务,226275,145583,64.30%,粤高速B(200429),广东省广州市白云路85号,广东省广州市天河区珠江新城珠江东路32号利通广场45、46层,www.gpedcl.com,1998-2-20
广东省,广州市,天河区,粤电力A,广东电力发展股份有限公司,电力（IV）,1993246,158994,8.00%,粤电力B(200539),广东省广州市天河东路2号粤电广场南塔33-36楼,广东省广州市天河东路2号粤电广场南塔33-36楼,www.ged.com.cn,1993-11-26
广东省,广州市,天河区,星辉娱乐,广东星辉车模股份有限公司,互联网,207032,26326,12.70%,星辉娱乐(300043),广东省汕头市澄海区星辉工业园(上华镇夏岛路北侧),广东省广州市天河区珠江新城华夏路16号富力盈凯广场49楼,www.rastar.cn,2010-1-20
广东省,广州市,天河区,蓝盾股份,蓝盾信息安全技术股份有限公司,计算机服务,144977,26032,18.00%,蓝盾股份(300297),广东省广州市天河区天慧路16号,广东省广州市天河区科韵路16号自编1栋2101,www.bluedon.com,2012-3-15
广东省,广州市,天河区,宜通世纪,广东宜通世纪科技股份有限公司,移动通信服务,167708,18279,10.90%,宜通世纪(300310),广东省广州市天河区建中路14、16号第三层东,广东省广州市天河区科韵路16号广州信息港A栋12楼,www.etonetech.com,2012-4-25
广东省,广州市,天河区,博济医药,广州博济医药生物技术股份有限公司,商业辅助服务,8903,-496,-5.60%,博济医药(300404),广东省广州市天河区华观路1933号701房,广东省广州市天河区华观路1933号万科云广场A栋7楼,www.gzboji.com,2015-4-24
广东省,广州市,天河区,尚品宅配,广州尚品宅配家居股份有限公司,家具,358886,23625,6.60%,尚品宅配(300616),广东省广州市天河区花城大道85号3501房之自编01-05单元,广东省广州市天河区花城大道85号3501房之自编01-05单元,www.spzp.com,2017-3-7
广东省,广州市,天河区,赛意信息,广州赛意信息科技股份有限公司,软件,49695,7128,14.30%,赛意信息(300687),广东省广州市天河区珠江东路12号16楼1603-1605单元,广东省广州市天河区珠江东路12号16楼1603-1605单元,www.chinasie.com,2017-8-3
广东省,广州市,天河区,广哈通信,广州广哈通信股份有限公司,电子设备,17479,3387,19.40%,广哈通信(300711),广东省广州市科学城南云一路16号,广东省广州市科学城南云一路16号,www.ghtchina.com,2017-11-1
广东省,广州市,天河区,一品红,一品红药业股份有限公司,制药,103785,12439,12.00%,一品红(300723),广东省广州市天河区珠江新城金穗路星汇国际大厦西塔17层01单元,广东省广州市天河区珠江新城金穗路星汇国际大厦西塔17层01单元,www.gdyph.com,2017-11-16
广东省,广州市,天河区,广州发展,广州发展集团股份有限公司,电力（IV）,1746336,94591,5.40%,广州发展(600098),广东省广州市天河区临江大道3号发展中心28-30楼,广东省广州市天河区临江大道3号28-30楼,www.gdih.cn,1997-7-18
广东省,广州市,天河区,中远海特,中远海运特种运输股份有限公司,水上运输,496750,21175,4.30%,中远海特(600428),广东省广州市保税区东江大道282号康胜大厦,广东省广州市天河区珠江新城花城大道20号广州远洋大厦15-26楼,www.coscol.com.cn,2002-4-18
广东省,广州市,天河区,佳都科技,佳都新太科技股份有限公司,计算机服务,237862,4554,1.90%,佳都科技(600728),广东省广州市番禺区东环街迎宾路832号番禺节能科技园内番山创业中心1号楼2区306房,广东省广州天河软件园建工路4号,www.pcitech.com,1996-7-16
广东省,广州市,天河区,广日股份,广州广日股份有限公司,工业机械,349834,39099,11.20%,广日股份(600894),广东省广州市天河区华利路59号东塔13层自编1301,广东省广州市天河区华利路59号东塔13层自编1301,www.guangrigf.com/index.aspx,1996-3-28
广东省,广州市,天河区,广汽集团,广州汽车集团股份有限公司,汽车零配件（IV）,5138790,989506,19.30%,广汽集团(601238),广东省广州市越秀区东风中路448-458号成悦大厦23楼,广东省广州市天河区珠江新城兴国路23号广汽中心,www.gagc.com.cn,2012-3-29
广东省,广州市,天河区,超讯通信,广东超讯通信技术股份有限公司,通讯设备,64547,97,0.20%,超讯通信(603322),广东省广州市天河区天河科技园软件园高唐新建区高普路1025、1027号第4层,广东省广州市天河区天河科技园软件园高唐新建区高普路1025、1027号第4层,www.sts.cn,2016-7-28
广东省,广州市,天河区,好莱客,广州好莱客创意家居股份有限公司,家具,125162,25994,20.80%,好莱客(603898),广东省广州经济技术开发区东区连云路8号,广东省广州市天河区科韵路20号三层,www.holike.com,2015-2-17
广东省,广州市,天河区,广晟有色,广晟有色金属股份有限公司,有色金属,401603,-2712,-0.70%,广晟有色(600259),海南省海口市龙华区滨海大道69号海口宝华海景大酒店8楼809房,广东省广州市天河区林和西路157号保利中汇广场A栋31楼,www.gdnmi.com.cn,2000-5-25
