省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,广州市,萝岗区,达志科技,广东达志环保科技股份有限公司,通用化工品,10524,4451,42.30%,达志科技(300530),广东省广州经济技术开发区永和经济区田园东路1号、2号,广东省广州经济技术开发区永和经济区田园东路1号、2号,www.dazhitech.com,2016/8/9
广东省,广州市,萝岗区,穗恒运A,广州恒运企业集团股份有限公司,电力（IV）,222358,21088,9.50%,穗恒运A(000531),广东省广州市萝岗区西基工业区西基路,广东省广州开发区开发大道235号恒运大厦6-6M层,www.hengyun.com.cn,1994/1/6
广东省,广州市,萝岗区,广电运通,广州广电运通金融电子股份有限公司,工业机械,243295,84555,34.80%,广电运通(002152),广东省广州市萝岗区科学城科林路9号,广东省广州市萝岗区科学城科林路9号,www.grgbanking.com,2007/8/13
广东省,广州市,萝岗区,御银股份,广州御银科技股份有限公司,工业机械,39071,-936,-2.40%,御银股份(002177),广东省广州市天河区高唐路234号901房,广东省广州市萝岗区瑞发路12号,www.kingteller.com.cn,2007/11/1
广东省,广州市,萝岗区,达意隆,广州达意隆包装机械股份有限公司,工业机械,68747,-1668,-2.40%,达意隆(002209),广州市黄埔区云埔一路23号,广东省广州市萝岗区云埔一路23号,www.tech-long.com,2008/1/30
广东省,广州市,萝岗区,威创股份,威创集团股份有限公司,电子电气组件与设备,79964,18905,23.60%,威创股份(002308),广东省广州高新技术产业开发区科珠路233号,广东省广州高新技术产业开发区科珠路233号,www.vtron.com,2009/11/27
广东省,广州市,萝岗区,阳普医疗,广州阳普医疗科技股份有限公司?,医疗设备,37593,1346,3.60%,阳普医疗(300030),广东省广州市经济技术开发区科学城开源大道102号,广东省广州市经济技术开发区科学城开源大道102号,www.improve-medical.com,2009/12/25
广东省,广州市,萝岗区,高新兴,高新兴科技集团股份有限公司,软件与计算机服务,135731,30527,22.50%,高新兴(300098),广东省广州市萝岗区科学城开创大道2819号六楼,广东省广州市萝岗区科学城开创大道2819号,www.gosuncn.com,2010/7/28
广东省,广州市,萝岗区,汤臣倍健,汤臣倍健股份有限公司,食品生产（IV）,235023,97337,41.40%,汤臣倍健(300146),广东省珠海市金湾区三灶科技工业园星汉路19号,广东省广州市萝岗区科学城科学大道中99号科汇金谷科汇三街3号,www.by-health.com.cn,2010/12/15
广东省,广州市,萝岗区,香雪制药,广州市香雪制药股份有限公司,制药,163163,7728,4.70%,香雪制药(300147),广东省广州市萝岗区广州经济技术开发区科学城金峰园路2号,广东省广州市萝岗区广州经济技术开发区科学城金峰园路2号,www.xphcn.com,2010/12/15
广东省,广州市,萝岗区,安居宝,广东安居宝数码科技股份有限公司,电子设备,54922,775,1.40%,安居宝(300155),广东省广州高新技术产业开发区科学城起云路6号自编一栋,广东省广州高新技术产业开发区科学城起云路6号自编二栋,www.anjubao.com,2011/1/7
广东省,广州市,萝岗区,迪森股份,广州迪森热能技术股份有限公司,综合公共事业,127162,23412,18.40%,迪森股份(300335),广东省广州市经济开发区东区东众路42号,广东省广州市经济开发区东区东众路42号,www.devotiongroup.com,2012/7/10
广东省,广州市,萝岗区,航新科技,广州航新航空科技股份有限公司,航空航天,30413,3283,10.80%,航新科技(300424),广东省广州市经济技术开发区科学城光宝路1号,广东省广州市经济技术开发区科学城光宝路1号,www.hangxin.com,2015/4/22
广东省,广州市,萝岗区,万孚生物,广州万孚生物技术股份有限公司,生物科技,75655,18160,24.00%,万孚生物(300482),广东省广州市萝岗区科学城荔枝山路8号,广东省广州市萝岗区科学城荔枝山路8号,www.wondfo.com.cn,2015/6/30
广东省,广州市,萝岗区,昊志机电,广州市昊志机电股份有限公司,工业机械,30898,5984,19.40%,昊志机电(300503),广东省广州经济技术开发区永和经济区江东街6号,广东省广州经济技术开发区永和经济区江东街6号,www.haozhihs.com,2016/3/9
广东省,广州市,萝岗区,宏昌电子,宏昌电子材料股份有限公司,特种化工品,81709,3847,4.70%,宏昌电子(603002),广东省广州市萝岗区云埔一路一号之二,广东省广州市萝岗区云埔一路一号之二,www.graceepoxy.com,2012/5/18
广东省,广州市,萝岗区,原尚股份,广东原尚物流股份有限公司,运输服务,28323,4025,14.20%,原尚股份(603813),广东省广州经济技术开发区东区东众路25号,广东省广州经济技术开发区东区东众路25号,www.gsl.cc/main.asp,2017/9/18
广东省,广州市,萝岗区,爱司凯,广州市爱司凯科技股份有限公司,工业机械,13554,3135,23.10%,爱司凯(300521),广东省广州市中新广州知识城九佛建设新街18号自编112房,广东省广州市中新广州知识城九佛建设新街18号自编112房,www.amsky.cc,2016/7/5
