省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,广州市,黄埔区,弘亚数控,广州弘亚数控机械股份有限公司,工业机械,62615,21301,34.00%,弘亚数控(002833),广东省广州市黄埔区云埔工业区云开路3号,广东省广州市黄埔区云埔工业区云开路3号及广东省广州市黄埔区云骏路17号自编一栋、自编第二栋、自编3栋,www.kdtmac.com,2016-12-28
广东省,广州市,黄埔区,智光电气,广州智光电气股份有限公司,电子电气组件与设备,102087,10672,10.50%,智光电气(002169),广东省广州市黄埔区云埔工业区埔南路51号,广东省广州市黄埔区瑞和路89号,www.gzzg.com.cn,2007-9-19
广东省,广州市,黄埔区,毅昌股份,广州毅昌科技股份有限公司,汽车零配件（IV）,372817,-24457,-6.60%,毅昌股份(002420),广东省广州市高新技术产业开发区科学城科丰路29号,广东省广州市高新技术产业集团有限公司科丰路29号,www.echom.com,2010-6-1
广东省,广州市,黄埔区,海格通信,广州海格通信集团股份有限公司,通讯设备,225702,21613,9.60%,海格通信(002465),广东省广州市高新技术产业开发区科学城海云路88号,广东省广州市高新技术产业开发区科学城海云路88号,www.haige.com,2010-8-31
广东省,广州市,黄埔区,摩登大道,摩登大道时尚集团股份有限公司,服装服饰零售,65509,11121,17.00%,摩登大道(002656),广东省广州市天河区黄埔大道西638号富力科讯大厦1310房,广东省广州市黄埔区科学城光谱中路23号,www.canudilo.com,2012-2-28
广东省,广州市,黄埔区,天赐材料,广州天赐高新材料股份有限公司,通用化工品,153353,32092,20.90%,天赐材料(002709),广东省广州市黄埔区云埔工业区东诚片康达路8号,广东省广州市黄埔区云埔工业区东诚片康达路8号,www.tinci.com,2014-1-23
广东省,广州市,黄埔区,视源股份,广州视源电子科技股份有限公司,电子电气组件与设备,746286,66822,9.00%,视源股份(002841),广东省广州市黄埔区云埔四路6号,广东省广州市黄埔区云埔四路6号,www.cvte.com,2017-1-19
广东省,广州市,黄埔区,集泰股份,广州集泰化工股份有限公司,特种化工品,54528,4278,7.80%,集泰股份(002909),广东省广州市高新技术产业开发区南翔一路62号自编六栋二楼、五楼,广东省广州市高新技术产业开发区南翔一路62号自编六栋二楼、五楼,www.jointas.com,2017-10-26
广东省,广州市,黄埔区,冠昊生物,广东冠昊生物科技股份有限公司,医疗设备,31424,5208,16.60%,冠昊生物(300238),广东省广州市黄埔区玉岩路12号,广东省广州市黄埔区玉岩路12号,www.grandhopebio.com,2011-7-6
广东省,广州市,黄埔区,高澜股份,广州高澜节能技术股份有限公司,电子电气组件与设备,41203,2062,5.00%,高澜股份(300499),广东省广州市高新技术产业开发区科学城南云五路3号,广东省广州市高新技术产业开发区科学城南云五路3号,www.goaland.com.cn,2016-2-2
广东省,广州市,黄埔区,金发科技,金发科技股份有限公司,特种化工品,1658623,55231,3.30%,金发科技(600143),广东省广州市高新技术产业开发区科学城科丰路33号,广东省广州市高新技术产业开发区科学城科丰路33号,www.kingfa.com.cn,2004-6-23
