省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,汕头市,龙湖区,万泽股份,万泽实业股份有限公司,不动产投资开发,24159,1640,6.80%,万泽股份(000534),广东省汕头市珠池路23号光明大厦B幢8楼,广东省汕头市珠池路23号光明大厦B幢8楼,--,1994/1/10
广东省,汕头市,龙湖区,超声电子,广东汕头超声电子股份有限公司,电子电气组件与设备,308397,19866,6.40%,超声电子(000823),广东省汕头市龙湖区龙江路12号,广东省汕头市龙湖区龙江路12号,www.gd-goworld.com,1997/10/8
广东省,汕头市,龙湖区,南洋股份,南洋天融信科技集团股份有限公司,电子电气组件与设备,310129,2294,0.70%,南洋股份(002212),广东省汕头市珠津工业区珠津二街1号,广东省汕头市珠津工业区珠津二街1号,www.nanyangcable.com,2008/2/1
广东省,汕头市,龙湖区,潮宏基,广东潮宏基实业股份有限公司,服装与服饰,228993,26967,11.80%,潮宏基(002345),广东省汕头市龙湖区龙新工业区龙新五街四号1-4楼,广东省汕头市龙湖区龙新工业区龙新五街四号1-4楼,www.chjchina.com,2010/1/28
广东省,汕头市,龙湖区,凯撒文化,凯撒(中国)文化股份有限公司,互联网,45919,13034,28.40%,凯撒文化(002425),广东省汕头市龙湖珠津工业区珠津一街3号凯撒工业城,广东省汕头市龙湖珠津工业区珠津一街3号凯撒工业城,www.kaiser.com.cn,2010/6/8
广东省,汕头市,龙湖区,众业达,众业达电气股份有限公司,综合供应商,548812,23762,4.30%,众业达(002441),广东省汕头市衡山路62号,广东省汕头市衡山路62号,www.zyd.cn,2010/7/6
广东省,汕头市,龙湖区,宏辉果蔬,宏辉果蔬股份有限公司,食品零售与批发,52320,5050,9.70%,宏辉果蔬(603336),广东省汕头市龙湖区玉津中路13号,广东省汕头市龙湖区玉津中路13号,www.greatsunfoods.com,2016/11/24
广东省,汕头市,龙湖区,联泰环保,广东联泰环保股份有限公司,水务,13848,5860,42.30%,联泰环保(603797),广东省汕头市中山东路黄厝围龙珠水质净化厂,广东省汕头市中山东路黄厝围龙珠水质净化厂,www.lt-hbgf.com,2017/4/13
广东省,汕头市,金平区,太安堂,广东太安堂药业股份有限公司,制药,221461,23394,10.60%,太安堂(002433),广东省汕头市金园工业区11R2-2片区第1、2座,广东省汕头市金园工业区11R2-2片区第1、2座,www.taiantang.net,2010/6/18
广东省,汕头市,金平区,西陇科学,西陇科学股份有限公司,通用化工品,238892,6816,2.90%,西陇科学(002584),广东省汕头市潮汕路西陇中街1-3号,广东省汕头市潮汕路西陇中街1-3号,www.xlhg.com.cn,2011/6/2
广东省,汕头市,金平区,光华科技,广东光华科技股份有限公司,特种化工品,91579,7981,8.70%,光华科技(002741),广东省汕头市大学路295号,广东省汕头市大学路295号,www.jinhuada.com,2015/2/16
广东省,汕头市,金平区,天际股份,广东天际电器股份有限公司,电子电气组件与设备,64369,17981,27.90%,天际股份(002759),广东省汕头市潮汕路金园工业城12-12片区,广东省汕头市潮汕路金园工业城12－12片区,www.tonze.com,2015/5/28
广东省,汕头市,金平区,金发拉比,金发拉比妇婴童用品股份有限公司,服装与服饰,28409,7491,26.40%,金发拉比(002762),广东省汕头市金平区?D浦?D济南路107号,广东省汕头市金平区?D浦?D济南路107号,www.stjinfa.com,2015/6/10
广东省,汕头市,金平区,金刚玻璃,广东金刚玻璃科技股份有限公司,建材与构件,33585,1682,5.00%,金刚玻璃(300093),广东省汕头市大学路叠金工业区,广东省汕头市大学路叠金工业区,www.golden-glass.cn,2010/7/8
广东省,汕头市,金平区,美联新材,广东美联新材料股份有限公司,通用化工品,31057,4556,14.70%,美联新材(300586),广东省汕头市美联路1号,广东省汕头市美联路1号,www.malion.cn,2017/1/4
广东省,汕头市,金平区,东风股份,汕头东风印刷股份有限公司,商业辅助服务,212365,59954,28.20%,东风股份(601515),广东省汕头市潮汕路金园工业城北郊工业区（二围工业区）、4A2-2片区、2M4片区、13-02片区A-F座,广东省汕头市潮汕路金园工业城,www.dfp.com.cn,2012/2/16
广东省,汕头市,金平区,邦宝益智,广东邦宝益智玩具股份有限公司,玩具,23381,5044,21.60%,邦宝益智(603398),广东省汕头市潮汕路金园工业城13-09片区,广东省汕头市潮汕路金园工业城13-09片区,www.banbao.com,2015/12/9
广东省,汕头市,濠江区,英联股份,广东英联包装股份有限公司,耐用消费品,30412,4028,13.20%,英联股份(002846),广东省汕头市濠江区达南路中段,广东省汕头市濠江区达南路中段,www.enpackcorp.com,2017/2/7
广东省,汕头市,濠江区,万顺股份,汕头万顺包装材料股份有限公司,有色金属,223286,8541,3.80%,万顺股份(300057),广东省汕头保税区万顺工业园,广东省汕头保税区万顺工业园,www.wanshun.cn,2010/2/26
广东省,汕头市,濠江区,金明精机,广东金明精机股份有限公司,工业机械,28597,3904,13.70%,金明精机(300281),广东省汕头市濠江区纺织工业园,广东省汕头市濠江区纺织工业园,www.jmjj.com,2011/12/29
广东省,汕头市,澄海区,宜华健康,宜华健康医疗股份有限公司,医疗保健服务,138683,18689,13.50%,宜华健康(000150),广东省汕头市澄海区文冠路北侧,广东省汕头市澄海区文冠路口右侧宜都花园,www.yihuarealestate.com,2000/8/7
广东省,汕头市,澄海区,东方锆业,广东东方锆业科技股份有限公司,有色金属,51129,2493,4.90%,东方锆业(002167),广东省汕头市澄海区莱美路宇田科技园,广东省汕头市澄海区莱美路宇田科技园,www.orientzr.com,2007/9/13
广东省,汕头市,澄海区,骅威文化,骅威文化股份有限公司,广播与娱乐,62650,23534,37.60%,骅威文化(002502),广东省汕头市澄海区澄华工业区玉亭路,广东省汕头市澄海区澄华工业区玉亭路,www.huawei-stock.com,2010/11/17
广东省,汕头市,澄海区,猛狮科技,广东猛狮新能源科技股份有限公司,电子电气组件与设备,248032,5609,2.30%,猛狮科技(002684),广东省汕头市澄海区莲河西路（华富工业区猛狮蓄电池厂内1.2.4幢）,广东省汕头市澄海区324线国道广益路33号猛狮国际广场写字楼15-16楼,www.dynavolt.net,2012/6/12
广东省,汕头市,澄海区,实丰文化,实丰文化发展股份有限公司,玩具,33856,3782,11.20%,实丰文化(002862),广东省汕头市澄海区文冠路澄华工业区,广东省汕头市澄海区文冠路澄华工业区,www.sunfuntoys.com,2017/4/11
广东省,汕头市,澄海区,宜华生活,宜华生活科技股份有限公司,家具,551994,79438,14.40%,宜华生活(600978),广东省汕头市澄海区莲下槐东工业区,广东省汕头市澄海区莲下槐东工业区,www.yihuatimber.com,2004/8/24
