省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,江门市,新会区,美达股份,广东新会美达锦纶股份有限公司,通用化工品,259435,1787,0.70%,美达股份(000782),,广东省江门市新会区会城镇江会路上浅口,广东省江门市新会区会城镇江会路上浅口,www.meidanylon.com,1997-6-19
广东省,江门市,台山市,特一药业,特一药业集团股份有限公司,制药,49161,9277,18.90%,特一药业(002728),,广东省台山市北坑工业园,广东省台山市北坑工业园,www.tczy.com.cn,2014-7-31
广东省,江门市,台山市,迪生力,广东迪生力汽配股份有限公司,汽车与零配件（II）,60558,5385,8.90%,迪生力(603335),,广东省台山市西湖外商投资示范区,广东省台山市西湖外商投资示范区,www.dcenti.cn,2017-6-20
广东省,江门市,蓬江区,广东甘化,江门甘蔗化工厂(集团)股份有限公司,造纸,45432,-4628,-10.20%,广东甘化(000576),,广东省江门市甘化路56号,广东省江门市甘化路62号,www.gdganhua.com,1994-9-7
广东省,江门市,蓬江区,江粉磁材,广东江粉磁材股份有限公司,电子电气组件与设备,1179461,29044,2.50%,江粉磁材(002600),,广东省江门市龙湾路8号,广东省江门市龙湾路8号,www.jpmf.com.cn,2011-7-15
广东省,江门市,蓬江区,金莱特,广东金莱特电器股份有限公司,电子电气组件与设备,79647,1581,2.00%,金莱特(002723),,广东省江门市蓬江区棠下镇金桐路21号,广东省江门市蓬江区棠下镇金桐路21号,www.kennede.com,2014-1-29
广东省,江门市,开平市,华铁股份,广东华铁通达高铁装备股份有限公司,运输服务,103380,20965,20.30%,华铁股份(000976),,广东省开平市三埠区港口路10号19幢,广东省开平市长沙港口路10号,www.my0976.com,2000-6-1
广东省,江门市,江海区,科恒股份,江门市科恒实业股份有限公司,电子电气组件与设备,131983,14608,11.10%,科恒股份(300340),,广东省江门市江海区?蛲??蛐四下?22号,广东省江门市江海区?蛲??蛐四下?22号,www.keheng.com.cn,2012-7-26
广东省,江门市,江海区,地尔汉宇,江门市地尔汉宇电器股份有限公司,电子电气组件与设备,57249,15440,27.00%,地尔汉宇(300403),,广东省江门市高新技术开发区清澜路336号,广东省江门市高新技术开发区清澜路336号,www.idearhanyu.com,2014-10-30
广东省,江门市,鹤山市,世运电路,广东世运电路科技股份有限公司,电子设备,147690,17957,12.20%,世运电路(603920),,广东省鹤山市共和镇世运路8号,广东省鹤山市共和镇世运路8号,www.olympicpcb.com,2017-4-26
广东省,江门市,鹤山市,广弘控股,广东广弘控股股份有限公司,食品生产（IV）,147109,13006,8.80%,广弘控股(000529),,广东省广州市天河区广州大道北520号,广东省鹤山市人民西路40号,www.ghkg000529.com,1993-11-18
广东省,江门市,高新区,量子高科,江门量子高科生物股份有限公司,食品生产（IV）,19466,5783,29.70%,量子高科(300149),,广东省江门市高新区高新西路133号,广东省江门市高新区高新西路133号,www.qht.cc,2010-12-22
广东省,江门市,恩平市,道氏技术,广东道氏技术股份有限公司,建材与构件,110976,15891,14.30%,道氏技术(300409),,广东省恩平市圣堂镇三联佛仔坳,广东省恩平市圣堂镇三联佛仔坳,www.dowstone.com.cn,2014-12-3
