省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,深圳市,宝安区,深中华A,深圳中华自行车(集团)股份有限公司,娱乐用品,9552,-200,-2.10%,深中华A(000017),广东省深圳市布心路三零零八号,广东省深圳市龙华油松工业区中华工业园,www.cbc.com.cn,1992-3-31
广东省,深圳市,宝安区,深圳机场,深圳机场股份有限公司,运输服务,243012,67588,27.80%,深圳机场(000089),广东省深圳市宝安区宝安机场T3商务区配套写字楼A栋,广东省深圳市宝安国际机场机场路机场信息大楼,www.szairport.com,1998-4-20
广东省,深圳市,宝安区,宝鹰股份,深圳市宝鹰建设控股集团股份有限公司,建筑与材料（III）,481058,33877,7.00%,宝鹰股份(002047),广东省深圳市南山区沙河街道华侨城东部工业区F1栋107号,深圳市宝安区福永街道桥头社区桥塘大道,www.szby.cn,2005-5-31
广东省,深圳市,宝安区,得润电子,深圳市得润电子股份有限公司,电子电气组件与设备,381671,7141,1.90%,得润电子(002055),广东省深圳市光明新区光明街道三十三路9号得润电子工业园,广东省深圳市光明新区光明街道三十三路9号得润电子工业园,www.deren.com.cn,2006-7-25
广东省,深圳市,宝安区,信隆健康,深圳信隆健康产业发展股份有限公司,医疗设备,135035,5320,3.90%,信隆健康(002105),广东省深圳市宝安区松岗街道办碧头第三工业区,广东省深圳市宝安区松岗街道办碧头第三工业区,www.hlcorp.com.cn,2007-1-12
广东省,深圳市,宝安区,莱宝高科,深圳莱宝高科技股份有限公司,电子设备,283654,11474,4.00%,莱宝高科(002106),广东省深圳市南山区高新北二道29号,广东省深圳市光明新区五号路9号深圳莱宝高科技股份有限公司光明工厂,www.laibao.com.cn,2007-1-12
广东省,深圳市,宝安区,顺络电子,深圳顺络电子股份有限公司,电子电气组件与设备,138993,28952,20.80%,顺络电子(002138),广东省深圳市宝安区观澜街道大富苑工业区顺络观澜工业园,广东省深圳市宝安区观澜街道大富苑工业区顺络观澜工业园,www.sunlordinc.com,2007-6-13
广东省,深圳市,宝安区,拓邦股份,深圳拓邦股份有限公司,电子电气组件与设备,197575,20639,10.40%,拓邦股份(002139),广东省深圳市南山区高新技术产业园清华大学研究院B区413房,广东省深圳市宝安区石岩镇塘头大道拓邦工业园,www.topband-e.com,2007-6-29
广东省,深圳市,宝安区,证通电子,深圳市证通电子股份有限公司,工业机械,110872,3020,2.70%,证通电子(002197),广东省深圳市南山区南油天安工业村八座3A,广东省深圳市光明新区松白路甲子塘证通电子产业园,www.szzt.com.cn,2007-12-18
广东省,深圳市,宝安区,特尔佳,深圳市特尔佳科技股份有限公司,汽车零配件（IV）,8629,196,2.30%,特尔佳(002213),广东省深圳市南山区科技中二路深圳软件园12#楼301,广东省深圳市宝安区观澜高新技术产业园特尔佳观澜厂区,www.terca.cn,2008-2-1
广东省,深圳市,宝安区,诺普信,深圳诺普信农化股份有限公司,特种化工品,218554,28605,13.10%,诺普信(002215),广东省深圳市宝安区西乡水库路113号,广东省深圳市宝安区西乡水库路113号,www.noposion.com,2008-2-18
广东省,深圳市,宝安区,美盈森,美盈森集团股份有限公司,造纸,200477,29563,14.70%,美盈森(002303),广东省深圳市光明新区光明新陂头村美盈森厂区A栋,广东省深圳市光明新区光明新陂头村美盈森厂区A栋,www.szmys.com,2009-11-3
广东省,深圳市,宝安区,日海通讯,深圳日海通讯技术股份有限公司,通讯设备,180469,4559,2.50%,日海通讯(002313),广东省深圳市南山区大新路198号马家龙创新大厦17层1701,广东省深圳市龙华新区观澜观盛四路日海工业园研发楼,www.sunseagroup.com,2009-12-3
广东省,深圳市,宝安区,格林美,深圳市格林美高新技术股份有限公司,有色金属,726677,51979,7.20%,格林美(002340),广东省深圳市宝安区宝安中心区兴华路南侧荣超滨海大厦A栋20层2008号房,广东省深圳市宝安区宝安中心区兴华路南侧荣超滨海大厦A栋20层2008号房,www.gemchina.com,2010-1-22
广东省,深圳市,宝安区,新纶科技,深圳市新纶科技股份有限公司,特种化工品,144622,11500,8.00%,新纶科技(002341),广东省深圳市南山区南海大道3025号创意大厦13-14楼,广东省深圳市光明新区塘家村塘家北路南侧新纶科技产业园,www.szselen.com,2010-1-22
广东省,深圳市,宝安区,欧菲科技,欧菲科技股份有限公司,电子电气组件与设备,2445708,105250,4.30%,欧菲科技(002456),广东省深圳市光明新区公明街道松白公路华发路段欧菲光科技园,广东省深圳市光明新区公明街道松白公路华发路段欧菲光科技园,www.o-film.com,2010-8-3
广东省,深圳市,宝安区,英飞拓,深圳英飞拓科技股份有限公司,电子设备,189494,-331,-0.20%,英飞拓(002528),广东省深圳市龙华新区观澜高新技术产业园英飞拓厂房,广东省深圳市龙华新区观澜高新技术产业园英飞拓厂房,www.infinova.com.cn,2010-12-24
广东省,深圳市,宝安区,金新农,深圳市金新农科技股份有限公司,农业与渔业,241847,14727,6.10%,金新农(002548),广东省深圳市光明新区光明街道光电北路18号金新农大厦,广东省深圳市光明新区光明街道光电北路18号金新农大厦,www.chengnong.com,2011-2-18
广东省,深圳市,宝安区,奋达科技,深圳市奋达科技股份有限公司,消费电子产品,179424,31939,17.80%,奋达科技(002681),广东省深圳市宝安区石岩洲石路奋达科技园,广东省深圳市宝安区石岩洲石路奋达科技园,www.fenda.com,2012-6-5
广东省,深圳市,宝安区,王子新材,深圳王子新材料股份有限公司,通用化工品,41466,4436,10.70%,王子新材(002735),广东省深圳市龙华区龙华街道奋进路4号王子工业园,广东省深圳市龙华新区龙华街道油松第十工业区王子工业园,www.szwzxc.com,2014-12-3
广东省,深圳市,宝安区,可立克,深圳可立克科技股份有限公司,电子电气组件与设备,65158,4483,6.90%,可立克(002782),广东省深圳市宝安区福永街道桥头社区正中工业厂区7栋1、2、4层,广东省深圳市宝安区福永街道桥头社区正中工业厂区7栋1-5层厂房、8栋2层,www.clickele.com,2015-12-22
广东省,深圳市,宝安区,银宝山新,深圳市银宝山新科技股份有限公司,工业机械,208316,3759,1.80%,银宝山新(002786),广东省深圳市宝安区石岩街道罗租社区建兴路5号,广东省深圳市宝安区石岩街道罗租社区建兴路5号,www.basismold.com,2015-12-23
广东省,深圳市,宝安区,崇达技术,深圳市崇达电路技术股份有限公司,电子电气组件与设备,229507,38543,16.80%,崇达技术(002815),广东省深圳市光明新区光明街道观光路3009号招商局光明科技园A3栋C单元207,广东省深圳市宝安区沙井街道新玉路横岗下工业大街16号,www.suntakpcb.com,2016-10-12
广东省,深圳市,宝安区,和科达,深圳市和科达精密清洗设备股份有限公司,工业机械,25228,1092,4.30%,和科达(002816),广东省深圳市龙华新区大浪街道华旺路和科达工业园3号厂房三楼,广东省深圳市龙华新区大浪街道华旺路和科达工业园3号厂房三楼,www.hkdholding.com,2016-10-25
广东省,深圳市,宝安区,凯中精密,深圳市凯中精密技术股份有限公司,工业机械,101318,13176,13.00%,凯中精密(002823),广东省深圳市宝安区沙井街道新桥芙蓉工业区2#、4#、7#、9#栋、厂房3栋,广东省深圳市宝安区沙井街道新桥芙蓉工业区2#、4#、7#、9#栋、厂房3栋,www.kaizhong.com,2016-11-24
广东省,深圳市,宝安区,名雕股份,深圳市名雕装饰股份有限公司,建筑施工,48470,2679,5.50%,名雕股份(002830),广东省深圳市罗湖区笋岗街道梨园路8号HALO广场（笋岗3号仓库整栋）3层15-16室,广东省深圳市宝安区兴华路南侧龙光世纪大厦1栋2―36、37、38、39、40,www.mingdiao.com.cn,2016-12-13
