省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,深圳市,盐田区,万科A,万科企业股份有限公司,不动产投资开发,11710050,2068768,17.70%,万科A(000002),广东省深圳市盐田区大梅沙环梅路33号万科中心,广东省深圳市盐田区大梅沙环梅路33号万科中心,www.vanke.com,1991/1/29
广东省,深圳市,盐田区,盐田港,深圳市盐田港股份有限公司,运输服务,25070,33417,133.30%,盐田港(000088),广东省深圳市盐田区盐田港海港大厦17-20层,广东省深圳市盐田区盐田港海港大厦17-20层,www.yantian-port.com,1997/7/28
广东省,深圳市,盐田区,华大基因,深圳华大基因股份有限公司,医药与生物科技,144669,40782,28.20%,华大基因(300676),广东省深圳市盐田区洪安三街21号华大综合园7栋7层-14层,广东省深圳市盐田区洪安三街21号华大综合园7栋7层-14层,www.bgi.com,2017/7/14
广东省,深圳市,南山区,海联讯,深圳海联讯科技股份有限公司,计算机服务,11750,-1104,-9.40%,海联讯(300277),广东省深圳市南山区深南大道市高新技术园R2厂房B区3a层,广东省深圳市南山区深南大道市高新技术园R2厂房B区3a层,www.hirisun.com,2011/11/23
广东省,深圳市,南山区,国农科技,深圳中国农大科技股份有限公司,制药,7100,-845,-11.90%,国农科技(000004),广东省深圳市南山区中心路（深圳湾段）3333号中铁南方总部大厦503室,广东省深圳市南山区中心路（深圳湾段）3333号中铁南方总部大厦503室,www.sz000004.cn,1991/1/14
广东省,深圳市,南山区,南玻A,中国南玻集团股份有限公司,建材与构件,779091,79955,10.30%,南玻A(000012),广东省深圳市蛇口工业六路一号南玻大厦,广东省深圳市蛇口工业六路一号南玻大厦,www.csgholding.com,1992/2/28
广东省,深圳市,南山区,沙河股份,沙河实业股份有限公司,不动产投资开发,42841,-526,-1.20%,沙河股份(000014),广东省深圳市南山区白石路2222号沙河世纪楼,广东省深圳市南山区白石路2222号沙河世纪楼,www.shahe.cn,1992/6/2
广东省,深圳市,南山区,深康佳A,康佳集团股份有限公司,电子电气组件与设备,2016362,45,0.00%,深康佳A(000016),广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,广东省深圳市南山区科技南十二路28号康佳研发大厦23-24层,www.konka.com,1992/3/27
广东省,深圳市,南山区,深深宝A,深圳市深宝实业股份有限公司,软饮料,23075,-3077,-13.30%,深深宝A(000019),广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层,广东省深圳市南山区学府路科技园南区软件产业基地4栋B座8层,www.sbsy.com.cn,1992/10/12
广东省,深圳市,南山区,深华发A,深圳中恒华发股份有限公司,电子电气组件与设备,67236,-151,-0.20%,深华发A(000020),广东省深圳市福田区华发北路411幢,广东省深圳市南山区大冲商务中心2号楼33层,www.hwafa.com.cn,1992/4/28
广东省,深圳市,南山区,深赤湾A,深圳赤湾港航股份有限公司,运输服务,186291,72556,38.90%,深赤湾A(000022),广东省深圳市赤湾,广东省深圳市赤湾石油大厦8楼,www.szcwh.com,1993/5/5
广东省,深圳市,南山区,深天地A,深圳市天地(集团)股份有限公司,建材与构件,86244,2494,2.90%,深天地A(000023),广东省深圳市高新技术产业园北区朗山路东物商业大楼10楼,广东省深圳市高新技术产业园北区朗山路东物商业大楼10楼,www.000023.cn,1993/4/29
广东省,深圳市,南山区,飞亚达A,飞亚达(集团)股份有限公司,服装与服饰,247565,17581,7.10%,飞亚达A(000026),广东省深圳市南山区高新南一道飞亚达科技大厦,广东省深圳市南山区高新南一道飞亚达科技大厦20楼,www.fiytagroup.com,1993/6/3
广东省,深圳市,南山区,深桑达A,深圳市桑达实业股份有限公司,商业辅助服务,113390,5637,5.00%,深桑达A(000032),广东省深圳市南山区科技园科技路1号桑达科技大厦15-17楼,广东省深圳市南山区科技园科技路1号桑达科技大厦15-17层,www.sedind.com,1993/10/28
