省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,深圳市,福田区,三元达,福建三元达通讯股份有限公司,通讯设备,9963,-4676,-46.90%,三元达(002417),江苏省南通市港闸区江海佳苑19幢18层,广东省深圳市福田区益田路1006号益田创新科技园19栋7楼、江苏省南通市港闸区江海大道817号江海财富大厦A1801,www.sunnada.com,2010/6/1
广东省,深圳市,福田区,全新好,深圳市全新好股份有限公司,不动产投资开发,3406,-542,-15.90%,全新好(000007),广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,--,1992/4/13
广东省,深圳市,福田区,美丽生态,深圳美丽生态股份有限公司,建筑施工,64000,2877,4.50%,美丽生态(000010),广东省深圳市宝安区西乡街道宝安桃花源科技创新园主园A栋孵化大楼321-322室,广东省深圳市福田区中心四路1-1号嘉里建设广场第三座3201室,--,1995/10/27
广东省,深圳市,福田区,深科技,深圳长城开发科技股份有限公司,计算机硬件,1072555,59058,5.50%,深科技(000021),广东省深圳市福田区彩田路7006号,广东省深圳市福田区彩田路7006号,www.kaifa.com.cn,1994/2/2
广东省,深圳市,福田区,深圳能源,深圳能源集团股份有限公司,电力（IV）,1044575,115163,11.00%,深圳能源(000027),广东省深圳市福田区深南中路2068号华能大厦5，33，35-36，38-41层,广东省深圳市福田区深南中路2068号华能大厦5，33，35-36，38-41层,www.sec.com.cn,1993/9/3
广东省,深圳市,福田区,国药一致,国药集团一致药业股份有限公司,药品零售,3127872,109402,3.50%,国药一致(000028),广东省深圳市福田区八卦四路15号一致药业大楼,广东省深圳市福田区八卦四路15号一致药业大楼,www.szaccord.com.cn,1993/8/9
广东省,深圳市,福田区,中粮地产,中粮地产（集团）股份有限公司,不动产投资开发,849918,160560,18.90%,中粮地产(000031),广东省深圳市宝安区新安街道3区龙井二路3号中粮地产集团中心第1层101室,广东省深圳市福田区福华一路1号大中华国际交易广场35层,www.cofco-property.cn,1993/10/8
广东省,深圳市,福田区,中航地产,中航地产股份有限公司,不动产投资开发,374427,3647,1.00%,中航地产(000043),广东省深圳市福田区振华路163号飞亚达大厦六楼,广东省深圳市福田区振华路163号飞亚达大厦六楼,www.carec.com.cn,1994/9/28
广东省,深圳市,福田区,深纺织A,深圳市纺织(集团)股份有限公司,服装与服饰,107034,5113,4.80%,深纺织A(000045),广东省深圳市福田区华强北路3号深纺大厦6楼,广东省深圳市福田区华强北路3号深纺大厦6楼,www.chinasthc.com,1994/8/15
广东省,深圳市,福田区,康达尔,深圳市康达尔(集团)股份有限公司,农业与渔业,112876,-4862,-4.30%,康达尔(000048),广东省深圳市罗湖区深南东路1086号集浩大厦二、三楼,广东省深圳市福田区深南大道和泰然大道交汇处绿景纪元大厦24楼,www.kondarl.com,1994/11/1
广东省,深圳市,福田区,皇庭国际,深圳市皇庭国际企业股份有限公司,不动产投资开发,56010,18198,32.50%,皇庭国际(000056),广东省深圳市福田区金田路2028号皇岗商务中心58楼03单元,广东省深圳市福田区金田路2028号皇岗商务中心58楼,www.china-ia.com,1996/7/8
广东省,深圳市,福田区,深赛格,深圳赛格股份有限公司,电子电气组件与设备,85712,13050,15.20%,深赛格(000058),广东省深圳市福田区华强北路群星广场A座三十一楼,广东省深圳市福田区华强北路群星广场A座三十一楼,www.segcl.com.cn,1996/12/26
广东省,深圳市,福田区,中金岭南,深圳市中金岭南有色金属股份有限公司,有色金属,1479158,112867,7.60%,中金岭南(000060),广东省深圳市福田区车公庙深南大道6013号中国有色大厦24-26楼,广东省深圳市福田区车公庙深南大道6013号中国有色大厦24楼,www.nonfemet.com,1997/1/23
广东省,深圳市,福田区,农产品,深圳市农产品股份有限公司,食品零售与批发,170286,9335,5.50%,农产品(000061),广东省深圳市罗湖区布吉路1019号农产品批发市场第一层,广东省深圳市福田区深南大道7028号时代科技大厦13楼,www.szap.com,1997/1/10
广东省,深圳市,福田区,深圳华强,深圳华强实业股份有限公司,消费电子产品,549438,47588,8.70%,深圳华强(000062),广东省深圳市福田区华强北路华强广场A座5楼,广东省深圳市福田区华强北路华强广场A座5楼,www.szhq000062.com,1997/1/30
广东省,深圳市,福田区,天健集团,深圳市天健(集团)股份有限公司,建筑施工,454475,72965,16.10%,天健集团(000090),广东省深圳市福田区滨河大道5020号证券大厦21楼,广东省深圳市福田区滨河大道5020号证券大厦21楼,www.tagen.cn,1999/7/21
广东省,深圳市,福田区,麦达数字,深圳市麦达数字股份有限公司,互联网,62670,8166,13.00%,麦达数字(002137),广东省深圳市龙岗区宝龙工业城宝龙六路实益达科技园,广东省深圳市福田区彩田路新浩e都A座2801,www.sz-seastar.com,2007/6/13
广东省,深圳市,福田区,贤丰控股,贤丰控股股份有限公司,电子电气组件与设备,84169,140,0.20%,贤丰控股(002141),广东省珠海市金湾区三灶镇三灶科技工业园,广东省深圳市福田区益田路6001号太平金融大厦32楼,www.ronsen.com.cn,2007/7/20
广东省,深圳市,福田区,飞马国际,深圳市飞马国际供应链股份有限公司,运输服务,4965321,22643,0.50%,飞马国际(002210),广东省深圳市福田区深南大道7008号阳光高尔夫大厦26楼2601室,广东省深圳市福田区深南大道7008号阳光高尔夫大厦2601室,www.fmscm.com,2008/1/30
广东省,深圳市,福田区,天威视讯,深圳市天威视讯股份有限公司,广播与娱乐,116690,18447,15.80%,天威视讯(002238),广东省深圳市福田区彩田路6001号,广东省深圳市福田区彩田路6001号,www.topway.com.cn,2008/5/26
广东省,深圳市,福田区,威华股份,广东威华股份有限公司,建材与构件,147495,1652,1.10%,威华股份(002240),广东省深圳市福田区华富街道华富路1018号中航中心31楼3101-3102,广东省深圳市福田区华富街道华富路1018号中航中心31楼3101-3102,www.weihuaonline.com,2008/5/23
广东省,深圳市,福田区,信立泰,深圳信立泰药业股份有限公司,制药,310207,127419,41.10%,信立泰(002294),广东省深圳市福田区深南大道6009号车公庙绿景广场主楼37层,广东省深圳市福田区深南大道6009号车公庙绿景广场主楼37层,www.salubris.cn,2009/9/10
广东省,深圳市,福田区,赫美集团,深圳赫美集团股份有限公司,服装服饰零售,188804,19342,10.20%,赫美集团(002356),广东省深圳市坪山新区金牛西路16号华瀚科技工业2号厂房218A,广东省深圳市福田区深南大道6011号NEO大厦A栋34楼,www.hemei.cn,2010/2/9
广东省,深圳市,福田区,新亚制程,深圳市新亚电子制程股份有限公司,电子设备,61533,3660,5.90%,新亚制程(002388),广东省深圳市福田区中康路卓越梅林中心广场（北区）1栋306A,广东省深圳市福田区中康路卓越梅林中心广场（北区）1栋306A,www.sunyes.cn,2010/4/13
广东省,深圳市,福田区,捷顺科技,深圳市捷顺科技实业股份有限公司,计算机服务,52678,14148,26.90%,捷顺科技(002609),深圳市福田区梅林街道龙尾路10号捷顺科技,深圳市福田区龙尾路10号捷顺科技,www.jieshun.cn,2011/8/15
广东省,深圳市,福田区,万润科技,深圳万润科技股份有限公司,电子电气组件与设备,206187,14859,7.20%,万润科技(002654),广东省深圳市光明新区观光路3009号招商局光明科技园A3栋05B3室,广东省深圳市福田区福华路北深圳国际交易广场1812-1816号,www.mason-led.com,2012/2/17
广东省,深圳市,福田区,国盛金控,国盛金融控股集团股份有限公司,投资服务,63503,47801,75.30%,国盛金控(002670),广东省佛山市顺德区容桂华口昌宝东路13号,广东省深圳市福田区益田路5033号平安金融中心101层,www.wasung.com,2012/4/16
广东省,深圳市,福田区,易尚展示,深圳市易尚展示股份有限公司,家具,48278,2036,4.20%,易尚展示(002751),广东省深圳市福田区福强路4001号（深圳文化创意园）AB座三层B301,广东省深圳市福田区福强路4001号深圳文化创意园AB座三层B301,www.es-display.com,2015/4/24
广东省,深圳市,福田区,汇洁股份,深圳汇洁集团股份有限公司,服装与服饰,153871,31898,20.70%,汇洁股份(002763),广东省深圳市福田区深南大道1006号深圳国际创新中心A栋31-33层,广东省深圳市福田区深南大道1006号深圳国际创新中心A栋31-33层,www.huijiegroup.com,2015/6/10
广东省,深圳市,福田区,普路通,深圳市普路通供应链管理股份有限公司,综合供应商,399401,17418,4.40%,普路通(002769),广东省深圳市福田区深南大道1006号深圳国际创新中心A栋21楼,广东省深圳市福田区深南大道1006号深圳国际创新中心A栋21楼,www.prolto.com,2015/6/29
广东省,深圳市,福田区,文科园林,深圳文科园林股份有限公司,林业,193040,20635,10.70%,文科园林(002775),广东省深圳市福田区深南大道1006号深圳国际创新中心（福田科技广场）A栋35、36层,广东省深圳市福田区滨河路以南沙嘴路以东中央西谷大厦21层,www.wkyy.com,2015/6/29
广东省,深圳市,福田区,奇信股份,深圳市奇信建设集团股份有限公司,建筑施工,264488,15692,5.90%,奇信股份(002781),广东省深圳市福田区江南名苑一、二层,广东省深圳市福田区江南名苑一、二层,www.qxzs.com,2015/12/22
广东省,深圳市,福田区,建艺集团,深圳市建艺装饰集团股份有限公司,建筑施工,196289,8533,4.30%,建艺集团(002789),广东省深圳市福田区振兴路建艺大厦19层东,广东省深圳市福田区振兴路建艺大厦19层东,www.jyzs.com.cn,2016/3/11
广东省,深圳市,福田区,第一创业,第一创业证券股份有限公司,投资服务,136580,37802,27.70%,第一创业(002797),广东省深圳市福田区福华一路115号投行大厦20楼,广东省深圳市福田区福华一路115号投行大厦20楼,www.firstcapital.com.cn,2016/5/11
广东省,深圳市,福田区,亚泰国际,深圳市亚泰国际建设股份有限公司,建筑施工,132571,7875,5.90%,亚泰国际(002811),广东省深圳市福田区中心区益田路与福华路交汇处卓越时代广场4B01、4B02,广东省深圳市福田区中心区益田路与福华路交汇处卓越时代广场4B01、4B02,www.atgcn.com,2016/9/8
广东省,深圳市,福田区,美芝股份,深圳市美芝装饰设计工程股份有限公司,建筑施工,61771,4541,7.40%,美芝股份(002856),广东省深圳市福田区八卦四路科研楼7栋1-6层,广东省深圳市福田区八卦四路科研楼7栋1-6层,www.szmeizhi.com,2017/3/20
广东省,深圳市,福田区,东方嘉盛,深圳市东方嘉盛供应链股份有限公司,百货零售,633360,11312,1.80%,东方嘉盛(002889),广东省深圳市前海深港合作区前湾一路1号A栋201室,广东省深圳市福田保税区市花路10号东方嘉盛大厦6楼,www.easttop.com.cn,2017/7/31
广东省,深圳市,福田区,国药一致,国药集团一致药业股份有限公司,药品零售,3127872,109402,3.50%,一致B(200028),广东省深圳市福田区八卦四路15号一致药业大楼,广东省深圳市福田区八卦四路15号一致药业大楼,www.szaccord.com.cn,1993/8/9
广东省,深圳市,福田区,深纺织A,深圳市纺织(集团)股份有限公司,服装与服饰,107034,5113,4.80%,深纺织B(200045),广东省深圳市福田区华强北路3号深纺大厦6楼,广东省深圳市福田区华强北路3号深纺大厦6楼,www.chinasthc.com,1994/8/15
广东省,深圳市,福田区,皇庭国际,深圳市皇庭国际企业股份有限公司,不动产投资开发,56010,18198,32.50%,皇庭B(200056),广东省深圳市福田区金田路2028号皇岗商务中心58楼03单元,广东省深圳市福田区金田路2028号皇岗商务中心58楼,www.china-ia.com,1996/7/8
广东省,深圳市,福田区,深赛格,深圳赛格股份有限公司,电子电气组件与设备,85712,13050,15.20%,深赛格B(200058),广东省深圳市福田区华强北路群星广场A座三十一楼,广东省深圳市福田区华强北路群星广场A座三十一楼,www.segcl.com.cn,1996/12/26
广东省,深圳市,福田区,银之杰,深圳市银之杰科技股份有限公司,软件,79340,4672,5.90%,银之杰(300085),广东省深圳市福田区车公庙天安数码城天祥大厦AB座5B2,广东省深圳市福田区天安数码城天祥大厦AB座10A、5B2,www.yinzhijie.com,2010/5/26
广东省,深圳市,福田区,新国都,深圳市新国都技术股份有限公司,工业机械,74903,4733,6.30%,新国都(300130),广东省深圳市福田区深南路车公庙工业区泰然劲松大厦17A,广东省深圳市福田区深南路车公庙工业区泰然劲松大厦17A,www.nexgo.com.cn,2010/10/19
广东省,深圳市,福田区,腾邦国际,深圳市腾邦国际商业服务股份有限公司,旅游业,279421,30154,10.80%,腾邦国际(300178),广东省深圳市福田保税区桃花路腾邦物流大厦5楼,广东省深圳市福田保税区桃花路腾邦物流大厦5楼,www.tempus.cn,2011/2/15
