省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,深圳市,罗湖区,平安银行,平安银行股份有限公司,银行业（IV）,7983300,2500000,31.30%,平安银行(000001),广东省深圳市罗湖区深南东路5047号,广东省深圳市罗湖区深南东路5047号,www.bank.pingan.com,1991-4-3
广东省,深圳市,罗湖区,世纪星源,深圳世纪星源股份有限公司,综合公共事业,31423,-965,-3.10%,世纪星源(000005),广东省深圳市人民南路发展中心大厦13层,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,www.fountain.com.cn,1990-12-10
广东省,深圳市,罗湖区,深振业A,深圳市振业(集团)股份有限公司,不动产投资开发,231926,47011,20.30%,深振业A(000006),广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,www.zhenye.com,1992-4-27
广东省,深圳市,罗湖区,中国宝安,中国宝安集团股份有限公司,不动产投资开发,487312,41915,8.60%,中国宝安(000009),广东省深圳市笋岗东路1002号宝安广场A座28-29层,广东省深圳市笋岗东路1002号宝安广场A座28-29层,www.chinabaoan.com,1991-6-25
广东省,深圳市,罗湖区,深物业A,深圳市物业发展(集团)股份有限公司,不动产投资开发,265273,75235,28.40%,深物业A(000011),广东省深圳市人民南路国贸大厦39、42层,广东省深圳市人民南路国贸大厦39、42层,www.szwuye.com.cn,1992-3-30
广东省,深圳市,罗湖区,特力A,深圳市特力机电股份有限公司,专业零售,23837,3981,16.70%,特力A(000025),广东省深圳市深南中路中核大厦,广东省深圳市深南中路中核大厦十五楼,www.tellus.cn,1993-6-21
广东省,深圳市,罗湖区,深深房A,深圳经济特区房地产(集团)股份有限公司,不动产投资开发,96459,20511,21.30%,深深房A(000029),广东省深圳市人民南路3005号深房广场47楼,广东省深圳市人民南路深房广场46-47楼,www.sfjt.com.cn,1993-9-15
广东省,深圳市,罗湖区,华联控股,华联控股股份有限公司,不动产投资开发,303060,125053,41.30%,华联控股(000036),广东省深圳市深南中路2008号华联大厦11层(1103-1109室),广东省深圳市深南中路2008号华联大厦11层,www.udcgroup.com,1994-6-17
广东省,深圳市,罗湖区,东旭蓝天,东旭蓝天新能源股份有限公司,建筑施工,517972,36404,7.00%,东旭蓝天(000040),广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼,广东省深圳市罗湖区东门中路1011号鸿基大厦25-27楼,www.bahjdc.com,1994-8-8
广东省,深圳市,罗湖区,世联行,深圳世联行地产顾问股份有限公司,不动产投资开发,519483,79832,15.40%,世联行(002285),广东省深圳市罗湖区深南东路2028号罗湖商务中心12楼,广东省深圳市罗湖区深南东路2028号罗湖商务中心12楼,www.worldunion.com.cn,2009-8-28
广东省,深圳市,罗湖区,洪涛股份,深圳市洪涛装饰股份有限公司,建筑施工,254371,16171,6.40%,洪涛股份(002325),广东省深圳市罗湖区泥岗西洪涛路17号,广东省深圳市罗湖区泥岗西洪涛路17号,www.szhongtao.cn,2009-12-22
广东省,深圳市,罗湖区,广田集团,深圳广田集团股份有限公司,建筑施工,867421,45677,5.30%,广田集团(002482),广东省深圳市罗湖区深南东路2098号,广东省深圳市罗湖区深南东路2098号广田集团大厦,www.szgt.com,2010-9-29
广东省,深圳市,罗湖区,瑞和股份,深圳瑞和建筑装饰股份有限公司,建筑施工,209474,12451,5.90%,瑞和股份(002620),广东省深圳市罗湖区深南东路3027号瑞和大厦,广东省深圳市罗湖区深南东路3027号瑞和研发中心,www.sz-ruihe.com,2011-9-29
广东省,深圳市,罗湖区,国信证券,国信证券股份有限公司,投资服务,874552,453368,51.80%,国信证券(002736),广东省深圳市罗湖区红岭中路1012号国信证券大厦十六层至二十六层,广东省深圳市罗湖区红岭中路1012号国信证券大厦十六层至二十六层,www.guosen.com.cn,2014-12-29
广东省,深圳市,罗湖区,爱迪尔,深圳市爱迪尔珠宝股份有限公司,服装与服饰,149587,6531,4.40%,爱迪尔(002740),广东省深圳市罗湖区东晓路1005号北楼二、三楼,广东省深圳市罗湖区东晓路1005号北楼二、三楼,www.idr.com.cn,2015-1-22
