省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,深圳市,龙岗区,兆驰股份,深圳市兆驰股份有限公司,消费电子产品,664813,55897,8.40%,兆驰股份(002429),广东省深圳市龙岗区南湾街道下李朗社区李朗路一号兆驰创新产业园,广东省深圳市深圳市龙岗区南湾街道下李朗社区李朗路一号兆驰创新产业园,www.szmtc.com.cn,2010-6-10
广东省,深圳市,龙岗区,华控赛格,深圳华控赛格股份有限公司,电子电气组件与设备,16600,-415,-2.50%,华控赛格(000068),广东省深圳市大工业区兰竹大道以北CH3主厂房,广东省深圳市大工业区兰竹东路23号,www.ssg.com.cn,1997-6-11
广东省,深圳市,龙岗区,沃尔核材,深圳市沃尔核材股份有限公司,电子设备,175795,11805,6.70%,沃尔核材(002130),广东省深圳市坪山新区兰景北路沃尔工业园,广东省深圳市坪山新区兰景北路沃尔工业园,www.woer.com,2007-4-20
广东省,深圳市,龙岗区,深圳惠程,深圳市惠程电气股份有限公司,电子电气组件与设备,23146,-10969,-47.40%,深圳惠程(002168),广东省深圳市坪山新区大工业区兰景路以东、锦绣路以南惠程科技工业厂区,广东省深圳市龙岗区大工业区兰景路以东、锦绣路以南惠程科技工业厂区,www.hifuture.com,2007-9-19
广东省,深圳市,龙岗区,怡亚通,深圳市怡亚通供应链股份有限公司,综合供应商,4721149,57141,1.20%,怡亚通(002183),广东省深圳市宝安区新安街道兴华路南侧荣超滨海大厦A座1713,广东省深圳市龙岗区南湾街道李朗路3号怡亚通供应链整合物流中心1号楼,www.eascs.com,2007-11-13
广东省,深圳市,龙岗区,通产丽星,深圳市通产丽星股份有限公司,通用化工品,91263,5139,5.60%,通产丽星(002243),广东省深圳市龙岗区龙岗大道(坪地段)1001号,广东省深圳市龙岗区龙岗大道(坪地段)1001号,www.beautystar.cn,2008-5-28
广东省,深圳市,龙岗区,齐心集团,深圳市齐心文具股份有限公司,耐用消费品,220375,10461,4.70%,齐心集团(002301),广东省深圳市福田区福虹路世贸广场A幢17楼05-06号,深圳市坪山新区锦绣中路18号齐心科技园行政大楼,www.comix.com.cn;www.qx.com,2009-10-21
广东省,深圳市,龙岗区,尚荣医疗,深圳市尚荣医疗股份有限公司,医疗设备,151353,19303,12.80%,尚荣医疗(002551),广东省深圳市龙岗区宝龙工业城宝龙5路2号尚荣科技工业园,广东省深圳市龙岗区宝龙工业城宝龙5路2号尚荣科技工业园,www.glory-medical.com.cn,2011-2-25
广东省,深圳市,龙岗区,雷柏科技,深圳雷柏科技股份有限公司,硬件与设备,37441,774,2.10%,雷柏科技(002577),广东省深圳市坪山新区坑梓街道大工业区锦绣东路22号,广东省深圳市坪山新区坑梓街道大工业区锦绣东路22号,www.rapoo.com,2011-4-28
广东省,深圳市,龙岗区,比亚迪,比亚迪股份有限公司,电子电气组件与设备,7393290,410507,5.60%,比亚迪(002594),广东省深圳市大鹏新区葵涌街道延安路一号,广东省深圳市坪山新区比亚迪路3009号,www.byd.com.cn,2011-6-30
