省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广东省,珠海市,香洲区,珠海港,珠海港股份有限公司,运输服务,129558,15492,12.00%,珠海港(000507),广东省珠海市高栏港经济区榕树湾8号2001-2号办公,广东省珠海市情侣南路278号,www.0507.com.cn,1993/3/26
广东省,珠海市,香洲区,华金资本,珠海华金资本股份有限公司,综合工业,27592,3519,12.80%,华金资本(000532),广东省珠海市高新区前湾二路2号总部基地一期B楼第五层,广东省珠海市香洲区国家高新区前湾二路2号总部基地一期B栋5楼,www.huajinct.com,1994/1/3
广东省,珠海市,香洲区,格力电器,珠海格力电器股份有限公司,耐用消费品,11087468,1779439,16.00%,格力电器(000651),广东省珠海市前山金鸡西路,广东省珠海市前山金鸡西路,www.gree.com.cn,1996/11/18
广东省,珠海市,香洲区,德豪润达,广东德豪润达电气股份有限公司,耐用消费品,318708,-22977,-7.20%,德豪润达(002005),广东省珠海市香洲区唐家湾镇金凤路1号,广东省珠海市香洲区唐家湾镇金凤路1号,www.electech.com.cn,2004/6/25
广东省,珠海市,香洲区,远光软件,远光软件股份有限公司,软件,80813,10171,12.60%,远光软件(002063),广东省珠海市港湾大道科技一路3号,广东省珠海市港湾大道科技一路3号,www.ygsoft.com,2006/8/23
广东省,珠海市,香洲区,纳思达,纳思达股份有限公司,电子电气组件与设备,1625292,-233019,-14.30%,纳思达(002180),广东省珠海市香洲区珠海大道3883号01栋2楼、7楼B区，02栋，03栋，04栋1楼、2楼、3楼、4楼、5楼，05栋,广东省珠海市香洲区前山明珠北路63号04栋6楼A区,www.apexmic.cn,2007/11/13
广东省,珠海市,香洲区,乐通股份,珠海市乐通化工股份有限公司,通用化工品,40692,800,2.00%,乐通股份(002319),广东省珠海市金鼎官塘乐通工业园,广东省珠海市金鼎官塘乐通工业园,www.letongink.com,2009/12/11
广东省,珠海市,香洲区,赛隆药业,珠海赛隆药业股份有限公司,制药,24947,5142,20.60%,赛隆药业(002898),广东省珠海市吉大海滨南路47号光大国际贸易中心二层西侧,广东省珠海市吉大海滨南路47号光大国际贸易中心二层西侧,www.sailong.cn,2017/9/12
广东省,珠海市,香洲区,世纪鼎利,珠海世纪鼎利通信科技股份有限公司,移动通信服务,52184,8700,16.70%,世纪鼎利(300050),广东省珠海市港湾大道科技五路8号一层,广东省珠海市港湾大道科技五路8号一层,www.dingli.com,2010/1/20
广东省,珠海市,香洲区,欧比特,珠海欧比特宇航科技股份有限公司,电子电气组件与设备,47957,9925,20.70%,欧比特(300053),广东省珠海市唐家东岸白沙路1号欧比特科技园,广东省珠海市唐家东岸白沙路1号欧比特科技园,www.myorbita.net,2010/2/11
广东省,珠海市,香洲区,和佳股份,珠海和佳医疗设备股份有限公司,医疗设备,69371,5059,7.30%,和佳股份(300273),广东省珠海市香洲区宝盛路5号,广东省珠海市香洲区宝盛路5号,www.hokai.com,2011/10/26
广东省,珠海市,香洲区,溢多利,广东溢多利生物科技股份有限公司,食品生产（IV）,97380,6323,6.50%,溢多利(300381),广东省珠海市南屏高科技工业区屏北一路8号,广东省珠海市南屏高科技工业区屏北一路8号,www.yiduoli.com,2014/1/28
广东省,珠海市,香洲区,汇金科技,珠海汇金科技股份有限公司,软件,13524,4735,35.00%,汇金科技(300561),广东省珠海市软件园路1号会展中心3#第三层,广东省珠海市软件园路1号会展中心3#第三层,www.sgsg.cc,2016/11/17
广东省,珠海市,香洲区,光库科技,珠海光库科技股份有限公司,电子电气组件与设备,16315,4246,26.00%,光库科技(300620),广东省珠海市软件园路1号生产加工中心5#楼二层1-6单元、8单元,广东省珠海市软件园路1号生产加工中心5#楼二层1-6单元、8单元,www.afrlaser.com,2017/3/10
广东省,珠海市,香洲区,格力地产,格力地产股份有限公司,不动产投资开发,219695,54984,25.00%,格力地产(600185),广东省珠海市宝华路6号105室-23182,广东省珠海市石花西路213号,www.greedc.com,1999/6/11
广东省,珠海市,香洲区,华发股份,珠海华发实业股份有限公司,不动产投资开发,1274062,148755,11.70%,华发股份(600325),广东省珠海市横琴红旗村宝中路3号4楼4001,广东省珠海市昌盛路155号,www.cnhuafas.com,2004/2/25
