省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
广西壮族自治区,南宁市,青秀区,柳工,广西柳工机械股份有限公司,商用运载工具与车辆,811767,36645,4.50%,柳工(000528),,广西壮族自治区柳州市柳太路1号,广西壮族自治区柳州市柳太路1号,www.liugong.com,1993-11-18
广西壮族自治区,南宁市,青秀区,北部湾港,北部湾港股份有限公司,运输服务,227566,54109,23.80%,北部湾港(000582),,广西壮族自治区北海市海角路145号,广西壮族自治区南宁市青秀区金浦路33号港务大厦9层,www.bbwport.cn,1995-11-2
广西壮族自治区,南宁市,青秀区,黑芝麻,南方黑芝麻集团股份有限公司,食品生产（IV）,149559,8469,5.70%,黑芝麻(000716),,广西壮族自治区容县城南工业集中区黑五类产业园,广西壮族自治区南宁市双拥路36号,www.nanfangfood.com,1997-4-18
广西壮族自治区,南宁市,青秀区,国海证券,国海证券股份有限公司,投资服务,221821,75387,34.00%,国海证券(000750),,广西壮族自治区桂林市辅星路13号,广西壮族自治区南宁市滨湖路46号国海大厦,www.ghzq.com.cn,1997-7-9
广西壮族自治区,南宁市,青秀区,银河生物,北海银河生物产业投资股份有限公司,电子电气组件与设备,80919,-196,-0.20%,银河生物(000806),,广西壮族自治区北海市西藏路银河软件科技园专家创业区1号,广西壮族自治区北海市银河软件科技园综合办公楼,www.g-biomed.com,1998-4-16
广西壮族自治区,南宁市,青秀区,贵糖股份,广西贵糖(集团)股份有限公司,造纸,142870,7001,4.90%,贵糖股份(000833),,广西壮族自治区贵港市幸福路100号,广西壮族自治区贵港市贵糖(集团)股份有限公司办公大楼,www.Guitang.com,1998-11-11
广西壮族自治区,南宁市,青秀区,南宁糖业,南宁糖业股份有限公司,食品生产（IV）,168662,-16924,-10.00%,南宁糖业(000911),,广西壮族自治区南宁市青秀区古城路10号,广西壮族自治区南宁市青秀区古城路10号,www.nnsugar.com,1999-5-27
广西壮族自治区,南宁市,青秀区,*ST河化,广西河池化工股份有限公司,特种化工品,20785,-6628,-31.90%,*ST河化(000953),,广西壮族自治区河池市六甲镇,广西壮族自治区河池市六甲镇,www.hechihuagong.com.cn,1999-12-2
广西壮族自治区,南宁市,青秀区,东方网络,东方时代网络传媒股份有限公司,互联网,46857,4810,10.30%,东方网络(002175),,广西壮族自治区桂林国家高新区五号区,广西壮族自治区桂林国家高新区5号区,www.guanglu.com.cn,2007-10-12
广西壮族自治区,南宁市,青秀区,桂林三金,桂林三金药业股份有限公司,制药,107946,40153,37.20%,桂林三金(002275),,广西壮族自治区桂林市金星路1号,广西壮族自治区桂林市金星路1号,www.sanjin.com.cn,2009-7-10
广西壮族自治区,南宁市,青秀区,皇氏集团,皇氏集团股份有限公司,食品生产（IV）,151666,12475,8.20%,皇氏集团(002329),,广西壮族自治区南宁市科园大道66号,广西壮族自治区南宁市科园大道66号,www.gxhsry.com,2010-1-6
广西壮族自治区,南宁市,青秀区,百洋股份,百洋产业投资集团股份有限公司,农业与渔业,158586,4678,2.90%,百洋股份(002696),,广西壮族自治区南宁高新技术开发区高新四路9号,广西壮族自治区南宁高新技术开发区创新西路16号,www.baiyang.com,2012-9-5
广西壮族自治区,南宁市,青秀区,桂冠电力,广西桂冠电力股份有限公司,电力（IV）,650774,258334,39.70%,桂冠电力(600236),,广西壮族自治区南宁市青秀区民族大道126号,广西壮族自治区南宁市青秀区民族大道126号,www.ggep.com.cn,2000-3-23
广西壮族自治区,南宁市,青秀区,两面针,柳州两面针股份有限公司,通用化工品,107748,-6739,-6.30%,两面针(600249),,广西壮族自治区柳州市东环路282号,广西壮族自治区柳州市东环路282号,www.lmz.com.cn,2004-1-30
广西壮族自治区,南宁市,青秀区,中恒集团,广西梧州中恒集团股份有限公司,制药,159643,64382,40.30%,中恒集团(600252),,广西壮族自治区梧州市工业园区工业大道1号第1幢,广西壮族自治区梧州市工业园区工业大道1号,www.wz-zhongheng.com,2000-11-30
广西壮族自治区,南宁市,青秀区,桂东电力,广西桂东电力股份有限公司,电力（IV）,716233,7175,1.00%,桂东电力(600310),,广西壮族自治区贺州市平安西路12号,广西壮族自治区贺州市平安西路12号,www.gdep.com.cn,2001-2-28
广西壮族自治区,南宁市,青秀区,五洲交通,广西五洲交通股份有限公司,运输服务,118398,35960,30.40%,五洲交通(600368),,广西壮族自治区南宁市民族大道115-1号,广西壮族自治区南宁市民族大道115-1号现代国际大厦27层,--,2000-12-21
广西壮族自治区,南宁市,青秀区,*ST柳化,柳州化工股份有限公司,特种化工品,130205,-35821,-27.50%,*ST柳化(600423),,广西壮族自治区柳州市北鹊路67号,广西壮族自治区柳州市北雀路67号,www.lzhg.cn,2003-7-17
广西壮族自治区,南宁市,青秀区,国发股份,北海国发海洋生物产业股份有限公司,特种化工品,30651,-1643,-5.40%,国发股份(600538),,广西壮族自治区北海市北部湾中路8号,广西壮族自治区北海市北部湾中路3号,www.gofar.com.cn,2003-1-14
广西壮族自治区,南宁市,青秀区,ST慧球,广西慧金科技股份有限公司,计算机服务,3560,-695,-19.50%,ST慧球(600556),,广西壮族自治区北海市北海大道168号,广西壮族自治区北海市北海大道西16号海富大厦17层D座,www.bsyy.com.cn,2001-8-7
广西壮族自治区,南宁市,青秀区,南宁百货,南宁百货大楼股份有限公司,百货零售,152962,-1953,-1.30%,南宁百货(600712),,广西壮族自治区南宁市朝阳路39、41、45号,广西壮族自治区南宁市朝阳路39号,www.nnbh.com.cn,1996-6-26
广西壮族自治区,南宁市,青秀区,广西广电,广西广播电视信息网络股份有限公司,广播与娱乐,161926,14016,8.70%,广西广电(600936),,广西壮族自治区南宁市云景路景晖巷8号广西广电网络综合大楼,广西壮族自治区南宁市云景路景晖巷8号广西广电网络综合大楼,www.96335.com,2016-8-15
广西壮族自治区,南宁市,青秀区,柳钢股份,柳州钢铁股份有限公司,钢铁,2991905,140845,4.70%,柳钢股份(601003),,广西壮族自治区柳州市北雀路117号,广西壮族自治区柳州市北雀路117号,www.liusteel.com,2007-2-27
广西壮族自治区,南宁市,青秀区,丰林集团,广西丰林木业集团股份有限公司,建材与构件,96120,12121,12.60%,丰林集团(601996),,广西壮族自治区南宁市银海大道1233号,广西壮族自治区南宁市银海大道1233号,www.fenglingroup.com,2011-9-29
广西壮族自治区,南宁市,青秀区,福达股份,桂林福达股份有限公司,汽车零配件（IV）,96941,10157,10.50%,福达股份(603166),,广西壮族自治区桂林市西城经济开发区秧塘工业园秧十八路东侧,广西壮族自治区桂林市西城经济开发区秧塘工业园秧十八路东侧,www.glfoto.com.cn,2014-11-27
广西壮族自治区,南宁市,青秀区,柳州医药,广西柳州医药股份有限公司,药品零售,702438,36748,5.20%,柳州医药(603368),,广西壮族自治区柳州市官塘大道68号,广西壮族自治区柳州市官塘大道68号,www.lzyy.cn,2014-12-4
广西壮族自治区,南宁市,青秀区,北部湾旅,北部湾旅游股份有限公司,旅游业,163474,26018,15.90%,北部湾旅(603869),,广西壮族自治区北海市四川南路铁路桥以南新奥大厦,广西壮族自治区北海市四川南路铁路桥以南新奥大厦,www.beibuwantourism.com,2015-3-26
广西壮族自治区,桂林市,七星区,桂林旅游,桂林旅游股份有限公司,旅游业,41855,6885,16.50%,桂林旅游(000978),,广西壮族自治区桂林市翠竹路27-2号,广西壮族自治区桂林市七星区自由路5号（七星景区花桥大门旁）,www.guilintravel.com,2000-5-18
广西壮族自治区,桂林市,临桂区,莱茵生物,桂林莱茵生物科技股份有限公司,生物科技,54482,10572,19.40%,莱茵生物(002166),,广西壮族自治区桂林市临桂区人民南路19号,广西壮族自治区桂林市临桂区人民南路19号,www.layn.com.cn,2007-9-13
