省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
新疆维吾尔族自治区,伊犁哈萨克自治州,新源县,伊力特,新疆伊力特实业股份有限公司,蒸馏酒与葡萄酒,128597,34001,26.40%,伊力特(600197),,新疆维吾尔族自治区新源县肖尔布拉克,新疆维吾尔族自治区新源县肖尔布拉克,www.xjyilite.com,1999-9-16
新疆维吾尔族自治区,乌鲁木齐市,新市区,新研股份,新疆机械研究院股份有限公司,航空航天,105149,29020,27.60%,新研股份(300159),,新疆维吾尔族自治区乌鲁木齐经济技术开发区融合南路661号,新疆维吾尔族自治区乌鲁木齐市新市区北京北路239号,www.xjjxy.com.cn,2011-1-7
新疆维吾尔族自治区,乌鲁木齐市,新市区,美克家居,美克国际家居用品股份有限公司,家具,293458,32466,11.10%,美克家居(600337),,新疆维吾尔族自治区乌鲁木齐经济技术开发区西流湖南路181号,新疆乌鲁木齐市北京南路506号,www.markorfurniture.com,2000-11-27
新疆维吾尔族自治区,乌鲁木齐市,新市区,西部黄金,西部黄金股份有限公司,采矿业,89225,-7091,-7.90%,西部黄金(601069),,新疆维吾尔族自治区乌鲁木齐市经济技术开发区融合南路501号,乌鲁木齐经济技术开发区融合南路501号,www.w-r-g.cn,2015-1-22
新疆维吾尔族自治区,乌鲁木齐市,天山区,雪峰科技,新疆雪峰科技(集团)股份有限公司,化工品（III）,84281,8723,10.30%,雪峰科技(603227),,新疆维吾尔族自治区乌鲁木齐市乌鲁木齐县板房沟乡,新疆维吾尔族自治区乌鲁木齐市天山区翠泉路东一巷246号,www.xjxfkj.com,2015-5-15
新疆维吾尔族自治区,乌鲁木齐市,天山区,*ST新亿,新疆亿路万源实业投资控股股份有限公司,建材与构件,34154,382,1.10%,*ST新亿(600145),,新疆维吾尔族自治区塔城地区塔城市巴克图路六和广场辽塔赣商大厦,新疆维吾尔族自治区塔城地区塔城市巴克图路六和广场辽塔赣商大厦A座5至7层,www.swell.com.cn,1999-9-23
新疆维吾尔族自治区,乌鲁木齐市,天山区,天富能源,新疆天富能源股份有限公司,电力（IV）,287496,32240,11.20%,天富能源(600509),,新疆维吾尔族自治区石河子市北一东路2号,新疆维吾尔族自治区石河子市北一路东-2号,www.tfrd.com.cn,2002-2-28
新疆维吾尔族自治区,乌鲁木齐市,天山区,新疆浩源,新疆浩源天然气股份有限公司,燃气供应,23689,6163,26.00%,新疆浩源(002700),,新疆维吾尔族自治区阿克苏市英阿瓦提路2号,新疆维吾尔族自治区阿克苏市英阿瓦提路2号,www.hytrq.com,2012-9-21
新疆维吾尔族自治区,乌鲁木齐市,天山区,ST青松,新疆青松建材化工(集团)股份有限公司,建材与构件,157090,-12052,-7.70%,*ST青松(600425),,新疆维吾尔族自治区阿克苏市林园,新疆维吾尔族自治区阿克苏市林园,www.xjqscc.com,2003-7-24
新疆维吾尔族自治区,乌鲁木齐市,天山区,光正集团,光正集团股份有限公司,燃气供应,33460,-4646,-13.90%,光正集团(002524),,新疆维吾尔族自治区乌鲁木齐经济技术开发区融合北路266号,新疆维吾尔族自治区乌鲁木齐经济技术开发区融合北路266号,www.gzss.cc,2010-12-17
新疆维吾尔族自治区,乌鲁木齐市,天山区,渤海金控,渤海金控投资股份有限公司,辅助服务,2815396,286387,10.20%,渤海金控(000415),,新疆维吾尔族自治区乌鲁木齐市沙依巴克区黄河路93号,新疆维吾尔族自治区乌鲁木齐市新华北路165号广汇中天广场41楼,www.bohaileasing.com,1996-7-16
新疆维吾尔族自治区,乌鲁木齐市,天山区,天山股份,新疆天山水泥股份有限公司,建材与构件,503312,39571,7.90%,天山股份(000877),,新疆维吾尔族自治区乌鲁木齐市达坂城区白杨沟村,新疆维吾尔族自治区乌鲁木齐市河北东路1256号天合大厦,www.sinoma-tianshan.cn,1999-1-7
新疆维吾尔族自治区,乌鲁木齐市,天山区,*ST中基,中基健康产业股份有限公司,食品生产（IV）,36758,-6480,-17.60%,*ST中基(000972),,新疆维吾尔族自治区乌鲁木齐市青年路17号,新疆维吾尔族自治区乌鲁木齐市青年路北一巷8号,www.chalkistomato.com,2000-9-26
新疆维吾尔族自治区,乌鲁木齐市,天山区,中泰化学,新疆中泰化学(集团)股份有限公司,通用化工品,2688863,250430,9.30%,中泰化学(002092),,新疆维吾尔族自治区乌鲁木齐市经济技术开发区阳澄湖路39号,新疆维吾尔族自治区乌鲁木齐市经济技术开发区阳澄湖路39号,www.zthx.com,2006-12-8
新疆维吾尔族自治区,乌鲁木齐市,天山区,金风科技,新疆金风科技股份有限公司,工业机械,1700675,266700,15.70%,金风科技(002202),,新疆维吾尔族自治区乌鲁木齐市经济技术开发区上海路107号,新疆维吾尔族自治区乌鲁木齐市经济技术开发区上海路107号,www.goldwind.cn,2007-12-26
新疆维吾尔族自治区,乌鲁木齐市,天山区,国统股份,新疆国统管道股份有限公司,建材与构件,42868,342,0.80%,国统股份(002205),,新疆维吾尔族自治区乌鲁木齐市林泉西路765号,新疆维吾尔族自治区乌鲁木齐市林泉西路765号,www.xjgt.com,2008-1-23
新疆维吾尔族自治区,乌鲁木齐市,天山区,*ST准油,新疆准东石油技术股份有限公司,石油勘探与开采,13293,4522,34.00%,*ST准油(002207),,新疆维吾尔族自治区克拉玛依市友谊路251号,新疆维吾尔族自治区阜康准东石油基地,www.zygf.com.cn,2008-1-28
新疆维吾尔族自治区,乌鲁木齐市,天山区,天顺股份,新疆天顺供应链股份有限公司,运输服务,93017,4376,4.70%,天顺股份(002800),,新疆维吾尔族自治区乌鲁木齐经济技术开发区赛里木湖路133号,新疆维吾尔族自治区乌鲁木齐经济技术开发区赛里木湖路133号,www.xjtsscm.com,2016-5-30
新疆维吾尔族自治区,乌鲁木齐市,天山区,贝肯能源,新疆贝肯能源工程股份有限公司,采油设备与服务,39233,5629,14.30%,贝肯能源(002828),,新疆维吾尔族自治区克拉玛依市白碱滩区门户路91号,新疆维吾尔族自治区克拉玛依市白碱滩区门户路91号,www.beiken.com,2016-12-8
新疆维吾尔族自治区,乌鲁木齐市,天山区,天山生物,新疆天山畜牧生物工程股份有限公司,农业与渔业,13915,592,4.30%,天山生物(300313),,新疆维吾尔族自治区昌吉市高新区光明南路1号,新疆维吾尔族自治区昌吉市长宁南路121号佳弘大厦13楼,www.xjtssw.com,2012-4-25
新疆维吾尔族自治区,乌鲁木齐市,天山区,立昂技术,立昂技术股份有限公司,移动通信服务,68304,6307,9.20%,立昂技术(300603),,新疆维吾尔族自治区乌鲁木齐经济技术开发区喀什西路545号美丽家园3层办公楼30号,新疆维吾尔族自治区乌鲁木齐北京南路416号盈科国际中心21楼,www.leoncom.cn,2017-1-26
新疆维吾尔族自治区,乌鲁木齐市,天山区,新疆天业,新疆天业股份有限公司,通用化工品,347719,60103,17.30%,新疆天业(600075),,新疆石河子市经济技术开发区北三东路36号,新疆维吾尔族自治区石河子市经济技术开发区北三东路36号,www.xj-tianye.com,1997-6-17
新疆维吾尔族自治区,乌鲁木齐市,天山区,中葡股份,中信国安葡萄酒业股份有限公司,酿酒业,29658,-7276,-24.50%,中葡股份(600084),,新疆维吾尔族自治区乌鲁木齐市红山路39号,新疆维吾尔族自治区乌鲁木齐市红山路39号,www.guoanwine.com,1997-7-11
新疆维吾尔族自治区,乌鲁木齐市,天山区,特变电工,特变电工股份有限公司,电子电气组件与设备,2812613,266387,9.50%,特变电工(600089),,新疆维吾尔族自治区昌吉市北京南路189号,新疆维吾尔族自治区昌吉市北京南路189号,www.tbea.com,1997-6-18
新疆维吾尔族自治区,乌鲁木齐市,天山区,啤酒花,新疆同济堂健康产业股份有限公司,药品零售,694417,61993,8.90%,同济堂(600090),,新疆维吾尔族自治区乌鲁木齐市经济技术开发区上海路130号,新疆维吾尔族自治区乌鲁木齐市经济技术开发区上海路130号,www.cnready.com,1997-6-16
新疆维吾尔族自治区,乌鲁木齐市,天山区,冠农股份,新疆冠农果茸集团股份有限公司,农业与渔业,106600,8672,8.10%,冠农股份(600251),,新疆维吾尔族自治区库尔勒团结南路冠农天府库尔勒工业园,新疆维吾尔族自治区库尔勒市团结南路48号小区,www.gngf.cn,2003-6-9
