省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,南京市,雨花台区,润和软件,江苏润和软件股份有限公司,软件,108096,12876,11.90%,润和软件(300339),江苏省南京市雨花台区铁心桥工业园,江苏省南京市雨花台区铁心桥工业园,www.hoperun.com,2012/7/18
江苏省,南京市,雨花台区,诚迈科技,诚迈科技(南京)股份有限公司,软件,36518,2731,7.50%,诚迈科技(300598),江苏省南京市雨花台区软件大道180号南海生物科技园A2幢,江苏省南京市雨花台区软件大道106号2幢1102室,www.archermind.com,2017/1/20
江苏省,南京市,雨花台区,宏图高科,江苏宏图高科技股份有限公司,计算机硬件,1409252,52625,3.70%,宏图高科(600122),江苏省南京市浦口区高新开发区新科四路11号,江苏省南京市雨花台区软件大道68号,www.hiteker.com.cn,1998/4/20
江苏省,南京市,雨花台区,江苏舜天,江苏舜天股份有限公司,服装与服饰,391626,8998,2.30%,江苏舜天(600287),江苏省南京市雨花台区软件大道21号B座,江苏省南京市雨花台区宁南大道21号B座,www.saintycorp.com,2000/9/1
江苏省,南京市,雨花台区,南京医药,南京医药股份有限公司,药品零售,2045270,29801,1.50%,南京医药(600713),江苏省南京市雨花台区小行尤家凹1号（南京国际健康产业园）8号楼,江苏省南京市雨花台区小行尤家凹1号(南京国际健康产业园)8号楼,www.njyy.com,1996/7/1
江苏省,南京市,雨花台区,莱绅通灵,莱绅通灵珠宝股份有限公司,专业零售,145463,32283,22.20%,莱绅通灵(603900),江苏省南京市雨花台区花神大道19号,江苏省南京市雨花台区花神大道19号,www.tesiro.com,2016/11/23
江苏省,南京市,玄武区,苏宁云商,苏宁云商集团股份有限公司,专业零售,13188226,61523,0.50%,苏宁云商(002024),江苏省南京市山西路8号金山大厦1-5层,江苏省南京市玄武区苏宁大道1号,www.suning.cn,2004/7/21
江苏省,南京市,玄武区,江苏国信,江苏国信股份有限公司,电力（IV）,1384053,232003,16.80%,江苏国信(002608),江苏省南京市玄武区长江路88号,江苏省南京市玄武区长江路88号16层,www.saintymarine.com.cn,2011/8/10
江苏省,南京市,玄武区,幸福蓝海,幸福蓝海影视文化集团股份有限公司,广播与娱乐,108734,7166,6.60%,幸福蓝海(300528),江苏省南京市中山路348号中信大厦17楼,江苏省南京市中山路348号中信大厦17楼,www.omnijoi.com,2016/8/8
江苏省,南京市,玄武区,栖霞建设,南京栖霞建设股份有限公司,不动产投资开发,140092,8353,6.00%,栖霞建设(600533),江苏省南京市栖霞区和燕路251号,江苏省南京市玄武区龙蟠路9号,www.chixia.com,2002/3/28
江苏省,南京市,玄武区,ST常林,苏美达股份有限公司,综合供应商,5166812,98522,1.90%,ST常林(600710),江苏省常州市新北区华山中路36号,江苏省南京市长江路198号苏美达大厦,www.sumec.com,1996/7/1
江苏省,南京市,秦淮区,弘业股份,江苏弘业股份有限公司,服装与服饰,285680,1417,0.50%,弘业股份(600128),江苏省南京市中华路50号弘业大厦,江苏省南京市中华路50号弘业大厦,www.artall.com.cn,1997/9/1
江苏省,南京市,秦淮区,南京新百,南京新街口百货商店股份有限公司,百货零售,1240084,68409,5.50%,南京新百(600682),江苏省南京市白下区中山南路1号,江苏省南京市中山南路1号,www.njxb.com,1993/10/18
江苏省,南京市,秦淮区,江苏银行,江苏银行股份有限公司,金融服务业,2557820,1060761,41.50%,江苏银行(600919),江苏省南京市中华路26号,江苏省南京市中华路26号,www.jsbchina.cn,2016/8/2
江苏省,南京市,秦淮区,汇鸿集团,江苏汇鸿国际集团股份有限公司,服装服饰零售,2274588,51863,2.30%,汇鸿集团(600981),江苏省南京市白下路91号,江苏省南京市户部街15号兴业大厦,www.jstex.com,2004/6/30
江苏省,南京市,秦淮区,维格娜丝,维格娜丝时装股份有限公司,服装与服饰,154513,9325,6.00%,维格娜丝(603518),江苏省南京市秦淮区中山南路1号60层,江苏省南京市秦淮区中山南路1号60层,www.v-grass.com,2014/12/3
江苏省,南京市,栖霞区,华东科技,南京华东电子信息科技股份有限公司,电子电气组件与设备,441660,-41318,-9.40%,华东科技(000727),江苏省南京市栖霞区天佑路7号,江苏省南京市栖霞区天佑路7号,www.huadongtech.com,1997/5/20
江苏省,南京市,栖霞区,海辰药业,南京海辰药业股份有限公司,制药,30176,5313,17.60%,海辰药业(300584),江苏省南京市经济技术开发区恒发路1号,江苏省南京市经济技术开发区恒发路1号,www.hicin.cn,2017/1/12
江苏省,南京市,栖霞区,南京高科,南京高科股份有限公司,不动产投资开发,189214,64010,33.80%,南京高科(600064),江苏省南京市南京经济技术开发区恒通大道2号,江苏省南京市栖霞区学津路8号高科中心A座,www.600064.com,1997/5/6
江苏省,南京市,栖霞区,宁沪高速,江苏宁沪高速公路股份有限公司,运输服务,699032,386648,55.30%,宁沪高速(600377),江苏省南京市仙林大道6号,江苏省南京市仙林大道6号,www.jsexpressway.com,2001/1/16
江苏省,南京市,栖霞区,南京熊猫,南京熊猫电子股份有限公司,通讯设备,286312,9522,3.30%,南京熊猫(600775),江苏省南京市高新技术产业开发区05幢北侧1-2层,江苏省南京市经天路7号,www.panda.cn,1996/11/18
江苏省,南京市,栖霞区,凤凰传媒,江苏凤凰出版传媒股份有限公司,出版业,736493,82823,11.20%,凤凰传媒(601928),江苏省南京市仙新路98号,江苏省南京市仙新路98号,www.phoenixmedia.cn,2011/11/30
江苏省,南京市,栖霞区,美思德,江苏美思德化学股份有限公司,化工品（II）,23715,4814,20.30%,美思德(603041),江苏省南京经济技术开发区兴建路18号,江苏省南京经济技术开发区兴建路18号,www.maysta.com,2017/3/30
江苏省,南京市,栖霞区,康尼机电,南京康尼机电股份有限公司,电子设备,159541,19995,12.50%,康尼机电(603111),江苏省南京市经济技术开发区恒达路19号,江苏省南京市经济技术开发区恒达路19号,www.kn-nanjing.com,2014/8/1
