省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,南京市,江宁区,红太阳,南京红太阳股份有限公司,特种化工品,366209,60039,16.40%,红太阳(000525),江苏省南京市高淳县桠溪镇东风路8号,江苏省南京市江宁区竹山南路589号,--,1993-10-28
江苏省,南京市,江宁区,金智科技,江苏金智科技股份有限公司,电子电气组件与设备,170101,12591,7.40%,金智科技(002090),江苏省南京市江宁开发区将军大道100号,江苏省南京市江宁开发区将军大道100号,www.wiscom.com.cn,2006-12-8
江苏省,南京市,江宁区,科远股份,南京科远自动化集团股份有限公司,电子电气组件与设备,38226,8052,21.10%,科远股份(002380),江苏省南京市江宁区秣陵街道清水亭东路1266号,江苏省南京市江宁区秣陵街道清水亭东路1266号,www.sciyon.com,2010-3-31
江苏省,南京市,江宁区,新联电子,南京新联电子股份有限公司,电子电气组件与设备,38200,8421,22.00%,新联电子(002546),江苏省南京市江宁经济技术开发区利源北路66号,江苏省南京市江宁开发区秣周路以南、苏源大道以西,www.xldz.com,2011-2-11
江苏省,南京市,江宁区,埃斯顿,南京埃斯顿自动化股份有限公司,工业机械,66473,4789,7.20%,埃斯顿(002747),江苏省南京江宁经济技术开发区将军南路155号,江苏省南京江宁经济技术开发区将军南路155号,www.estun.com,2015-3-20
江苏省,南京市,江宁区,中电环保,中电环保股份有限公司,水务,47147,7714,16.40%,中电环保(300172),江苏省南京市江宁开发区诚信大道1800号,江苏省南京市江宁开发区诚信大道1800号,www.njcec.com,2011-2-1
江苏省,南京市,江宁区,光一科技,光一科技股份有限公司,电子电气组件与设备,29901,-1888,-6.30%,光一科技(300356),江苏省南京市江宁经济技术开发区胜太路88号,江苏省南京市江宁区润麒路86号,www.elefirst.com,2012-10-9
江苏省,南京市,江宁区,宝色股份,南京宝色股份公司,工业机械,27251,-4298,-15.80%,宝色股份(300402),江苏省南京市江宁滨江经济开发区景明大街15号,江苏省南京市江宁滨江经济开发区景明大街15号,www.baose.com,2014-10-10
江苏省,南京市,江宁区,三超新材,南京三超新材料股份有限公司,工业机械,16372,4818,29.40%,三超新材(300554),江苏省南京市江宁区淳化街道泽诚路77号,江苏省南京市江宁区淳化街道泽诚路77号,www.diasc.com.cn,2017-4-21
江苏省,南京市,江宁区,奥联电子,南京奥联汽车电子电器股份有限公司,汽车零配件（IV）,29549,4982,16.90%,奥联电子(300585),江苏省南京市江宁区谷里街道东善桥工业集中区,江苏省南京市江宁区谷里街道东善桥工业集中区,www.njaolian.com,2016-12-29
江苏省,南京市,江宁区,寒锐钴业,南京寒锐钴业股份有限公司,有色金属,95313,40001,42.00%,寒锐钴业(300618),江苏省南京市江宁经济技术开发区静淮街115号,江苏省南京市江宁经济技术开发区静淮街115号,www.hrcobalt.com,2017-3-6
江苏省,南京市,江宁区,大烨智能,江苏大烨智能电气股份有限公司,电子电气组件与设备,21100,3881,18.40%,大烨智能(300670),江苏省南京市江宁区将军大道223号,江苏省南京市江宁区将军大道223号,www.daybright.cn,2017-7-3
江苏省,南京市,江宁区,国旅联合,国旅联合股份有限公司,互联网,16569,5357,32.30%,国旅联合(600358),江苏省南京市江宁区汤山街道温泉路8号4幢,江苏省南京市江宁区汤山街道温泉路8号4幢,www.cutc.com.cn,2000-9-22
江苏省,南京市,江宁区,国电南瑞,国电南瑞科技股份有限公司,电子电气组件与设备,716199,93537,13.10%,国电南瑞(600406),江苏省南京市江宁经济技术开发区诚信大道19号2幢,江苏省南京市江宁区诚信大道19号,www.naritech.cn,2003-10-16
江苏省,南京市,江宁区,航天晨光,南京航天晨光股份有限公司,商用运载工具与车辆,172553,1342,0.80%,航天晨光(600501),江苏省南京市江宁经济技术开发区天元中路188号,江苏省南京市江宁经济技术开发区天元中路188号,www.aerosun.cn,2001-6-15
江苏省,南京市,江宁区,国睿科技,国睿科技股份有限公司,计算机服务,71356,14872,20.80%,国睿科技(600562),江苏省南京市高淳经济开发区荆山路8号1幢,江苏省南京市江宁经济开发区将军大道39号,www.gctc.cn,2003-1-28
江苏省,南京市,江宁区,华脉科技,南京华脉科技股份有限公司,通信（I）,80770,6629,8.20%,华脉科技(603042),江苏省南京市江宁区东山街道工业集中区润发路11号,江苏省南京市江宁区东山街道工业集中区润发路11号,www.huamai.cn,2017-6-2
江苏省,南京市,江宁区,音飞储存,南京音飞储存设备(集团)股份有限公司,综合工业,41534,7341,17.70%,音飞储存(603066),江苏省南京市江宁经济技术开发区殷华街470号,江苏省南京市江宁经济技术开发区殷华街470号,www.informrack.com,2015-6-11
江苏省,南京市,江宁区,我乐家居,南京我乐家居股份有限公司,家具,59169,5381,9.10%,我乐家居(603326),江苏省南京市江宁经济技术开发区清水亭西路218号,江苏省南京市江宁经济技术开发区清水亭西路218号,www.olokitchen.com,2017-6-16
江苏省,南京市,江宁区,多伦科技,多伦科技股份有限公司,软件与计算机服务,38611,9915,25.70%,多伦科技(603528),江苏省南京市江宁区天印大道1555号,江苏省南京市江宁区天印大道1555号,www.doron.com.cn,2016-5-3
江苏省,南京市,江宁区,佳力图,南京佳力图机房环境技术股份有限公司,电子与电气设备,31418,5794,18.40%,佳力图(603912),江苏省南京市江宁经济技术开发区苏源大道88号,江苏省南京市江宁经济技术开发区苏源大道88号,www.canatal.com.cn,2017-11-1
