省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,南通市,通州区,中南建设,江苏中南建设集团股份有限公司,建筑施工,1902017,83317,4.40%,中南建设(000961),,江苏省海门市常乐镇,江苏省海门市上海路899号中南大厦,www.zhongnanconstruction.cn,2000-3-1
江苏省,南通市,通州区,国轩高科,国轩高科股份有限公司,电子电气组件与设备,375475,65908,17.60%,国轩高科(002074),,江苏省南通市通州区十总镇东源大道1号,江苏省南通市通州区十总镇东源大道1号,www.hfgxgk.com,2006-10-18
江苏省,南通市,通州区,罗莱生活,罗莱生活科技股份有限公司,服装与服饰,318267,41030,12.90%,罗莱生活(002293),,江苏省南通市经济技术开发区星湖大道1699号,江苏省南通市经济技术开发区源兴路555号,www.luolai.com.cn,2009-9-10
江苏省,南通市,通州区,润邦股份,江苏润邦重工股份有限公司,工业机械,154407,10640,6.90%,润邦股份(002483),,江苏省南通经济技术开发区振兴西路9号,江苏省南通经济技术开发区振兴西路9号,www.jiangsurhi.com,2010-9-29
江苏省,南通市,通州区,江海股份,南通江海电容器股份有限公司,电子设备,115295,16982,14.70%,江海股份(002484),,江苏省南通市通州区平潮通扬南路79号,江苏省南通市通州区平潮通扬南路79号,www.jianghai.com,2010-9-29
江苏省,南通市,通州区,通达动力,江苏通达动力科技股份有限公司,工业机械,80103,-1266,-1.60%,通达动力(002576),,江苏省南通市通州区四安镇庵东村,江苏省南通市通州区四安镇兴石路58号,www.tdchina.com,2011-4-28
江苏省,南通市,通州区,金轮股份,金轮蓝海股份有限公司,钢铁,151593,13039,8.60%,金轮股份(002722),,江苏省海门经济技术开发区广州路999号,江苏省南通经济技术开发区滨水路6号,www.geron-china.com,2014-1-28
江苏省,南通市,通州区,江山股份,南通江山农药化工股份有限公司,特种化工品,239965,12356,5.10%,江山股份(600389),,江苏省南通市经济技术开发区江山路998号,江苏省南通市经济技术开发区江山路998号,www.jsac.com.cn,2001-1-10
江苏省,南通市,通州区,中天科技,江苏中天科技股份有限公司,通讯设备,1936533,160581,8.30%,中天科技(600522),,江苏省如东县河口镇中天村,江苏省南通市经济技术开发区中天科技证券部,www.chinaztt.com,2002-10-24
江苏省,南通市,通州区,综艺股份,江苏综艺股份有限公司,综合工业,55807,20684,37.10%,综艺股份(600770),,江苏省南通市通州区兴东镇黄金村,江苏省南通市通州区兴东镇综艺数码城,www.600770.com,1996-11-20
江苏省,南通市,通州区,四方冷链,南通四方冷链装备股份有限公司,商用运载工具与车辆,69264,13050,18.80%,四方冷链(603339),,江苏省南通市通州区兴仁镇金通公路3888号,江苏省南通市通州区兴仁镇金通公路3888号,www.ntsquare.com,2016-5-19
江苏省,南通市,通州区,醋化股份,南通醋酸化工股份有限公司,特种化工品,115801,11052,9.50%,醋化股份(603968),,江苏省南通经济技术开发区江山路968号,江苏省南通经济技术开发区江山路968号,www.ntacf.com,2015-5-18
江苏省,南通市,如皋市,九鼎新材,江苏九鼎新材料股份有限公司,建材与构件,69248,180,0.30%,九鼎新材(002201),,江苏省如皋市中山东路1号,江苏省如皋市中山东路1号,www.cjdg.com,2007-12-26
江苏省,南通市,如皋市,南通锻压,南通锻压设备股份有限公司,工业机械,24750,444,1.80%,南通锻压(300280),,江苏省南通市如皋经济开发区锻压产业园区内,江苏省南通市如皋经济开发区锻压产业园区内,www.ntdy.com.cn,2011-12-29
江苏省,南通市,如皋市,力星股份,江苏力星通用钢球股份有限公司,工业机械,47267,6023,12.70%,力星股份(300421),,江苏省如皋市如城镇兴源大道68号,江苏省如皋市如城镇兴源大道68号,www.jgbr.com.cn,2015-2-17
江苏省,南通市,如皋市,梦百合,梦百合家居科技股份有限公司,家具,165902,17357,10.50%,梦百合(603313),,江苏省如皋市丁堰镇皋南路999号,江苏省如皋市丁堰镇皋南路999号,www.hkfoam.com,2016-10-13
江苏省,南通市,如东县,如通股份,江苏如通石油机械股份有限公司,采油设备、服务和输送,14846,2561,17.30%,如通股份(603036),,江苏省南通市如东经济开发区新区淮河路33号,江苏省南通市如东经济开发区新区淮河路33号,www.rutong.com,2016-12-9
江苏省,南通市,如东县,亚振家居,亚振家居股份有限公司,家具,37580,4389,11.70%,亚振家居(603389),,江苏省如东县曹埠镇亚振桥,江苏省如东县曹埠镇亚振桥,www.az.com.cn,2016-12-15
江苏省,南通市,启东市,奥特佳,奥特佳新能源科技股份有限公司,汽车零配件（IV）,380265,28762,7.60%,奥特佳(002239),,江苏省南通高新技术产业开发区文昌路666号,江苏省南通高新技术产业开发区文昌路666号,www.kfield.com.cn,2008-5-22
江苏省,南通市,启东市,江苏神通,江苏神通阀门股份有限公司,工业机械,51949,3670,7.10%,江苏神通(002438),,江苏省启东市南阳镇,江苏省启东市南阳镇协兴北街88号,www.stfm.cn,2010-6-23
江苏省,南通市,启东市,捷捷微电,江苏捷捷微电子股份有限公司,电子电气组件与设备,31624,12913,40.80%,捷捷微电(300623),,江苏省启东市科技创业园兴龙路8号,江苏省启东市科技创业园兴龙路8号,www.jjwdz.com,2017-3-14
江苏省,南通市,启东市,林洋能源,江苏林洋能源股份有限公司,工业机械,252428,59032,23.40%,林洋能源(601222),,江苏省启东经济开发区林洋路666号,江苏省启东经济开发区林洋路666号,www.linyang.com,2011-8-8
江苏省,南通市,海门市,通光线缆,江苏通光电子线缆股份有限公司,电子电气组件与设备,112067,6630,5.90%,通光线缆(300265),,江苏省海门市海门镇渤海路169号,江苏省海门市海门镇渤海路169号,www.tgjt.cn,2011-9-16
江苏省,南通市,海安县,中国天楹,中国天楹股份有限公司,综合公共事业,99343,18503,18.60%,中国天楹(000035),,江苏省海安县城黄海大道（西）268号,江苏省南通市海安县城黄海大道（西）268号,www.chinakejian.net,1994-4-8
江苏省,南通市,海安县,联发股份,江苏联发纺织股份有限公司,服装与服饰,295932,28222,9.50%,联发股份(002394),,江苏省南通市海安县城东镇恒联路88号,江苏省南通市海安县城东镇恒联路88号,www.lianfa.cn,2010-4-23
江苏省,南通市,港闸区,精华制药,精华制药集团股份有限公司,制药,79604,16131,20.30%,精华制药(002349),,江苏省南通市港闸经济开发区兴泰路9号,江苏省南通市港闸经济开发区兴泰路9号,www.ntjhzy.com,2010-2-3
江苏省,南通市,港闸区,中航高科,中航航空高科技股份有限公司,航空航天,232188,31402,13.50%,中航高科(600862),,江苏省南通市港闸区永和路1号,江苏省南通市港闸区永和路1号,www.tonmac.com.cn,1994-5-20
江苏省,南通市,崇川区,通富微电,通富微电子股份有限公司,半导体,485173,12016,2.50%,通富微电(002156),,江苏省南通市崇川开发区崇川路288号,江苏省南通市崇川开发区崇川路288号,www.tfme.com,2007-8-16
江苏省,南通市,崇川区,金通灵,江苏金通灵流体机械科技股份有限公司,工业机械,107594,11115,10.30%,金通灵(300091),,江苏省南通市钟秀中路135号,江苏省南通市钟秀中路百花科技楼三、四楼,www.jtlfans.com,2010-6-25
江苏省,南通市,崇川区,文峰股份,文峰大世界连锁发展股份有限公司,百货零售,493181,30605,6.20%,文峰股份(601010),,江苏省南通市南大街3-21号,江苏省南通市青年中路59号,www.wfdsj.cn,2011-6-3
