省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,南通市,通州区,中南建设,江苏中南建设集团股份有限公司,建筑施工,1902017,83317,4.40%,中南建设(000961),江苏省海门市常乐镇,江苏省海门市上海路899号中南大厦,www.zhongnanconstruction.cn,2000/3/1
江苏省,南通市,通州区,国轩高科,国轩高科股份有限公司,电子电气组件与设备,375475,65908,17.60%,国轩高科(002074),江苏省南通市通州区十总镇东源大道1号,江苏省南通市通州区十总镇东源大道1号,www.hfgxgk.com,2006/10/18
江苏省,南通市,通州区,罗莱生活,罗莱生活科技股份有限公司,服装与服饰,318267,41030,12.90%,罗莱生活(002293),江苏省南通市经济技术开发区星湖大道1699号,江苏省南通市经济技术开发区源兴路555号,www.luolai.com.cn,2009/9/10
江苏省,南通市,通州区,润邦股份,江苏润邦重工股份有限公司,工业机械,154407,10640,6.90%,润邦股份(002483),江苏省南通经济技术开发区振兴西路9号,江苏省南通经济技术开发区振兴西路9号,www.jiangsurhi.com,2010/9/29
江苏省,南通市,通州区,江海股份,南通江海电容器股份有限公司,电子设备,115295,16982,14.70%,江海股份(002484),江苏省南通市通州区平潮通扬南路79号,江苏省南通市通州区平潮通扬南路79号,www.jianghai.com,2010/9/29
江苏省,南通市,通州区,通达动力,江苏通达动力科技股份有限公司,工业机械,80103,-1266,-1.60%,通达动力(002576),江苏省南通市通州区四安镇庵东村,江苏省南通市通州区四安镇兴石路58号,www.tdchina.com,2011/4/28
江苏省,南通市,通州区,金轮股份,金轮蓝海股份有限公司,钢铁,151593,13039,8.60%,金轮股份(002722),江苏省海门经济技术开发区广州路999号,江苏省南通经济技术开发区滨水路6号,www.geron-china.com,2014/1/28
江苏省,南通市,通州区,江山股份,南通江山农药化工股份有限公司,特种化工品,239965,12356,5.10%,江山股份(600389),江苏省南通市经济技术开发区江山路998号,江苏省南通市经济技术开发区江山路998号,www.jsac.com.cn,2001/1/10
江苏省,南通市,通州区,中天科技,江苏中天科技股份有限公司,通讯设备,1936533,160581,8.30%,中天科技(600522),江苏省如东县河口镇中天村,江苏省南通市经济技术开发区中天科技证券部,www.chinaztt.com,2002/10/24
江苏省,南通市,通州区,综艺股份,江苏综艺股份有限公司,综合工业,55807,20684,37.10%,综艺股份(600770),江苏省南通市通州区兴东镇黄金村,江苏省南通市通州区兴东镇综艺数码城,www.600770.com,1996/11/20
江苏省,南通市,通州区,四方冷链,南通四方冷链装备股份有限公司,商用运载工具与车辆,69264,13050,18.80%,四方冷链(603339),江苏省南通市通州区兴仁镇金通公路3888号,江苏省南通市通州区兴仁镇金通公路3888号,www.ntsquare.com,2016/5/19
江苏省,南通市,通州区,醋化股份,南通醋酸化工股份有限公司,特种化工品,115801,11052,9.50%,醋化股份(603968),江苏省南通经济技术开发区江山路968号,江苏省南通经济技术开发区江山路968号,www.ntacf.com,2015/5/18
