省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,常州市,钟楼区,苏常柴A,常柴股份有限公司,工业机械,185952,3205,1.70%,苏常柴A(000570),,江苏省常州市怀德中路123号,江苏省常州市怀德中路123号,www.changchai.com.cn,1994-7-1
江苏省,常州市,钟楼区,苏常柴A,常柴股份有限公司,工业机械,185952,3205,1.70%,苏常柴B(200570),,江苏省常州市怀德中路123号,江苏省常州市怀德中路123号,www.changchai.com.cn,1994-7-1
江苏省,常州市,钟楼区,裕兴股份,江苏裕兴薄膜科技股份有限公司,特种化工品,42584,5835,13.70%,裕兴股份(300305),,江苏省常州市钟楼经济开发区童子河西路8-8号,江苏省常州市钟楼经济开发区童子河西路8-8号,www.czyuxing.com,2012-3-29
江苏省,常州市,钟楼区,精研科技,江苏精研科技股份有限公司,电子电气组件与设备,69029,13929,20.20%,精研科技(300709),,江苏省常州市钟楼经济开发区棕榈路59号,江苏省常州市钟楼经济开发区棕榈路59号,www.jsgian.com,2017-10-19
江苏省,常州市,新北区,东北电气,东北电气发展股份有限公司,电子电气组件与设备,2243,-3759,-167.60%,东北电气(000585),,江苏省常州市新北区太湖东路9号4幢23层,江苏省常州市新北区太湖东路9号4幢23层,www.nee.com.cn;www.nee.hk,1995-12-13
江苏省,常州市,新北区,千红制药,常州千红生化制药股份有限公司,生物科技,75715,20521,27.10%,千红制药(002550),,江苏省常州市新北区云河路518号,江苏省常州市新北区长江中路90号,www.qhsh.com.cn,2011-2-18
江苏省,常州市,新北区,光洋股份,常州光洋轴承股份有限公司,汽车与零配件（II）,103535,2452,2.40%,光洋股份(002708),,江苏省常州市新北区汉江路52号,江苏省常州市新北区汉江路52号,www.nrb.com.cn,2014-1-21
江苏省,常州市,新北区,维尔利,江苏维尔利环保科技股份有限公司,综合公共事业,84388,11767,13.90%,维尔利(300190),,江苏省常州新北区汉江路156号,江苏省常州新北区汉江路156号,www.jswelle.com.cn,2011-3-16
江苏省,常州市,新北区,星宇股份,常州星宇车灯股份有限公司,汽车零配件（IV）,300739,36950,12.30%,星宇股份(601799),,江苏省常州市新北区汉江路398号,江苏省常州市新北区秦岭路182号,www.xyl.cn,2011-2-1
江苏省,常州市,新北区,新泉股份,江苏新泉汽车饰件股份有限公司,汽车零配件（IV）,224411,19916,8.90%,新泉股份(603179),,江苏省丹阳市丹北镇长春村,江苏省常州市漓江路18号,www.xinquan.cn,2017-3-17
江苏省,常州市,新北区,永安行,常州永安公共自行车系统股份有限公司,公路运输,75111,10366,13.80%,永安行(603776),,江苏省常州市新北区汉江路400号,江苏省常州市新北区黄河中路132号4号楼,www.ibike668.com,2017-8-17
江苏省,常州市,武进区,斯太尔,斯太尔动力股份有限公司,汽车零配件（IV）,12209,13477,110.40%,斯太尔(000760),,湖北省公安县斗湖堤镇荆江大道178号,江苏省常州市武进国家高新区武宜南路377号创新产业园2号楼,000760@sterdl.com,1997-6-27
江苏省,常州市,武进区,雷科防务,江苏雷科防务科技股份有限公司,电子设备,45205,8888,19.70%,雷科防务(002413),,江苏省常州市武进区礼嘉镇建东村建华路南,江苏省常州市武进区延政中路5号常发大厦18楼,www.racodf.com,2010-5-28
江苏省,常州市,武进区,旷达科技,旷达科技集团股份有限公司,服装与服饰,172441,35278,20.50%,旷达科技(002516),,江苏省常州市武进区雪堰镇旷达路1号,江苏省常州市武进区湖塘镇人民东路109号,www.kuangdacn.com,2010-12-7
江苏省,常州市,武进区,南方轴承,江苏南方轴承股份有限公司,工业机械,28613,7446,26.00%,南方轴承(002553),,江苏省常州市武进高新技术开发区龙翔路,江苏省常州市武进高新技术开发区龙翔路9号,www.nf-bearings.com,2011-2-25
江苏省,常州市,武进区,天晟新材,常州天晟新材料股份有限公司,通用化工品,57504,862,1.50%,天晟新材(300169),,江苏省常州市龙锦路508号,江苏省常州市龙锦路508号,www.tschina.com,2011-1-25
江苏省,常州市,武进区,长海股份,江苏长海复合材料股份有限公司,特种化工品,150540,19214,12.80%,长海股份(300196),,江苏省常州市武进区遥观镇塘桥村,江苏省常州市武进区遥观镇塘桥村,www.changhaigfrp.com,2011-3-29
江苏省,常州市,武进区,强力新材,常州强力电子新材料股份有限公司,通用化工品,47210,12466,26.40%,强力新材(300429),,江苏省常州市武进区遥观镇钱家工业园,江苏省常州市武进区遥观镇钱家工业园,www.tronly.com,2015-3-24
江苏省,常州市,武进区,江苏雷利,江苏雷利电机股份有限公司,电子与电气设备,153515,21814,14.20%,江苏雷利(300660),,江苏省常州市武进区遥观镇钱家塘路19号,江苏省常州市武进区遥观镇钱家塘路19号,www.czleili.com,2017-6-2
江苏省,常州市,武进区,黑牡丹,黑牡丹(集团)股份有限公司,不动产投资开发,467075,31260,6.70%,黑牡丹(600510),,江苏省常州市青洋北路47号,江苏省常州市青洋北路47号,www.blackpeony.com,2002-6-18
江苏省,常州市,武进区,恒立液压,江苏恒立液压股份有限公司,工业机械,202656,32777,16.20%,恒立液压(601100),,江苏省常州市武进高新技术产业开发区龙潜路99号,江苏省常州市武进高新技术产业开发区龙潜路99号,www.hengli-js.com,2011-10-28
江苏省,常州市,武进区,碳元科技,碳元科技股份有限公司,电子设备,36198,4368,12.10%,碳元科技(603133),,江苏省武进经济开发区兰香路7号,江苏省武进经济开发区兰香路7号,www.tanyuantech.com,2017-3-20
江苏省,常州市,武进区,腾龙股份,常州腾龙汽车零部件股份有限公司,汽车零配件（IV）,63812,12750,20.00%,腾龙股份(603158),,江苏省武进经济开发区延政西路腾龙路1号,江苏省常州市武进经济开发区腾龙路15号,www.cztl.com,2015-3-20
江苏省,常州市,武进区,亚邦股份,江苏亚邦染料股份有限公司,通用化工品,187492,54018,28.80%,亚邦股份(603188),,江苏省常州市武进区牛塘镇人民西路105号,江苏省常州市武进区牛塘镇人民西路105号,www.yabangdyes.com,2014-9-9
江苏省,常州市,武进区,快克股份,常州快克锡焊股份有限公司,电子与电气设备,26753,10914,40.80%,快克股份(603203),,江苏省武进高新技术产业开发区凤翔路11号,江苏省武进高新技术产业开发区凤翔路11号,www.quickchina.con.cn,2016-11-8
江苏省,常州市,武进区,海鸥股份,江苏海鸥冷却塔股份有限公司,电子电气组件与设备,35608,2247,6.30%,海鸥股份(603269),,江苏省常州市武进经济开发区祥云路16号,江苏省常州市武进经济开发区祥云路16号,www.seagull-ct.com,2017-5-17
江苏省,常州市,武进区,日盈电子,江苏日盈电子股份有限公司,汽车与零配件（II）,21386,2010,9.40%,日盈电子(603286),,江苏省常州市武进区横山桥芳茂村,江苏省常州市武进区横山桥芳茂村,www.riyingcorp.com,2017-6-27
江苏省,常州市,武进区,洛凯股份,江苏洛凯机电股份有限公司,电子电气组件与设备,36027,4754,13.20%,洛凯股份(603829),,江苏省常州市武进区洛阳镇永安里路101号,江苏省常州市武进区洛阳镇永安里路101号,www.lk-jd.com,2017-10-17
江苏省,常州市,武进区,南卫股份,江苏南方卫材医药股份有限公司,医疗用品,36043,4524,12.60%,南卫股份(603880),,江苏省常州市武进经济开发区果香路1号,江苏省常州市武进经济开发区果香路1号,www.nfmedical.com.cn,2017-8-7
江苏省,常州市,天宁区,亚玛顿,常州亚玛顿股份有限公司,建材与构件,127200,-578,-0.50%,亚玛顿(002623),,江苏省常州市青龙东路639号,江苏省常州市天宁区青龙东路639号,www.czamd.com,2011-10-13
江苏省,常州市,天宁区,武进不锈,江苏武进不锈股份有限公司,有色金属,102321,10067,9.80%,武进不锈(603878),,江苏省常州市天宁区郑陆镇武澄西路1号,江苏省常州市天宁区郑陆镇武澄西路1号,www.wjss.com.cn,2016-12-19
江苏省,常州市,戚墅堰区,常宝股份,江苏常宝钢管股份有限公司,钢铁,247130,12051,4.90%,常宝股份(002478),,江苏省常州市延陵东路558号,江苏省常州市延陵东路558号,www.cbsteeltube.com,2010-9-21
江苏省,常州市,戚墅堰区,丽岛新材,江苏丽岛新材料股份有限公司,铝业,89278,9086,10.20%,丽岛新材(603937),,江苏省常州市龙城大道1959号,江苏省常州市龙城大道1959号,www.jsldxcl.com,2017-11-2
江苏省,常州市,溧阳市,安靠智电,江苏安靠智能输电工程科技股份有限公司,电子电气组件与设备,19978,5631,28.20%,安靠智电(300617),,江苏省溧阳市经济开发区天目湖工业园,江苏省溧阳市经济开发区天目湖工业园,www.ankura.com.cn,2017-2-28
江苏省,常州市,溧阳市,天目湖,江苏天目湖旅游股份有限公司,旅游业,35095,11751,33.50%,天目湖(603136),,江苏省溧阳市天目湖旅游度假区环湖西路1号,江苏省溧阳市天目湖旅游度假区环湖西路1号,www.tmhtour.com,2017-9-27
江苏省,常州市,经开区,神力股份,常州神力电机股份有限公司,电子电气组件与设备,51672,2756,5.30%,神力股份(603819),,江苏省常州市经开区东城路88号,江苏省常州市经开区东城路88号,www.czshenli.com,2016-11-25
江苏省,常州市,金坛市,天龙光电,江苏华盛天龙光电设备股份有限公司,工业机械,12804,-1735,-13.50%,天龙光电(300029),,江苏省金坛经济开发区华城路318号,江苏省金坛经济开发区华城路318号,www.hstl.cn,2009-12-25
江苏省,常州市,金坛市,亿晶光电,亿晶光电科技股份有限公司,半导体,336551,5355,1.60%,亿晶光电(600537),,浙江省慈溪市海通路528号,江苏省金坛市尧塘镇金武路18号,www.egingpv.com,2003-1-23
