省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,常州市,武进区,斯太尔,斯太尔动力股份有限公司,汽车零配件（IV）,12209,13477,110.40%,斯太尔(000760),湖北省公安县斗湖堤镇荆江大道178号,江苏省常州市武进国家高新区武宜南路377号创新产业园2号楼,000760@sterdl.com,1997-6-27
江苏省,常州市,武进区,雷科防务,江苏雷科防务科技股份有限公司,电子设备,45205,8888,19.70%,雷科防务(002413),江苏省常州市武进区礼嘉镇建东村建华路南,江苏省常州市武进区延政中路5号常发大厦18楼,www.racodf.com,2010-5-28
江苏省,常州市,武进区,旷达科技,旷达科技集团股份有限公司,服装与服饰,172441,35278,20.50%,旷达科技(002516),江苏省常州市武进区雪堰镇旷达路1号,江苏省常州市武进区湖塘镇人民东路109号,www.kuangdacn.com,2010-12-7
江苏省,常州市,武进区,南方轴承,江苏南方轴承股份有限公司,工业机械,28613,7446,26.00%,南方轴承(002553),江苏省常州市武进高新技术开发区龙翔路,江苏省常州市武进高新技术开发区龙翔路9号,www.nf-bearings.com,2011-2-25
江苏省,常州市,武进区,天晟新材,常州天晟新材料股份有限公司,通用化工品,57504,862,1.50%,天晟新材(300169),江苏省常州市龙锦路508号,江苏省常州市龙锦路508号,www.tschina.com,2011-1-25
江苏省,常州市,武进区,长海股份,江苏长海复合材料股份有限公司,特种化工品,150540,19214,12.80%,长海股份(300196),江苏省常州市武进区遥观镇塘桥村,江苏省常州市武进区遥观镇塘桥村,www.changhaigfrp.com,2011-3-29
江苏省,常州市,武进区,强力新材,常州强力电子新材料股份有限公司,通用化工品,47210,12466,26.40%,强力新材(300429),江苏省常州市武进区遥观镇钱家工业园,江苏省常州市武进区遥观镇钱家工业园,www.tronly.com,2015-3-24
江苏省,常州市,武进区,江苏雷利,江苏雷利电机股份有限公司,电子与电气设备,153515,21814,14.20%,江苏雷利(300660),江苏省常州市武进区遥观镇钱家塘路19号,江苏省常州市武进区遥观镇钱家塘路19号,www.czleili.com,2017-6-2
江苏省,常州市,武进区,黑牡丹,黑牡丹(集团)股份有限公司,不动产投资开发,467075,31260,6.70%,黑牡丹(600510),江苏省常州市青洋北路47号,江苏省常州市青洋北路47号,www.blackpeony.com,2002-6-18
江苏省,常州市,武进区,恒立液压,江苏恒立液压股份有限公司,工业机械,202656,32777,16.20%,恒立液压(601100),江苏省常州市武进高新技术产业开发区龙潜路99号,江苏省常州市武进高新技术产业开发区龙潜路99号,www.hengli-js.com,2011-10-28
江苏省,常州市,武进区,碳元科技,碳元科技股份有限公司,电子设备,36198,4368,12.10%,碳元科技(603133),江苏省武进经济开发区兰香路7号,江苏省武进经济开发区兰香路7号,www.tanyuantech.com,2017-3-20
江苏省,常州市,武进区,腾龙股份,常州腾龙汽车零部件股份有限公司,汽车零配件（IV）,63812,12750,20.00%,腾龙股份(603158),江苏省武进经济开发区延政西路腾龙路1号,江苏省常州市武进经济开发区腾龙路15号,www.cztl.com,2015-3-20
江苏省,常州市,武进区,亚邦股份,江苏亚邦染料股份有限公司,通用化工品,187492,54018,28.80%,亚邦股份(603188),江苏省常州市武进区牛塘镇人民西路105号,江苏省常州市武进区牛塘镇人民西路105号,www.yabangdyes.com,2014-9-9
江苏省,常州市,武进区,快克股份,常州快克锡焊股份有限公司,电子与电气设备,26753,10914,40.80%,快克股份(603203),江苏省武进高新技术产业开发区凤翔路11号,江苏省武进高新技术产业开发区凤翔路11号,www.quickchina.con.cn,2016-11-8
江苏省,常州市,武进区,海鸥股份,江苏海鸥冷却塔股份有限公司,电子电气组件与设备,35608,2247,6.30%,海鸥股份(603269),江苏省常州市武进经济开发区祥云路16号,江苏省常州市武进经济开发区祥云路16号,www.seagull-ct.com,2017-5-17
江苏省,常州市,武进区,日盈电子,江苏日盈电子股份有限公司,汽车与零配件（II）,21386,2010,9.40%,日盈电子(603286),江苏省常州市武进区横山桥芳茂村,江苏省常州市武进区横山桥芳茂村,www.riyingcorp.com,2017-6-27
江苏省,常州市,武进区,洛凯股份,江苏洛凯机电股份有限公司,电子电气组件与设备,36027,4754,13.20%,洛凯股份(603829),江苏省常州市武进区洛阳镇永安里路101号,江苏省常州市武进区洛阳镇永安里路101号,www.lk-jd.com,2017-10-17
江苏省,常州市,武进区,南卫股份,江苏南方卫材医药股份有限公司,医疗用品,36043,4524,12.60%,南卫股份(603880),江苏省常州市武进经济开发区果香路1号,江苏省常州市武进经济开发区果香路1号,www.nfmedical.com.cn,2017-8-7
