省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,徐州市,云龙区,恩华药业,江苏恩华药业股份有限公司,制药,251859,39091,15.50%,恩华药业(002262),,江苏省徐州经济开发区杨山路18号,江苏省徐州市民主南路69号恩华大厦,www.nhwa-group.com,2008-7-23
江苏省,徐州市,新沂市,必康股份,江苏必康制药股份有限公司,制药,329155,73046,22.20%,必康股份(002411),,江苏省如东县沿海经济开发区黄海三路12号,江苏省新沂市钟吾南路18号财政局大厦北楼,www.jjjkj.com.cn,2010-5-25
江苏省,徐州市,新沂市,蓝丰生化,江苏蓝丰生物化工股份有限公司,特种化工品,130196,11103,8.50%,蓝丰生化(002513),,江苏省新沂经济开发区苏化路1号,江苏省新沂经济开发区苏化路1号,www.jslanfeng.com,2010-12-3
江苏省,徐州市,新沂市,利民股份,利民化工股份有限公司,特种化工品,99901,13545,13.60%,利民股份(002734),,江苏省新沂经济开发区,江苏省新沂经济开发区,www.chinalimin.com,2015-1-27
江苏省,徐州市,新沂市,科融环境,徐州科融环境资源股份有限公司,综合公共事业,46315,-2007,-4.30%,科融环境(300152),,江苏省徐州市经济开发区杨山路12号,江苏省徐州市经济开发区杨山路12号,www.kre.cn,2010-12-29
江苏省,徐州市,新沂市,华信新材,江苏华信新材料股份有限公司,特种化工品,19205,3335,17.40%,华信新材(300717),,江苏省新沂市大桥东路189号,江苏省新沂市大桥东路189号,www.huaxinchina.cc,2017-11-6
江苏省,徐州市,铜山区,云意电气,江苏云意电气股份有限公司,汽车零配件（IV）,46942,10235,21.80%,云意电气(300304),,江苏省徐州市铜山经济开发区黄山路26号,江苏省徐州市铜山经济开发区黄山路26号,www.yunyi-china.com,2012-3-21
江苏省,徐州市,铜山区,五洋科技,徐州五洋科技股份有限公司,工业机械,44988,7317,16.30%,五洋科技(300420),,江苏省徐州市铜山新区银山路东、珠江路北,江苏省徐州市铜山新区银山路东、珠江路北,www.wuyangkeji.com,2015-2-17
江苏省,徐州市,铜山区,维维股份,维维食品饮料股份有限公司,饮料,341574,15360,4.50%,维维股份(600300),,江苏省徐州市维维大道300号,江苏省徐州市维维大道300号,www.vvgroup.com,2000-6-30
江苏省,徐州市,贾汪区,赛摩电气,赛摩电气股份有限公司,工业机械,25321,2671,10.50%,赛摩电气(300466),,江苏省徐州经济开发区螺山2号,江苏省徐州经济开发区螺山2号,www.saimo.cn,2015-5-28
江苏省,徐州市,贾汪区,徐工机械,徐工集团工程机械股份有限公司,工业机械,2154428,87981,4.10%,徐工机械(000425),,江苏省徐州经济技术开发区驮蓝山路26号,江苏省徐州市经济技术开发区驮蓝山路26号,www.xcmg.com,1996-8-28
江苏省,徐州市,贾汪区,海伦哲,徐州海伦哲专用车辆股份有限公司,工业机械,101061,8143,8.10%,海伦哲(300201),,江苏省徐州经济开发区螺山路19号,江苏省徐州经济技术开发区宝莲寺路19号,www.xzhlz.com,2011-4-7
