省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,扬州市,江都区,长青股份,江苏长青农化股份有限公司,特种化工品,152976,20536,13.40%,长青股份(002391),江苏省扬州市江都经济开发区三江大道8号,江苏省江都市浦头镇江灵路1号,www.jscq.com,2010-4-16
江苏省,扬州市,江都区,亚威股份,江苏亚威机床股份有限公司,工业机械,95738,7215,7.50%,亚威股份(002559),江苏省扬州市江都区黄海南路仙城工业园,江苏省扬州市江都区黄海南路仙城工业园,www.yawei.cc,2011-3-3
江苏省,扬州市,邗江区,扬杰科技,扬州扬杰电子科技股份有限公司,半导体,109591,24004,21.90%,扬杰科技(300373),江苏省扬州市维扬经济开发区,江苏省扬州市维扬经济开发区,www.21yangjie.com,2014-1-23
江苏省,扬州市,邗江区,苏奥传感,江苏奥力威传感高科股份有限公司,汽车零配件（IV）,43481,8700,20.00%,苏奥传感(300507),江苏省扬州高新技术产业开发区祥园路158号,江苏省扬州高新技术产业开发区祥园路158号,www.yos.net.cn,2016-4-29
江苏省,扬州市,邗江区,亚星客车,扬州亚星客车股份有限公司,商用运载工具与车辆,133916,2982,2.20%,亚星客车(600213),江苏省扬州市邗江汽车产业园潍柴大道2号,江苏省扬州市邗江汽车产业园潍柴大道2号,www.asiastarbus.com,1999-8-31
江苏省,扬州市,广陵区,扬农化工,江苏扬农化工股份有限公司,特种化工品,314680,50511,16.10%,扬农化工(600486),江苏省扬州市文峰路39号,江苏省扬州市文峰路39号,www.yngf.com,2002-4-25
江苏省,扬州市,广陵区,联环药业,江苏联环药业股份有限公司,制药,47848,6025,12.60%,联环药业(600513),江苏省扬州市文峰路21号,江苏省扬州市文峰路21号,www.lhpharma.com,2003-3-19
江苏省,扬州市,高邮市,传艺科技,江苏传艺科技股份有限公司,计算机硬件,48540,6491,13.40%,传艺科技(002866),江苏省高邮市高邮经济开发区凌波路33号,江苏省高邮经济开发区凌波路,www.transimage.com,2017-4-26
江苏省,扬州市,宝应县,晨化股份,扬州晨化新材料股份有限公司,特种化工品,51325,6547,12.80%,晨化股份(300610),江苏省宝应县曹甸镇镇中路231号,江苏省宝应县曹甸镇镇中路231号,www. yzch.cc,2017-2-13
江苏省,扬州市,宝应县,宝胜股份,宝胜科技创新股份有限公司,电子电气组件与设备,1289429,11875,0.90%,宝胜股份(600973),江苏省宝应县安宜镇苏中路1号,江苏省宝应县安宜镇苏中路1号,www.baoshengcable.com,2004-8-2
