省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,无锡市,江阴市,四环生物,江苏四环生物股份有限公司,制药,28638,3894,13.60%,四环生物(000518),,江苏省江阴市滨江开发区定山路十号,江苏省江阴市滨江开发区滨江东路7号,www.shsw.com.cn,1993-9-8
江苏省,无锡市,江阴市,模塑科技,江南模塑科技股份有限公司,汽车零配件（IV）,255136,16369,6.40%,模塑科技(000700),,江苏省江阴市周庄镇长青路8号,江苏省江阴市周庄镇长青路8号,www.jnmpt.com,1997-2-28
江苏省,无锡市,江阴市,法尔胜,江苏法尔胜股份有限公司,钢铁,172351,2450,1.40%,法尔胜(000890),,江苏省江阴市澄江中路165号,江苏省江阴市澄江中路165号,www.fasten.com.cn,1999-1-19
江苏省,无锡市,江阴市,华西股份,江苏华西村股份有限公司,通用化工品,221102,14468,6.50%,华西股份(000936),,江苏省江阴市华西村,江苏省江阴市华西村南苑宾馆9号楼,www.jshuaxicun.com、www.v-capital.cn,1999-8-10
江苏省,无锡市,江阴市,中南文化,中南红文化集团股份有限公司,广播与娱乐,100894,18610,18.40%,中南文化(002445),,江苏省江阴市高新技术产业开发园金山路788号,江苏省江阴市高新技术产业开发园金山路788号,www.znhi.com.cn,2010-7-13
江苏省,无锡市,江阴市,百川股份,无锡百川化工股份有限公司,特种化工品,171058,7274,4.30%,百川股份(002455),,江苏省江阴市云亭街道建设路55号,江苏省江阴市云亭街道建设路55号,www.bcchem.com,2010-8-3
江苏省,无锡市,江阴市,爱康科技,江苏爱康科技股份有限公司,电子电气组件与设备,356780,7681,2.20%,爱康科技(002610),,江苏省江阴市华士工业集中区红苗园区勤丰路1015号,江苏省江阴市华士工业集中区红苗园区勤丰路1015号,www.akcome.com,2011-8-15
江苏省,无锡市,江阴市,华宏科技,江苏华宏科技股份有限公司,工业机械,93264,9172,9.80%,华宏科技(002645),,江苏省江阴市周庄镇澄杨路1118号,江苏省江阴市澄杨路11号华宏科技大厦,www.hhyyjx.net,2011-12-20
江苏省,无锡市,江阴市,海达股份,江阴海达橡塑股份有限公司,通用化工品,88258,11998,13.60%,海达股份(300320),,江苏省江阴市周庄镇云顾路585号,江苏省江阴市周庄镇云顾路585号,www.haida.cn,2012-6-1
江苏省,无锡市,江阴市,广信材料,江苏广信感光新材料股份有限公司,通用化工品,28773,5296,18.40%,广信材料(300537),,江苏省江阴市青阳镇工业集中区华澄路18号,江苏省江阴市青阳镇工业集中区华澄路18号,www.kuangshun.com,2016-8-30
江苏省,无锡市,江阴市,神宇股份,神宇通信科技股份公司,通讯设备,23663,3841,16.20%,神宇股份(300563),,江苏省江阴市长山大道22号,江苏省江阴市东外环路275号,www.shenyucable.com,2016-11-14
江苏省,无锡市,江阴市,电工合金,江阴电工合金股份有限公司,有色金属,95413,5921,6.20%,电工合金(300697),,江苏省江阴市周庄镇世纪大道北段398号,江苏省江阴市周庄镇世纪大道北段398号,www.cn-dghj.com,2017-9-7
江苏省,无锡市,江阴市,怡达化学,江苏怡达化学股份有限公司,特种化工品,90145,5580,6.20%,怡达股份(300721),,江苏省江阴市西石桥球庄村,江苏省江阴市西石桥球庄村,www.yidachem.com,2017-11-15
江苏省,无锡市,江阴市,澄星股份,江苏澄星磷化工股份有限公司,通用化工品,228114,6529,2.90%,澄星股份(600078),,江苏省江阴市梅园大街618号,江苏省江阴市梅园大街618号,www.phosphatechina.com,1997-6-27
江苏省,无锡市,江阴市,江苏阳光,江苏阳光股份有限公司,服装与服饰,159802,11572,7.20%,江苏阳光(600220),,江苏省江阴市新桥镇马嘶桥,江苏省江阴市新桥镇马嘶桥,www.sunshine.com.cn,1999-9-27
江苏省,无锡市,江阴市,三房巷,江苏三房巷实业股份有限公司,服装与服饰,76241,8167,10.70%,三房巷(600370),,江苏省江阴市周庄镇三房巷村,江苏省江阴市周庄镇三房巷村,www.jssfx.com,2003-3-6
江苏省,无锡市,江阴市,海澜之家,海澜之家股份有限公司,服装与服饰,1247820,328552,26.30%,海澜之家(600398),,江苏省江阴市新桥镇,江苏省江阴市新桥镇,www.hla.com、www.hla.com.cn,2000-12-28
江苏省,无锡市,江阴市,双良节能,双良节能系统股份有限公司,电子电气组件与设备,113984,2773,2.40%,双良节能(600481),,江苏省江阴市利港镇双良工业园,江苏省江阴市利港镇西利路88号,www.Shuangliang.com,2003-4-22
江苏省,无锡市,江阴市,长电科技,江苏长电科技股份有限公司,半导体,1685981,-17479,-1.00%,长电科技(600584),,江苏省江阴市澄江镇长山路78号,江苏省江阴市滨江中路275号,www.cj-elec.com,2003-6-3
江苏省,无锡市,江阴市,江南水务,江苏江南水务股份有限公司,水务,82016,27658,33.70%,江南水务(601199),,江苏省江阴市扬子江路66号,江苏省江阴市延陵路224号,www.jsjnsw.com,2011-3-17
江苏省,无锡市,江阴市,吉鑫科技,江苏吉鑫风能科技股份有限公司,工业机械,102639,2491,2.40%,吉鑫科技(601218),,江苏省江阴市云亭街道工业园区那巷路8号,江苏省江阴市云亭街道工业园区那巷路8号,www.sinojit.com,2011-5-6
江苏省,无锡市,江阴市,江化微,江阴江化微电子材料股份有限公司,特种化工品,27015,4867,18.00%,江化微(603078),,江苏省江阴市周庄镇云顾路581号,江苏省江阴市周庄镇云顾路581号,www.jianghuamem.com,2017-4-10
江苏省,无锡市,江阴市,振江股份,江苏振江新能源装备股份有限公司,电子电气组件与设备,76755,12357,16.10%,振江股份(603507),,江苏省江阴市临港街道江市路28号,江苏省江阴市临港街道江市路28号,www.zjavim.com,2017-11-6
江苏省,无锡市,江阴市,苏利股份,江苏苏利精细化工股份有限公司,化工品（II）,106452,26210,24.60%,苏利股份(603585),,江苏省江阴市临港街道润华路7号-1,江苏省江阴市临港街道润华路7号-1,www.suli.com,2016-12-14
江苏省,无锡市,江阴市,恒润股份,江阴市恒润重工股份有限公司,工业,53751,7251,13.50%,恒润股份(603985),,江苏省江阴市周庄镇欧洲工业园A区,江苏省江阴市周庄镇欧洲工业园A区,www.hrflanges.com,2017-5-5
