省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,无锡市,滨湖区,航发控制,中国航发动力控制股份有限公司,航空航天,184451,19799,10.70%,航发控制(000738),江苏省无锡市滨湖区刘闾路33号,江苏省无锡市梁溪路792号,www.aaec.com.cn,1997/6/26
江苏省,无锡市,滨湖区,天奇股份,天奇自动化工程股份有限公司,工业机械,173881,11384,6.50%,天奇股份(002009),江苏省无锡市惠山区洛社镇洛藕路288号,江苏省无锡市滨湖区环湖路287号,www.chinaconveyor.com,2004/6/29
江苏省,无锡市,滨湖区,华东重机,无锡华东重型机械股份有限公司,工业机械,315081,5211,1.70%,华东重机(002685),江苏省无锡市滨湖经济技术开发区华苑路12号,江苏省无锡市滨湖经济技术开发区高浪东路508号,www.hdhm.com,2012/6/12
江苏省,无锡市,滨湖区,江阴银行,江苏江阴农村商业银行股份有限公司,银行业（IV）,177531,44837,25.30%,江阴银行(002807),江苏省江阴市澄江中路1号,江苏省江阴市长江路203号,www.jybank.com.cn,2016/9/2
江苏省,无锡市,滨湖区,智能自控,无锡智能自控工程股份有限公司,电子电气组件与设备,22631,4115,18.20%,智能自控(002877),江苏省无锡市锡达路258号,江苏省无锡市锡达路258号,www.wuxismart.com,2017/6/5
江苏省,无锡市,滨湖区,中设股份,江苏中设集团股份有限公司,建筑施工,16630,4102,24.70%,中设股份(002883),江苏省无锡市滨湖区锦溪路100号,江苏省无锡市滨湖区锦溪路100号,www.jszs-group.com,2017/6/20
江苏省,无锡市,滨湖区,和晶科技,无锡和晶科技股份有限公司,电子电气组件与设备,106877,10909,10.20%,和晶科技(300279),江苏省无锡新区长江东路177号,江苏省无锡新区长江东路177号,www.hodgen-china.com,2011/12/29
江苏省,无锡市,滨湖区,雪浪环境,无锡雪浪环境科技股份有限公司,工业机械,57129,6253,10.90%,雪浪环境(300385),江苏省无锡市滨湖区太湖街道双新经济园,江苏省无锡市滨湖区蠡湖大道2020号,www.cecm.com.cn,2014/6/26
江苏省,无锡市,滨湖区,先导智能,无锡先导智能装备股份有限公司,工业机械,104791,30661,29.30%,先导智能(300450),江苏省无锡国家高新技术产业开发区新锡路20号,江苏省无锡国家高新技术产业开发区新锡路20号,www.leadchina.cn,2015/5/18
江苏省,无锡市,滨湖区,美尚生态,美尚生态景观股份有限公司,综合公共事业,123160,18316,14.90%,美尚生态(300495),江苏省无锡市无锡（太湖）国际科技园大学科技园清源路兴业楼A栋518号,江苏省无锡市滨湖区山水城科教软件园B区3号楼,www.misho.com.cn,2015/12/22
江苏省,无锡市,滨湖区,路通视信,无锡路通视信网络股份有限公司,计算机硬件,26437,2728,10.30%,路通视信(300555),江苏省无锡市滨湖区五三零大厦1号十八层1802室,江苏省无锡市滨湖区胡埭工业园陆藕东路182号,www.lootom.com,2016/10/18
江苏省,无锡市,滨湖区,贝斯特,无锡贝斯特精机股份有限公司,汽车零配件（IV）,48978,11483,23.40%,贝斯特(300580),江苏省无锡市鸿桥路801-2702,江苏省无锡市滨湖区胡埭镇合欢西路18号,www.wuxibest.com,2017/1/11
江苏省,无锡市,滨湖区,隆盛科技,无锡隆盛科技股份有限公司,汽车零配件（IV）,11693,1220,10.40%,隆盛科技(300680),江苏省无锡新区城南路231-3号,江苏省无锡新区城南路231-3号,www.china-lsh.com,2017/7/25
江苏省,无锡市,滨湖区,华光股份,无锡华光锅炉股份有限公司,工业机械,373052,36469,9.80%,华光股份(600475),江苏省无锡市城南路3号,江苏省无锡市城南路3号,www.wxboiler.com,2003/7/21
江苏省,无锡市,滨湖区,无锡银行,无锡农村商业银行股份有限公司,金融服务业,214012,96279,45.00%,无锡银行(600908),江苏省无锡市金融二街9号,江苏省无锡市金融二街9号,www.wrcb.com.cn,2016/9/23
江苏省,无锡市,滨湖区,宏盛股份,无锡宏盛换热器制造股份有限公司,电子电气组件与设备,25817,2350,9.10%,宏盛股份(603090),江苏省无锡市滨湖区马山南堤路66号,江苏省无锡市滨湖区马山南堤路66号,www.hs-exchanger.com,2016/8/31
江苏省,无锡市,滨湖区,信捷电气,无锡信捷电气股份有限公司,电子电气组件与设备,33897,10768,31.80%,信捷电气(603416),江苏省无锡市滨湖区胡埭工业园北区刘塘路9号,江苏省无锡市滨湖区胡埭工业园北区刘塘路9号,www.xinje.com,2016/12/21
江苏省,无锡市,滨湖区,中电电机,中电电机股份有限公司,电子电气组件与设备,20864,2855,13.70%,中电电机(603988),江苏省无锡市高浪东路777号,江苏省无锡市高浪东路777号,www.sec-motor.com,2014/11/4
