省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,昆山市,周市,世名科技,苏州世名科技股份有限公司,特种化工品,21974,5491,25.00%,世名科技(300522),,江苏省昆山市周市镇黄浦江北路219号,江苏省昆山市周市镇黄浦江北路219号,www.smcolor.com.cn,2016-7-5
江苏省,常州市,钟楼区,苏常柴A,常柴股份有限公司,工业机械,185952,3205,1.70%,苏常柴A(000570),,江苏省常州市怀德中路123号,江苏省常州市怀德中路123号,www.changchai.com.cn,1994-7-1
江苏省,常州市,钟楼区,苏常柴A,常柴股份有限公司,工业机械,185952,3205,1.70%,苏常柴B(200570),,江苏省常州市怀德中路123号,江苏省常州市怀德中路123号,www.changchai.com.cn,1994-7-1
江苏省,常州市,钟楼区,裕兴股份,江苏裕兴薄膜科技股份有限公司,特种化工品,42584,5835,13.70%,裕兴股份(300305),,江苏省常州市钟楼经济开发区童子河西路8-8号,江苏省常州市钟楼经济开发区童子河西路8-8号,www.czyuxing.com,2012-3-29
江苏省,常州市,钟楼区,精研科技,江苏精研科技股份有限公司,电子电气组件与设备,69029,13929,20.20%,精研科技(300709),,江苏省常州市钟楼经济开发区棕榈路59号,江苏省常州市钟楼经济开发区棕榈路59号,www.jsgian.com,2017-10-19
江苏省,苏州市,张家港市东区,海陆重工,苏州海陆重工股份有限公司,工业机械,78924,8110,10.30%,海陆重工(002255),,江苏省张家港市东南大道1号（张家港经济技术开发区）,江苏省张家港市东南大道一号,www.hailu-boiler.cn,2008-6-25
江苏省,苏州市,张家港市,东华能源,东华能源股份有限公司,油气综采,2333740,105976,4.50%,东华能源(002221),,江苏省张家港保税区出口加工区东华路668号,江苏省张家港保税区出口加工区东华路668号,www.chinadhe.com,2008-3-6
江苏省,苏州市,张家港市,新美星,江苏新美星包装机械股份有限公司,工业机械,37527,3723,9.90%,新美星(300509),,江苏省张家港经济开发区南区（新泾东路）,江苏省张家港经济开发区南区（新泾东路）,www.newamstar.com,2016-4-25
江苏省,苏州市,张家港市,沙钢股份,江苏沙钢股份有限公司,钢铁,889431,102472,11.50%,沙钢股份(002075),,江苏省张家港市锦丰镇沙钢大厦,江苏省张家港市锦丰镇沙钢大厦,www.shaganggf.com,2006-10-25
江苏省,苏州市,张家港市,江苏国泰,江苏国泰国际集团国贸股份有限公司,综合供应商,2561490,110365,4.30%,江苏国泰(002091),,江苏省张家港市国泰时代广场11-24楼,江苏省张家港市人民中路65号国泰时代广场A座11-24楼,www.gtiggm.com,2006-12-8
江苏省,苏州市,张家港市,澳洋科技,江苏澳洋科技股份有限公司,通用化工品,402121,18351,4.60%,澳洋科技(002172),,江苏省张家港市杨舍镇塘市,江苏省张家港市杨舍镇塘市镇中路018号,www.aykj.cn,2007-9-21
江苏省,苏州市,张家港市,澳洋顺昌,江苏澳洋顺昌股份有限公司,综合供应商,249845,40476,16.20%,澳洋顺昌(002245),,江苏省张家港市杨舍镇新泾中路10号,江苏省张家港市杨舍镇新泾中路10号,www.aucksun.com,2008-6-5
江苏省,苏州市,张家港市,华昌化工,江苏华昌化工股份有限公司,特种化工品,378156,1885,0.50%,华昌化工(002274),,江苏省张家港市金港镇保税区扬子江国际化学工业园南海路1号,江苏省张家港市金港镇保税区扬子江国际化学工业园南海路1号,www.huachangchem.cn,2008-9-25
江苏省,苏州市,张家港市,长江润发,长江润发医药股份有限公司,建材与构件,197544,26759,13.50%,长江润发(002435),,江苏省张家港市金港镇晨丰公路,江苏省张家港市金港镇镇山东路,http://www.cjrfjx.com,2010-6-18
江苏省,苏州市,张家港市,银河电子,江苏银河电子股份有限公司,通讯设备,114238,12047,10.50%,银河电子(002519),,江苏省张家港市塘桥镇南环路188号,江苏省张家港市塘桥镇南环路188号,www.yinhe.com,2010-12-7
江苏省,苏州市,张家港市,天沃科技,苏州天沃科技股份有限公司,工业机械,901543,26617,3.00%,天沃科技(002564),,江苏省张家港市金港镇长山村临江路1号,江苏省苏州张家港市金港镇长山村临江路1号,www.zhanghuaji.com,2011-3-10
江苏省,苏州市,张家港市,张家港行,江苏张家港农村商业银行股份有限公司,银行业（IV）,184650,52293,28.30%,张家港行(002839),,江苏省张家港市杨舍镇人民中路66号,江苏省张家港市杨舍镇人民中路66号,www.zrcbank.com,2017-1-24
江苏省,苏州市,张家港市,富瑞特装,张家港富瑞特种装备股份有限公司,工业机械,117870,3608,3.10%,富瑞特装(300228),,江苏省张家港市杨舍镇晨新路19号,江苏省张家港市杨舍镇晨新路19号,www.furuise.com,2011-6-8
江苏省,苏州市,张家港市,金陵体育,江苏金陵体育器材股份有限公司,娱乐用品,19838,2672,13.50%,金陵体育(300651),,江苏省苏州市张家港市南丰镇海丰路,江苏省苏州市张家港市南丰镇海丰路,www.jlsports.com,2017-5-9
江苏省,苏州市,张家港市,保税科技,张家港保税科技股份有限公司,运输服务,66027,-4811,-7.30%,保税科技(600794),,江苏省张家港保税区石化交易大厦27-28层,江苏省张家港保税区金港路8号江苏化工品交易中心大厦27-28楼,--,1997-3-6
江苏省,苏州市,张家港市,鹿港文化,江苏鹿港文化股份有限公司,服装与服饰,259479,13568,5.20%,鹿港文化(601599),,江苏省张家港市塘桥镇鹿苑,江苏省张家港市塘桥镇鹿苑,www.lugangwool.com,2011-5-27
江苏省,苏州市,张家港市,金鸿顺,苏州金鸿顺汽车部件股份有限公司,汽车与零配件（II）,76157,8257,10.80%,金鸿顺(603922),,江苏省张家港经济开发区长兴路30号,江苏省张家港经济开发区长兴路30号,www.jinhs.com,2017-10-23
江苏省,徐州市,云龙区,恩华药业,江苏恩华药业股份有限公司,制药,251859,39091,15.50%,恩华药业(002262),,江苏省徐州经济开发区杨山路18号,江苏省徐州市民主南路69号恩华大厦,www.nhwa-group.com,2008-7-23
江苏省,南京市,雨花台区,润和软件,江苏润和软件股份有限公司,软件,108096,12876,11.90%,润和软件(300339),,江苏省南京市雨花台区铁心桥工业园,江苏省南京市雨花台区铁心桥工业园,www.hoperun.com,2012-7-18
江苏省,南京市,雨花台区,诚迈科技,诚迈科技(南京)股份有限公司,软件,36518,2731,7.50%,诚迈科技(300598),,江苏省南京市雨花台区软件大道180号南海生物科技园A2幢,江苏省南京市雨花台区软件大道106号2幢1102室,www.archermind.com,2017-1-20
江苏省,南京市,雨花台区,宏图高科,江苏宏图高科技股份有限公司,计算机硬件,1409252,52625,3.70%,宏图高科(600122),,江苏省南京市浦口区高新开发区新科四路11号,江苏省南京市雨花台区软件大道68号,www.hiteker.com.cn,1998-4-20
江苏省,南京市,雨花台区,江苏舜天,江苏舜天股份有限公司,服装与服饰,391626,8998,2.30%,江苏舜天(600287),,江苏省南京市雨花台区软件大道21号B座,江苏省南京市雨花台区宁南大道21号B座,www.saintycorp.com,2000-9-1
江苏省,南京市,雨花台区,南京医药,南京医药股份有限公司,药品零售,2045270,29801,1.50%,南京医药(600713),,江苏省南京市雨花台区小行尤家凹1号（南京国际健康产业园）8号楼,江苏省南京市雨花台区小行尤家凹1号(南京国际健康产业园)8号楼,www.njyy.com,1996-7-1
江苏省,南京市,雨花台区,莱绅通灵,莱绅通灵珠宝股份有限公司,专业零售,145463,32283,22.20%,莱绅通灵(603900),,江苏省南京市雨花台区花神大道19号,江苏省南京市雨花台区花神大道19号,www.tesiro.com,2016-11-23
江苏省,无锡市,宜兴市,小天鹅A,无锡小天鹅股份有限公司,耐用消费品,1597711,152833,9.60%,小天鹅A(000418),,江苏省无锡市国家高新技术产业开发区长江南路18号,江苏省无锡市国家高新技术产业开发区长江南路18号,www.littleswan.com,1997-3-28
江苏省,无锡市,宜兴市,雅克科技,江苏雅克科技股份有限公司,特种化工品,82042,5168,6.30%,雅克科技(002409),,江苏省无锡宜兴经济开发区荆溪北路,无锡宜兴经济开发区荆溪北路16号(公司经营场所:无锡宜兴经济开发区荆溪北路88号),www.yokechem.com,2010-5-25
江苏省,无锡市,宜兴市,中超控股,江苏中超控股股份有限公司,电子电气组件与设备,500842,8830,1.80%,中超控股(002471),,江苏省宜兴市西郊工业园振丰东路999号,江苏省宜兴市西郊工业园振丰东路999号,www.zcdlgf.com,2010-9-10
江苏省,无锡市,宜兴市,睿康股份,睿康文远电缆股份有限公司,电子电气组件与设备,187021,5746,3.10%,睿康股份(002692),,江苏省宜兴市官林镇远程路8号,江苏省宜兴市官林镇远程路8号,www.yccable.cn,2012-8-8
江苏省,无锡市,宜兴市,高科石化,江苏高科石化股份有限公司,通用化工品,42977,2525,5.90%,高科石化(002778),,江苏省宜兴市徐舍镇鲸塘工业集中区,江苏省宜兴市徐舍镇鲸塘工业集中区,www.jsgaoke.com,2016-1-6
江苏省,无锡市,宜兴市,小天鹅A,无锡小天鹅股份有限公司,耐用消费品,1597711,152833,9.60%,小天鹅B(200418),,江苏省无锡市国家高新技术产业开发区长江南路18号,江苏省无锡市国家高新技术产业开发区长江南路18号,www.littleswan.com,1997-3-28
江苏省,无锡市,宜兴市,立霸股份,江苏立霸实业股份有限公司,电子电气组件与设备,88096,7003,7.90%,立霸股份(603519),,江苏省宜兴市环保科技工业园新城路258号,江苏省宜兴市环保科技工业园新城路258号,www.jsliba.com,2015-3-19
江苏省,无锡市,宜兴市,智慧能源,远东智慧能源股份有限公司,电子电气组件与设备,1258011,18396,1.50%,智慧能源(600869),,青海省西宁市城北区生物园区经二路12号,江苏省宜兴市高塍远东大道6号,www.600869.com,1995-2-6
江苏省,镇江市,扬中市,宏达新材,江苏宏达新材料股份有限公司,通用化工品,68041,2304,3.40%,宏达新材(002211),,江苏省扬中市明珠广场,江苏省扬中市明珠广场,www.hongda-chemical.com,2008-2-1
江苏省,南京市,玄武区,苏宁云商,苏宁云商集团股份有限公司,专业零售,13188226,61523,0.50%,苏宁云商(002024),,江苏省南京市山西路8号金山大厦1-5层,江苏省南京市玄武区苏宁大道1号,www.suning.cn,2004-7-21
江苏省,南京市,玄武区,江苏国信,江苏国信股份有限公司,电力（IV）,1384053,232003,16.80%,江苏国信(002608),,江苏省南京市玄武区长江路88号,江苏省南京市玄武区长江路88号16层,www.saintymarine.com.cn,2011-8-10
江苏省,南京市,玄武区,幸福蓝海,幸福蓝海影视文化集团股份有限公司,广播与娱乐,108734,7166,6.60%,幸福蓝海(300528),,江苏省南京市中山路348号中信大厦17楼,江苏省南京市中山路348号中信大厦17楼,www.omnijoi.com,2016-8-8
江苏省,南京市,玄武区,栖霞建设,南京栖霞建设股份有限公司,不动产投资开发,140092,8353,6.00%,栖霞建设(600533),,江苏省南京市栖霞区和燕路251号,江苏省南京市玄武区龙蟠路9号,www.chixia.com,2002-3-28
江苏省,南京市,玄武区,ST常林,苏美达股份有限公司,综合供应商,5166812,98522,1.90%,ST常林(600710),,江苏省常州市新北区华山中路36号,江苏省南京市长江路198号苏美达大厦,www.sumec.com,1996-7-1
江苏省,徐州市,新沂市,必康股份,江苏必康制药股份有限公司,制药,329155,73046,22.20%,必康股份(002411),,江苏省如东县沿海经济开发区黄海三路12号,江苏省新沂市钟吾南路18号财政局大厦北楼,www.jjjkj.com.cn,2010-5-25
江苏省,徐州市,新沂市,蓝丰生化,江苏蓝丰生物化工股份有限公司,特种化工品,130196,11103,8.50%,蓝丰生化(002513),,江苏省新沂经济开发区苏化路1号,江苏省新沂经济开发区苏化路1号,www.jslanfeng.com,2010-12-3
