省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,苏州市,吴中区,协鑫集成,协鑫集成科技股份有限公司,工业机械,941435,5578,0.60%,协鑫集成(002506),上海市奉贤区南桥镇江海经济园区,江苏省苏州市工业园区新庆路28号协鑫能源中心,www.gclsi.com,2010/11/18
江苏省,苏州市,吴中区,创元科技,创元科技股份有限公司,工业机械,196521,14266,7.30%,创元科技(000551),江苏省苏州市高新区鹿山路35号,江苏省苏州工业园区苏桐路37号,www.000551.cn,1994/1/6
江苏省,苏州市,吴中区,中科新材,苏州中科创新型材料股份有限公司,耐用消费品,101816,5288,5.20%,中科新材(002290),江苏省苏州工业园区后戴街108号,江苏省苏州工业园区后戴街108号,www.szhssm.com.cn,2009/9/3
江苏省,苏州市,吴中区,东山精密,苏州东山精密制造股份有限公司,建材与构件,1043405,36527,3.50%,东山精密(002384),江苏省苏州市吴中区东山上湾村,江苏省苏州市吴中区东山工业园石鹤山路8号,www.sz-dsbj.com,2010/4/9
江苏省,苏州市,吴中区,春兴精工,苏州春兴精工股份有限公司,建材与构件,255015,5249,2.10%,春兴精工(002547),江苏省苏州市苏州工业园区唯亭镇浦田路2号,江苏省苏州市工业园区唯亭镇金陵东路120号,www.chunxing-group.com,2011/2/18
江苏省,苏州市,吴中区,安洁科技,苏州安洁科技股份有限公司,计算机硬件,166034,40733,24.50%,安洁科技(002635),江苏省苏州市吴中区光福镇福锦路8号,江苏省苏州市吴中区光福镇福锦路8号,www.anjiesz.com,2011/11/25
江苏省,苏州市,吴中区,锦富技术,苏州锦富技术股份有限公司,电子电气组件与设备,206732,2123,1.00%,锦富技术(300128),江苏省苏州工业园区江浦路39号,江苏省苏州工业园区金田路15号,www.jin-fu.cn,2010/10/13
江苏省,苏州市,吴中区,和顺电气,苏州工业园区和顺电气股份有限公司,电子电气组件与设备,37051,1727,4.70%,和顺电气(300141),江苏省苏州工业园区和顺路8号,江苏省苏州工业园区和顺路8号,www.cnheshun.com,2010/11/12
江苏省,苏州市,吴中区,电科院,苏州电器科学研究院股份有限公司,电子电气组件与设备,46531,11875,25.50%,电科院(300215),江苏省苏州市吴中区越溪前珠路5号,江苏省苏州市吴中区越溪前珠路5号,www.eeti-easa.com,2011/5/11
江苏省,苏州市,吴中区,苏大维格,苏州苏大维格光电科技股份有限公司,电子电气组件与设备,64344,6645,10.30%,苏大维格(300331),江苏省苏州工业园区苏虹东路北钟南街478号,江苏省苏州工业园区科教创新区新昌路68号,www.svgoptronics.com,2012/6/28
