省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
江苏省,苏州市,吴江区,东方市场,江苏吴江中国东方丝绸市场股份有限公司,电力（IV）,82451,19832,24.10%,东方市场(000301),江苏省吴江市盛泽镇市场路丝绸股份大厦,江苏省吴江市盛泽镇市场路丝绸股份大厦,www.cesm.com.cn,2000-5-29
江苏省,苏州市,吴江区,南极电商,南极电商股份有限公司,商业辅助服务,40160,28083,69.90%,南极电商(002127),江苏省吴江市盛泽镇五龙路22号,江苏省苏州市吴江区盛泽镇立新路738号,www.xmtex.com,2007-4-18
江苏省,苏州市,吴江区,康力电梯,康力电梯股份有限公司,商用运载工具与车辆,244211,33558,13.70%,康力电梯(002367),江苏省汾湖高新技术产业开发区康力大道888号,江苏省汾湖高新技术产业开发区康力大道888号,www.canny-elevator.com,2010-3-12
江苏省,苏州市,吴江区,通鼎互联,通鼎互联信息股份有限公司,通讯设备,315780,50037,15.80%,通鼎互联(002491),江苏省吴江市震泽镇八都经济开发区小平大道8号,江苏省吴江市震泽镇八都经济开发区小平大道8号,www.tdgd.com.cn,2010-10-21
江苏省,苏州市,吴江区,科林环保,科林环保装备股份有限公司,电力（IV）,90240,5795,6.40%,科林环保(002499),江苏省苏州市吴江区高新路425号,江苏省苏州市吴江区高新路425号科林环保科技园,www.kelin-china.com,2010-11-9
江苏省,苏州市,吴江区,德尔未来,德尔未来科技控股集团股份有限公司,建材与构件,112100,15872,14.20%,德尔未来(002631),江苏省苏州吴江市七都镇人民东路,江苏省苏州市吴江盛泽西环路499号德尔广场3号楼,www.der.com.cn,2011-11-11
江苏省,苏州市,吴江区,华源控股,苏州华源控股股份有限公司,工业机械,87865,9286,10.60%,华源控股(002787),江苏省苏州市吴江区桃源镇桃乌公路东侧,江苏省苏州市吴江区桃源镇桃乌公路东侧,www.huayuan-print.com,2015-12-31
江苏省,苏州市,吴江区,凯伦股份,江苏凯伦建材股份有限公司,建材与构件,27397,3339,12.20%,凯伦股份(300715),江苏省苏州市吴江区七都镇亨通大道8号,江苏省苏州市吴江区七都镇亨通大道8号,www.canlon.com.cn,2017-10-26
江苏省,苏州市,吴江区,永鼎股份,江苏永鼎股份有限公司,电子电气组件与设备,169494,22720,13.40%,永鼎股份(600105),江苏省苏州市吴江区黎里镇318国道74K处芦墟段北侧,江苏省苏州市吴江区芦墟镇318国道72K北侧,www.yongding.com.cn,1997-9-29
江苏省,苏州市,吴江区,亨通光电,江苏亨通光电股份有限公司,通讯设备,1902308,206996,10.90%,亨通光电(600487),江苏省吴江市七都镇亨通大道88号,江苏省吴江市经济开发区亨通路100号,www.htgd.com.cn,2003-8-22
江苏省,苏州市,吴江区,吴江银行,江苏吴江农村商业银行股份有限公司,金融服务业,205362,73925,36.00%,吴江银行(603323),江苏省苏州市吴江区中山南路1777号,江苏省苏州市吴江区中山南路1777号,www.wjrcb.com,2016-11-29
江苏省,苏州市,吴江区,法兰泰克,法兰泰克重工股份有限公司,工业机械,42218,4412,10.50%,法兰泰克(603966),江苏省吴江汾湖经济开发区汾越路288号、388号,江苏省吴江汾湖经济开发区汾越路288号、388号,www.eurocrane.com.cn,2017-1-25
